"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.490156292E0,3.764177859E-1,-3.876160979E-1,-4.568694830E-1
1.510240292E0,1.923758239E-1,-4.426024854E-1,-4.948194027E-1
1.530323292E0,-4.620590806E-2,-3.576657772E-1,-5.355393291E-1
1.550407292E0,-2.339552939E-1,-3.053111732E-1,-4.832540452E-1
1.570491292E0,-3.173115551E-1,-2.999911308E-1,-3.771883547E-1
1.590575292E0,-3.176511228E-1,-2.439212054E-1,-3.110908270E-1
1.610659292E0,-2.533762753E-1,-5.594468862E-2,-2.557357252E-1
1.630743292E0,-9.294797480E-2,1.692672372E-1,-1.804525703E-1
1.650827292E0,2.162033617E-1,1.331534535E-1,-7.104630768E-2
1.670911292E0,4.270167053E-1,-1.640658975E-1,-1.660167240E-3
1.690995292E0,2.784992456E-1,-2.284670174E-1,-4.325995222E-2
1.711079292E0,1.585971415E-1,2.304567099E-1,-1.304171979E-1
1.731163292E0,2.998676300E-1,6.588150859E-1,-2.565168142E-1
1.751247292E0,3.598756790E-1,5.094376802E-1,-2.586807013E-1
1.771331292E0,7.439643890E-2,9.517891705E-2,-2.274074256E-1
1.791415292E0,-3.972215056E-1,-8.022409678E-2,-2.327136993E-1
1.811499292E0,-5.901409388E-1,2.386293560E-1,-2.154036164E-1
1.831582292E0,-3.531941772E-1,7.168343663E-1,-1.173392832E-1
1.851666292E0,8.115408570E-2,7.409601212E-1,7.046525180E-2
1.871750292E0,3.966909349E-1,2.990433872E-1,2.196669579E-1
1.891834292E0,3.585218489E-1,-7.962117344E-2,3.401443958E-1
1.911918292E0,-1.083101332E-2,-1.569920033E-1,5.408720970E-1
1.932002292E0,-3.532719910E-1,3.495107591E-2,7.609080672E-1
1.952086292E0,-4.157400131E-1,1.957995892E-1,8.862925172E-1
1.972170292E0,-1.457259506E-1,2.228723466E-1,8.847430944E-1
1.992254292E0,2.754916847E-1,1.743317842E-1,8.364571929E-1
2.012338292E0,5.961060524E-1,5.358894169E-2,8.027578592E-1
2.032422292E0,7.046809793E-1,-7.666689903E-2,7.508564591E-1
