"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668853738649347E9,"2022-11-19 18:28:58.649 UTC+08:00"
"PAUSE",1.506146383750020E2,1.668853889260078E9,"2022-11-19 18:31:29.260 UTC+08:00"
