"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.000000000E-2,-2.589999884E-2,6.258999705E-1,9.248999953E-1
3.000000000E-2,-3.549999744E-2,6.161000133E-1,9.761999846E-1
5.000000000E-2,-1.722899914E0,1.516899943E0,1.294700027E0
7.000781300E-2,-3.409999907E-1,1.674099922E0,1.686100006E0
1.000000000E-1,3.989000022E-1,1.045999974E-1,8.323999643E-1
1.200062500E-1,9.418999553E-1,-6.283000112E-1,8.633999825E-1
1.500000000E-1,9.542999864E-1,-9.100999832E-1,3.192999959E-1
1.700093750E-1,3.351999819E-1,-8.089999557E-1,4.899999797E-1
2.000000000E-1,-9.308999777E-1,-8.479999900E-1,1.624099970E0
2.200000000E-1,-1.278100014E0,-9.769999981E-1,1.358600020E0
2.400000000E-1,-1.259599924E0,-9.617999792E-1,1.054999948E0
2.600046880E-1,-9.325000048E-1,-8.513999581E-1,1.145900011E0
2.899984380E-1,-1.802999973E-1,-3.695999980E-1,-1.458999962E-1
3.100031250E-1,7.029999793E-2,7.789999992E-2,-9.873999953E-1
3.399984380E-1,4.201999903E-1,5.306000113E-1,-2.011699915E0
3.600062500E-1,2.890999913E-1,9.584999681E-1,-2.411900043E0
3.900000000E-1,-2.168999910E-1,9.418999553E-1,-1.904799938E0
4.199984380E-1,6.529999524E-2,4.445999861E-1,-5.582000017E-1
4.399984380E-1,3.531000018E-1,4.521999955E-1,-2.397999913E-1
4.600078130E-1,2.430999875E-1,6.129999757E-1,-3.027999997E-1
4.899984380E-1,4.250999987E-1,9.052999616E-1,-1.318999976E-1
5.100046880E-1,6.776999831E-1,1.036999941E0,-1.457999945E-1
5.399984380E-1,7.149999738E-1,1.341599941E0,-4.420999885E-1
5.599984380E-1,9.046999812E-1,1.390299916E0,-5.983999968E-1
5.799984380E-1,1.023800015E0,1.298399925E0,-2.750000060E-1
5.999984380E-1,9.314000010E-1,1.287699938E0,6.354999542E-1
6.199984380E-1,8.148999810E-1,1.317600012E0,1.026600003E0
6.399984380E-1,7.767999768E-1,1.392099977E0,1.085799932E0
6.599984380E-1,9.310999513E-1,1.475099921E0,1.000100017E0
6.799984380E-1,8.039999604E-1,1.470899940E0,5.828999877E-1
6.999984380E-1,5.554000139E-1,1.375299931E0,6.466999650E-1
7.199984380E-1,1.994999945E-1,1.097899914E0,1.686399937E0
7.399984380E-1,-6.700000167E-2,8.014999628E-1,2.457099915E0
7.599984380E-1,-1.840000004E-1,6.517999768E-1,2.344699860E0
7.799984380E-1,-3.753999770E-1,3.466999829E-1,2.273599863E0
8.000000000E-1,-3.398999870E-1,-3.619999811E-2,2.119099855E0
8.300000000E-1,-3.631999791E-1,-4.842999876E-1,4.241999984E-1
8.500000000E-1,-6.100000143E-1,-5.838999748E-1,-1.242499948E0
8.700000000E-1,-1.147400022E0,-4.623999894E-1,-2.462699890E0
8.900000000E-1,-1.685400009E0,-7.677999735E-1,-2.746999979E0
