"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.569583333E-2,-2.999988496E-1,-3.171799183E-1,-5.158257484E-1
6.561083334E-2,-3.863002360E-1,-4.219348729E-1,-4.925124943E-1
8.552483333E-2,-4.328633249E-1,-4.612287283E-1,-4.539303184E-1
1.054398333E-1,-3.205527365E-1,-3.819662631E-1,-4.476495981E-1
1.253538333E-1,-1.737318039E-1,-3.885733783E-1,-4.187914431E-1
1.452678333E-1,-1.090490818E-1,-2.904306650E-1,-3.969298303E-1
1.651828333E-1,-4.917323962E-2,-2.244443297E-1,-3.592347205E-1
1.850968333E-1,-7.043470442E-2,-2.327180058E-1,-2.985473275E-1
2.050118333E-1,-1.565485299E-1,-3.028873801E-1,-2.818105519E-1
2.249258333E-1,-2.343655676E-1,-3.408006132E-1,-1.378106177E-1
2.448408333E-1,-2.492127120E-1,-4.207578301E-1,6.111410260E-2
2.647548333E-1,-2.508957982E-1,-4.664682746E-1,1.902855039E-1
2.846688333E-1,-3.078193665E-1,-5.173429847E-1,2.956952155E-1
3.045838333E-1,-3.998588622E-1,-5.167194009E-1,3.423558176E-1
3.244978333E-1,-4.020918012E-1,-3.871822059E-1,3.537159562E-1
3.444128333E-1,-3.595274389E-1,-3.551087976E-1,4.023253322E-1
3.643268333E-1,-3.692458570E-1,-4.707581699E-1,4.331895113E-1
3.842408333E-1,-3.519680500E-1,-6.017842293E-1,4.169368744E-1
4.041558333E-1,-2.870364189E-1,-4.095149040E-1,3.368661106E-1
4.240698333E-1,-1.920876950E-1,-2.085870802E-1,2.379040122E-1
4.439848333E-1,-1.122373492E-1,-4.527586326E-2,2.402268052E-1
4.638988333E-1,-8.309990168E-2,-1.360416785E-2,2.732894719E-1
4.838138333E-1,-1.101678386E-1,-7.381994277E-2,3.011678159E-1
5.037278333E-1,-2.015523016E-1,-4.514291510E-2,3.065309525E-1
5.236418333E-1,-3.055241406E-1,5.120677501E-2,2.618387043E-1
5.435568333E-1,-3.246118128E-1,1.019487083E-1,2.118192166E-1
5.634708333E-1,-1.846442074E-1,1.040749624E-1,1.926365495E-1
5.833858333E-1,-3.963604569E-2,4.932046682E-2,2.294900715E-1
6.032998333E-1,-2.053646185E-2,1.678381562E-1,2.448209524E-1
6.232148333E-1,-3.780294582E-2,1.766291559E-1,2.186630964E-1
6.431288333E-1,-5.064468086E-2,-1.381504163E-2,2.499825060E-1
6.630438333E-1,-9.519416839E-2,-7.923679799E-2,2.903771996E-1
6.829578333E-1,-1.288852096E-1,-5.239262432E-2,2.796543837E-1
7.028718333E-1,-1.578919291E-1,-4.741051793E-2,1.975820661E-1
7.227868333E-1,-1.929838806E-1,-1.523559093E-1,1.640558690E-1
7.427008333E-1,-1.791354120E-1,-1.262047440E-1,1.739252359E-1
7.626158333E-1,-1.981985122E-1,-8.968369663E-2,1.547839642E-1
7.825298333E-1,-2.788517773E-1,-9.069824219E-2,1.246031001E-1
8.024448333E-1,-3.173206747E-1,-8.350103348E-2,3.283299878E-2
8.223588333E-1,-3.354184330E-1,-1.070044190E-1,3.336130455E-2
8.422728333E-1,-3.099077344E-1,-3.229283541E-2,1.162099391E-1
8.621878333E-1,-2.205718160E-1,2.456434257E-2,1.873709708E-1
8.821018333E-1,-1.962543726E-1,2.257082760E-1,3.197431266E-1
9.020168333E-1,2.353283018E-2,1.188246310E-1,3.643890619E-1
9.219308333E-1,1.848001033E-1,-3.147814795E-2,2.169512808E-1
9.418458333E-1,1.041869521E-1,2.275208570E-2,1.874046028E-1
9.617596667E-1,5.063663796E-2,2.368647046E-2,1.769180596E-1
9.816736667E-1,8.765108883E-2,-6.105069444E-2,1.801677495E-1
1.001588667E0,1.491151303E-1,-7.476296276E-2,2.004091293E-1
1.021502667E0,2.235180140E-1,-5.893880874E-2,2.264222354E-1
1.041417667E0,2.121862173E-1,-1.847706176E-2,2.046762109E-1
1.061331667E0,1.621893942E-1,-2.612523735E-2,1.692903340E-1
1.081246667E0,1.079045832E-1,-7.541586459E-2,1.869067103E-1
1.101160667E0,3.745624050E-2,-7.430730015E-2,2.065049708E-1
1.121075667E0,5.856743082E-4,-4.681260325E-4,2.151380330E-1
1.140989667E0,4.736945033E-2,3.887592256E-2,2.476950437E-1
1.160903667E0,1.292264909E-1,1.066255420E-1,2.795102596E-1
1.180818667E0,1.661094129E-1,2.015918791E-1,2.548291385E-1
1.200732667E0,1.508288831E-1,1.529650092E-1,2.481672615E-1
1.220647667E0,6.592594832E-2,2.166818678E-1,2.044992447E-1
1.240561667E0,3.924254328E-2,1.832730323E-1,2.071900517E-1
1.260476667E0,7.091894746E-2,3.524477780E-2,1.912544519E-1
1.280390667E0,1.018845066E-1,6.728403270E-2,1.793824732E-1
1.300305667E0,1.526519507E-1,-4.249015823E-2,2.457569242E-1
1.320219667E0,2.061879635E-1,-1.229394153E-1,2.332638800E-1
1.340133667E0,1.845494360E-1,-2.149142474E-1,2.298711389E-1
1.360048667E0,1.687914878E-1,-2.075424045E-1,2.293511331E-1
1.379962667E0,2.200957835E-1,-3.488813341E-1,2.832208276E-1
