"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.604411125E-2,3.211088344E1,1.189556779E2,1.640846443E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.604411125E-2,3.211088277E1,1.189556814E2,1.641754150E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.176429987E0,3.211093992E1,1.189554834E2,1.991364384E1,4.499999881E-1,2.573437500E2,1.202080820E1,1.202080820E1
2.479259014E0,3.211094100E1,1.189554868E2,1.976508427E1,4.499999881E-1,2.573437500E2,1.305702440E1,1.305702440E1
3.483598948E0,3.211087496E1,1.189554630E2,1.617084599E1,4.499999881E-1,2.573437500E2,9.941869983E0,9.941869983E0
4.485440969E0,3.211079143E1,1.189554638E2,1.728949833E1,4.399999976E-1,2.573437500E2,9.578027615E0,9.578027615E0
5.485612154E0,3.211089419E1,1.189556185E2,1.817426395E1,4.300000072E-1,2.573437500E2,8.241806496E0,8.241806496E0
7.487207174E0,3.211100664E1,1.189555882E2,1.841864872E1,5.299999714E-1,2.573437500E2,6.515255156E0,6.515255156E0
8.342284083E0,3.211090052E1,1.189554936E2,1.383216190E1,5.299999714E-1,6.082031250E1,7.900544338E0,7.900544338E0
9.342299104E0,3.211089306E1,1.189554963E2,1.323468876E1,5.299999714E-1,8.648437500E1,5.122928816E0,5.122928816E0
1.034232152E1,3.211088325E1,1.189554947E2,1.035364628E1,5.600000024E-1,2.460937500E2,4.028359053E0,4.028359053E0
1.134235346E1,3.211087236E1,1.189554885E2,1.068256474E1,5.799999833E-1,2.070703125E2,3.888477595E0,3.888477595E0
1.234237683E1,3.211086259E1,1.189554840E2,1.192847538E1,5.099999905E-1,2.369531250E2,3.718689911E0,3.718689911E0
1.334240746E1,3.211085295E1,1.189554814E2,1.235889530E1,6.299999952E-1,2.105859375E2,3.684031026E0,3.684031026E0
1.434243941E1,3.211084218E1,1.189554821E2,1.274079227E1,6.200000048E-1,1.789453125E2,3.649031246E0,3.649031246E0
1.534246886E1,3.211083659E1,1.189554822E2,1.274079232E1,6.200000048E-1,1.789453126E2,3.649031246E0,3.649031246E0
1.634250176E1,3.211082435E1,1.189554874E2,1.289002328E1,6.299999952E-1,1.659375009E2,3.618778286E0,3.618778286E0
1.734252727E1,3.211080872E1,1.189554946E2,1.186182506E1,8.399999738E-1,1.596093766E2,3.673334338E0,3.673334338E0
1.834255290E1,3.211079959E1,1.189555038E2,1.172156627E1,8.399999738E-1,1.462500026E2,3.933417936E0,3.933417936E0
1.934258139E1,3.211079847E1,1.189555166E2,1.171570689E1,8.399999738E-1,1.117968794E2,4.154740250E0,4.154740250E0
2.034260738E1,3.211080048E1,1.189555278E2,1.166370494E1,8.399999738E-1,9.000000473E1,4.134524548E0,4.134524548E0
2.134263635E1,3.211080354E1,1.189555347E2,1.151270394E1,6.800000072E-1,7.453125369E1,4.116383631E0,4.116383631E0
2.234265959E1,3.211080938E1,1.189555385E2,1.148871713E1,6.800000072E-1,5.238281553E1,4.116383509E0,4.116383509E0
2.334268534E1,3.211081822E1,1.189555358E2,1.184327035E1,6.800000072E-1,1.195312579E1,4.116383416E0,4.116383416E0
2.434270811E1,3.211082674E1,1.189555310E2,1.190992074E1,7.099999785E-1,3.480468742E2,4.116383351E0,4.116383351E0
2.534273183E1,3.211083429E1,1.189555247E2,1.198474985E1,7.300000191E-1,3.371484359E2,4.116383332E0,4.116383332E0
2.634275150E1,3.211083865E1,1.189555150E2,1.195014291E1,7.300000191E-1,3.153515596E2,4.116383382E0,4.116383382E0
2.734277582E1,3.211083847E1,1.189555033E2,1.200348764E1,7.300000191E-1,2.830078085E2,4.116383505E0,4.116383505E0
2.834279764E1,3.211083779E1,1.189554929E2,1.225879770E1,7.300000191E-1,2.689453084E2,4.574574262E0,4.574574262E0
2.934281874E1,3.211083576E1,1.189554886E2,1.276880744E1,4.499999881E-1,2.548828101E2,4.574574279E0,4.574574279E0
3.034284127E1,3.211083227E1,1.189554855E2,1.375055793E1,4.499999881E-1,2.425781228E2,4.574574292E0,4.574574292E0
3.134286308E1,3.211083317E1,1.189554889E2,1.447553350E1,0.000000000E0,-1.000000000E0,4.574574289E0,4.574574289E0
3.234288657E1,3.211083292E1,1.189554889E2,1.474640752E1,0.000000000E0,-1.000000000E0,4.574574289E0,4.574574289E0
3.334290898E1,3.211083288E1,1.189554891E2,1.496515752E1,0.000000000E0,-1.000000000E0,4.574574289E0,4.574574289E0
3.434293282E1,3.211083162E1,1.189554904E2,1.527808477E1,2.099999934E-1,-1.000000000E0,4.574574288E0,4.574574288E0
3.534295583E1,3.211082904E1,1.189554897E2,1.559208214E1,2.948792669E-1,-1.000000000E0,4.792006761E0,4.792006761E0
3.634297967E1,3.211083989E1,1.189554762E2,1.566452626E1,6.522597530E-1,3.363330576E2,4.797316104E0,4.797316104E0
3.734300303E1,3.211085147E1,1.189554759E2,1.589446045E1,7.463870612E-1,3.583261853E2,4.797462144E0,4.797462144E0
3.834302688E1,3.211085876E1,1.189554835E2,1.616832785E1,5.935652706E-1,3.810672696E1,4.796876486E0,4.796876486E0
3.934305108E1,3.211085581E1,1.189554944E2,1.605260196E1,3.748414695E-1,5.529045531E1,4.737946136E0,4.737946136E0
4.034307563E1,3.211084767E1,1.189554843E2,1.602082703E1,0.000000000E0,5.529044999E1,4.741381577E0,4.741381577E0
4.134309971E1,3.211084394E1,1.189554803E2,1.605932014E1,0.000000000E0,5.867795651E1,4.740815511E0,4.740815511E0
