"Time (s)","X (hPa)"
-5.282757083E-1,1.017496033E3
4.976702917E-1,1.017498169E3
1.523632292E0,1.017500229E3
2.549582292E0,1.017500534E3
3.575530292E0,1.017507019E3
3.777065292E0,1.017507706E3
4.836072292E0,1.017509155E3
5.895080292E0,1.017509155E3
6.954087292E0,1.017509766E3
8.013122292E0,1.017510681E3
9.072126292E0,1.017513733E3
1.013112129E1,1.017516174E3
1.119010029E1,1.017519226E3
1.224907229E1,1.017523651E3
1.330802429E1,1.017523651E3
1.436698329E1,1.017520294E3
1.542599729E1,1.017518463E3
1.648499529E1,1.017514877E3
1.754398729E1,1.017510681E3
1.860299729E1,1.017506409E3
1.966201129E1,1.017505569E3
2.072099229E1,1.017506180E3
2.177995629E1,1.017506180E3
2.283894329E1,1.017508087E3
2.389791229E1,1.017514725E3
2.495689929E1,1.017520142E3
2.601592029E1,1.017522202E3
2.707487229E1,1.017525787E3
2.813382829E1,1.017525787E3
2.919281929E1,1.017522430E3
3.025177629E1,1.017518463E3
3.131078529E1,1.017515640E3
3.236978329E1,1.017511215E3
3.342874629E1,1.017511215E3
3.448769429E1,1.017512283E3
3.554668129E1,1.017512589E3
3.660575629E1,1.017514801E3
3.766477729E1,1.017520523E3
3.872377629E1,1.017523422E3
3.978277529E1,1.017526245E3
4.084172229E1,1.017526245E3
4.190067229E1,1.017520981E3
4.295962429E1,1.017513733E3
4.401860429E1,1.017504501E3
4.507758429E1,1.017499008E3
4.613655729E1,1.017498703E3
4.719553629E1,1.017498703E3
4.825453929E1,1.017500305E3
4.931358729E1,1.017503052E3
5.037260529E1,1.017503281E3
5.143158029E1,1.017504578E3
5.249060329E1,1.017505569E3
5.354963229E1,1.017506485E3
5.460865429E1,1.017508087E3
5.566767429E1,1.017512589E3
5.672670529E1,1.017515335E3
5.778579929E1,1.017515640E3
5.884490929E1,1.017517624E3
5.990402229E1,1.017518005E3
6.096308529E1,1.017518616E3
6.202222629E1,1.017520142E3
6.308131129E1,1.017521210E3
6.414039929E1,1.017521362E3
6.519948429E1,1.017522812E3
6.625860429E1,1.017522812E3
6.731772029E1,1.017521591E3
6.837682529E1,1.017521591E3
6.943588129E1,1.017523041E3
7.049497329E1,1.017523041E3
7.155410029E1,1.017522583E3
7.261319629E1,1.017522583E3
7.367227229E1,1.017522583E3
7.473138029E1,1.017522049E3
7.579058529E1,1.017522049E3
7.684980329E1,1.017522659E3
7.790893429E1,1.017524796E3
7.896808429E1,1.017526855E3
8.002719829E1,1.017527237E3
8.108628829E1,1.017527237E3
8.214542129E1,1.017527008E3
8.320452529E1,1.017525787E3
8.426362029E1,1.017520905E3
8.532271529E1,1.017520905E3
8.638173629E1,1.017520905E3
8.744083429E1,1.017520905E3
8.849991529E1,1.017519531E3
8.955900729E1,1.017518387E3
9.061809929E1,1.017518387E3
9.167720429E1,1.017518387E3
9.273629929E1,1.017518387E3
9.379543229E1,1.017516174E3
9.485452629E1,1.017515488E3
9.591363429E1,1.017514038E3
9.697272729E1,1.017512360E3
