"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.880733320E-2,3.889293671E1,9.298955917E0,-3.011219025E1
4.874533322E-2,3.856826019E1,9.443456650E0,-3.043525696E1
6.868433324E-2,3.792583466E1,1.008843040E1,-3.088268280E1
8.862233325E-2,3.782462311E1,1.048582935E1,-3.097269058E1
1.085613333E-1,3.793059540E1,1.081994820E1,-3.091002655E1
1.284993333E-1,3.782082367E1,1.136582565E1,-3.079373932E1
1.484383333E-1,3.762636566E1,1.172948742E1,-3.043590546E1
1.683763333E-1,3.750699615E1,1.244763756E1,-3.063045883E1
1.883153333E-1,3.713208771E1,1.309709167E1,-3.085834122E1
2.082533333E-1,3.671140289E1,1.365346718E1,-3.074607468E1
2.281923334E-1,3.601076508E1,1.417057133E1,-3.146297073E1
2.481303334E-1,3.531412506E1,1.443644333E1,-3.207942963E1
2.680693334E-1,3.455831146E1,1.481526756E1,-3.274836349E1
2.880073334E-1,3.369033051E1,1.553379631E1,-3.344977951E1
3.079463334E-1,3.260727692E1,1.633348656E1,-3.396546555E1
3.278843332E-1,3.171417999E1,1.766719055E1,-3.407466507E1
3.478233332E-1,3.151198578E1,1.834345055E1,-3.397002792E1
3.677613332E-1,3.177104950E1,2.049038124E1,-3.244939804E1
3.877003333E-1,3.232465363E1,2.312152100E1,-3.003632355E1
4.076383333E-1,3.257936859E1,2.553071213E1,-2.727438354E1
4.275773333E-1,3.214302826E1,2.715937805E1,-2.654526520E1
4.475153333E-1,3.142287445E1,2.741045380E1,-2.712604523E1
4.674543333E-1,3.244567108E1,2.606225014E1,-2.716355515E1
4.873923333E-1,3.438797760E1,2.354413223E1,-2.726817703E1
5.073313334E-1,3.543032074E1,2.045220184E1,-2.838660049E1
5.272693334E-1,3.435732269E1,1.821796799E1,-3.106197357E1
5.472083334E-1,3.221237946E1,1.755717659E1,-3.369764328E1
5.671463334E-1,3.056320953E1,1.736837578E1,-3.543099213E1
5.870853334E-1,2.957839203E1,1.710612869E1,-3.631073380E1
6.070233334E-1,2.981209564E1,1.610968781E1,-3.667609406E1
6.269623332E-1,3.072298431E1,1.469562721E1,-3.668907547E1
6.469003332E-1,3.163800812E1,1.346261787E1,-3.630992508E1
6.668393333E-1,3.223595428E1,1.203929615E1,-3.611797333E1
6.867773333E-1,3.261049652E1,1.082030010E1,-3.643838120E1
