"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.000000000E-3,3.251999915E-1,-1.973999888E-1,8.863999844E-1
2.400000000E-2,6.832000017E-1,-4.731999934E-1,4.697999954E-1
4.400000000E-2,4.475999773E-1,-4.648000002E-1,4.256999791E-1
6.402343800E-2,-2.122000009E-1,-3.725000024E-1,2.426999956E-1
9.400000000E-2,6.893999577E-1,-5.210999846E-1,-1.762899995E0
1.140000000E-1,1.480000019E0,-1.265799999E0,-2.748100042E0
1.340000000E-1,1.213199973E0,2.911999822E-1,5.840099812E0
1.540000000E-1,-7.443999648E-1,5.514000058E-1,3.523099899E0
1.740000000E-1,3.399999812E-3,1.923099995E0,-5.460000038E-2
1.940000000E-1,1.669399977E0,-2.794399977E0,-2.889999866E0
2.140046880E-1,2.992300034E0,-4.652499676E0,-5.220299721E0
2.439984380E-1,7.428999543E-1,-1.041999981E-1,-4.079999924E0
2.640265630E-1,-6.609999537E-1,1.228500009E0,-4.394599915E0
2.939984380E-1,-1.389599919E0,-5.482999682E-1,-5.129499912E0
3.140015630E-1,-4.423099995E0,-1.722399950E0,4.331900120E0
3.439984380E-1,-2.609999895E0,1.202399969E0,-5.482999682E-1
3.640187500E-1,-9.601999521E-1,6.764999628E-1,-1.750599980E0
3.939984380E-1,8.809999824E-1,-5.404999852E-1,2.124699831E0
4.140000000E-1,-1.350799918E0,5.713999867E-1,-1.533000022E-1
4.439984380E-1,8.055999875E-1,-3.788000047E-1,1.761999965E0
4.640171880E-1,2.824499846E0,-1.146999955E0,3.195099831E0
4.939984380E-1,3.560899973E0,-1.690899968E0,4.208300114E0
5.139984380E-1,2.757900000E0,-1.984799981E0,1.690400004E0
5.339984380E-1,2.900699854E0,-2.422899961E0,-1.561399937E0
5.539984380E-1,3.403800011E0,-1.390900016E0,-4.680500031E0
5.739984380E-1,5.119999647E-1,2.395799875E0,3.285999894E-1
5.939984380E-1,-2.249300003E0,4.408299923E0,1.452799916E0
6.139984380E-1,-1.450999975E-1,-1.412699938E0,-1.655200005E0
6.339984380E-1,1.468500018E0,-2.098799944E0,-5.542200089E0
6.539984380E-1,1.396899939E0,-3.192899942E0,-8.155999780E-1
6.739984380E-1,-1.221999973E-1,-4.812399864E0,-2.372299910E0
6.939984380E-1,-1.373199940E0,-4.094500065E0,-2.263999879E-1
7.139984380E-1,-3.372599840E0,-5.537999630E0,-3.366000056E-1
7.339984380E-1,-5.935299873E0,-7.116199970E0,-7.519999743E-1
7.539984380E-1,-8.106900215E0,-8.112500191E0,-1.136299968E0
7.739984380E-1,-1.085859966E1,-9.070799828E0,-2.762300014E0
7.939984380E-1,-9.939899445E0,-9.455999374E0,-3.164499998E0
8.140000000E-1,-4.340499878E0,-1.056149960E1,-2.863999844E0
8.439984380E-1,6.379899979E0,-7.297899723E0,-3.089999855E-1
8.640171880E-1,1.134270000E1,-5.078799725E0,2.260999978E-1
