"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211462000E1,1.189523110E2,0.000000000E0,0.000000000E0,0.000000000E0,1.000000000E2,0.000000000E0
5.722807290E-1,3.211398829E1,1.189527407E2,-8.833040534E-1,1.189909220E0,2.413420868E2,1.337710762E1,1.337710762E1
1.570097916E0,3.211400503E1,1.189527166E2,-1.147658740E0,9.254844189E-1,2.554141541E2,1.143390274E1,1.143390274E1
2.571646354E0,3.211401461E1,1.189527159E2,1.076669911E0,8.541840911E-1,2.474446869E2,8.104436874E0,8.104436874E0
3.146139583E0,3.211400866E1,1.189527076E2,2.717977311E0,9.968332648E-1,2.565916138E2,7.308162689E0,7.308162689E0
4.146019791E0,3.211400992E1,1.189526924E2,4.283947976E0,9.195389748E-1,2.562359314E2,6.271842003E0,6.271842003E0
5.150113541E0,3.211398219E1,1.189526795E2,8.092901656E0,1.040914178E0,2.410935516E2,4.699999809E0,4.699999809E0
6.150251562E0,3.211398643E1,1.189526635E2,7.785239118E0,1.313287973E0,2.410935516E2,4.699999809E0,4.699999809E0
7.155945832E0,3.211400798E1,1.189526273E2,8.881231355E0,8.446722627E-1,2.392512207E2,4.699999809E0,4.699999809E0
8.155430207E0,3.211401301E1,1.189526083E2,1.127021015E1,1.404131770E0,2.495166016E2,2.781975746E0,2.781975746E0
9.164046353E0,3.211401172E1,1.189525927E2,1.213326727E1,1.349323392E0,2.573356934E2,3.040609360E0,3.040609360E0
1.016050937E1,3.211400677E1,1.189525809E2,1.265848882E1,1.042668581E0,2.457640991E2,3.116724968E0,3.116724968E0
1.115180573E1,3.211400298E1,1.189525677E2,1.307161171E1,9.608743191E-1,2.385783691E2,3.193312407E0,3.193312407E0
1.215399687E1,3.211399782E1,1.189525526E2,1.297107183E1,1.122305274E0,2.266485596E2,3.240752697E0,3.240752697E0
1.316336875E1,3.211399039E1,1.189525389E2,1.297765113E1,1.220768452E0,2.304924774E2,3.415784359E0,3.415784359E0
1.416293229E1,3.211398601E1,1.189525264E2,1.314299770E1,1.280271411E0,2.346367035E2,3.439892530E0,3.439892530E0
1.515476614E1,3.211397806E1,1.189525110E2,1.311417975E1,1.329787612E0,2.335764008E2,3.747723818E0,3.747723818E0
1.616373698E1,3.211397016E1,1.189524968E2,1.332650379E1,1.371700406E0,2.341561890E2,3.725044250E0,3.725044250E0
1.716617448E1,3.211396400E1,1.189524817E2,1.322165838E1,1.395784259E0,2.161041107E2,4.080576897E0,4.080576897E0
1.816376510E1,3.211399041E1,1.189524607E2,1.285595613E1,9.994448423E-1,2.676070862E2,3.960356951E0,3.960356951E0
1.916612083E1,3.211398547E1,1.189524567E2,1.263118223E1,7.341855168E-1,2.621254883E2,3.889354229E0,3.889354229E0
