"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211441250E1,1.189527422E2,8.545049723E0,7.715300918E-1,4.030717373E0,3.913758516E0,3.913758516E0
4.849411460E-1,3.211441250E1,1.189527422E2,8.545049723E0,7.715300918E-1,4.030717373E0,3.913758516E0,3.913758516E0
8.567880210E-1,3.211446308E1,1.189527138E2,8.353978305E0,6.584533453E-1,2.095399475E2,8.049416542E0,8.049416542E0
1.872568750E0,3.211439753E1,1.189527490E2,8.939455900E0,2.302040905E-1,1.485104523E2,4.699999809E0,4.699999809E0
2.868594792E0,3.211441106E1,1.189527806E2,1.180224567E1,4.738097191E-1,5.028039169E1,6.254981041E0,6.254981041E0
3.460916146E0,3.211442957E1,1.189527724E2,6.696954379E0,1.109932899E0,7.253646851E1,8.707957268E0,8.707957268E0
4.465580208E0,3.211443384E1,1.189527737E2,7.281127467E0,1.571108222E0,7.792028809E1,6.980471611E0,6.980471611E0
5.464078124E0,3.211444467E1,1.189528067E2,7.017522395E0,1.475549340E0,8.455534363E1,5.724517822E0,5.724517822E0
6.457560416E0,3.211443637E1,1.189528181E2,8.326291085E0,1.477480412E0,8.455534363E1,4.699999809E0,4.699999809E0
7.465687499E0,3.211442967E1,1.189528360E2,9.104480389E0,1.077250123E0,1.176033783E2,4.699999809E0,4.699999809E0
8.464211457E0,3.211442467E1,1.189528436E2,1.028913723E1,1.516366124E0,1.279693146E2,3.306357861E0,3.306357861E0
9.474043228E0,3.211441300E1,1.189528623E2,1.035177381E1,1.459806442E0,1.334892273E2,3.523746490E0,3.523746490E0
1.046982812E1,3.211440365E1,1.189528737E2,1.024610122E1,1.439826488E0,1.349038391E2,3.584731340E0,3.584731340E0
1.147384792E1,3.211439628E1,1.189528852E2,9.661586377E0,1.431384087E0,1.399663696E2,3.628052235E0,3.628052235E0
1.246266354E1,3.211438672E1,1.189528962E2,9.327925874E0,1.462720633E0,1.453286743E2,3.799601316E0,3.799601316E0
1.346514635E1,3.211437403E1,1.189529040E2,9.121584864E0,1.268680215E0,1.462520294E2,3.875927448E0,3.875927448E0
1.446189583E1,3.211436127E1,1.189529073E2,8.823998311E0,1.103073001E0,1.736022949E2,4.045084953E0,4.045084953E0
1.547432187E1,3.211434627E1,1.189529001E2,8.554303048E0,1.202736735E0,2.098817444E2,4.283431530E0,4.283431530E0
1.646693906E1,3.211433327E1,1.189528836E2,8.334617639E0,1.573613286E0,2.441626282E2,4.236742020E0,4.236742020E0
1.747620260E1,3.211432299E1,1.189528586E2,8.197931688E0,1.895699978E0,2.472735291E2,4.103458405E0,4.103458405E0
