"Time (s)","Pressure (hPa)"
1.084600000E-1,1.017757324E3
1.884600000E-1,1.017786621E3
2.684600000E-1,1.017815430E3
3.484600000E-1,1.017802734E3
4.284600000E-1,1.017791016E3
5.084615620E-1,1.017771973E3
5.884600000E-1,1.017781250E3
6.684600000E-1,1.017794922E3
7.484600000E-1,1.017795410E3
8.284600000E-1,1.017814941E3
9.084600000E-1,1.017833984E3
9.884600000E-1,1.017846191E3
1.068460000E0,1.017842773E3
1.148461562E0,1.017841797E3
1.228461562E0,1.017830078E3
1.308460000E0,1.017846191E3
1.388460000E0,1.017836426E3
1.468460000E0,1.017843750E3
1.548460000E0,1.017844727E3
1.628461562E0,1.017847168E3
1.708460000E0,1.017850586E3
1.788461562E0,1.017856445E3
1.868460000E0,1.017833496E3
1.948461562E0,1.017847168E3
2.028460000E0,1.017851562E3
2.108460000E0,1.017850586E3
2.188460000E0,1.017849609E3
2.268460000E0,1.017858398E3
2.348460000E0,1.017861328E3
2.428461562E0,1.017878418E3
2.508466250E0,1.017875977E3
2.588461562E0,1.017847168E3
2.668460000E0,1.017838379E3
2.748460000E0,1.017867676E3
2.828460000E0,1.017874023E3
2.908460000E0,1.017866211E3
2.988460000E0,1.017890625E3
3.068460000E0,1.017878418E3
3.148461562E0,1.017849609E3
3.228461562E0,1.017846680E3
3.308460000E0,1.017854980E3
3.388460000E0,1.017839844E3
3.468460000E0,1.017865234E3
3.548460000E0,1.017894531E3
3.628461562E0,1.017893555E3
3.708460000E0,1.017864746E3
3.788461562E0,1.017846191E3
3.868461562E0,1.017872070E3
3.948461562E0,1.017864746E3
4.028463125E0,1.017864258E3
4.108460000E0,1.017893066E3
4.188460000E0,1.017888184E3
4.268460000E0,1.017865234E3
4.348460000E0,1.017869141E3
4.428460000E0,1.017863281E3
4.508460000E0,1.017850098E3
4.588460000E0,1.017869629E3
4.668460000E0,1.017896973E3
4.748460000E0,1.017882324E3
4.828460000E0,1.017853516E3
4.908460000E0,1.017882324E3
4.988460000E0,1.017884766E3
5.068460000E0,1.017866211E3
5.148461562E0,1.017886230E3
5.228460000E0,1.017886230E3
5.308460000E0,1.017872070E3
5.388460000E0,1.017847656E3
5.468460000E0,1.017870117E3
5.548461562E0,1.017867676E3
5.628460000E0,1.017848145E3
5.708460000E0,1.017859863E3
5.788461562E0,1.017883789E3
5.868461562E0,1.017857422E3
5.948460000E0,1.017838867E3
6.028460000E0,1.017866211E3
6.108460000E0,1.017873047E3
6.188460000E0,1.017870605E3
6.268460000E0,1.017890137E3
6.348460000E0,1.017875488E3
6.428460000E0,1.017877441E3
6.508461562E0,1.017849121E3
6.588461562E0,1.017857422E3
6.668460000E0,1.017874023E3
6.748460000E0,1.017877441E3
6.828460000E0,1.017895508E3
6.908460000E0,1.017900879E3
6.988460000E0,1.017875000E3
7.068460000E0,1.017866211E3
7.148461562E0,1.017870605E3
7.228461562E0,1.017875000E3
7.308460000E0,1.017875000E3
7.388460000E0,1.017877441E3
7.468460000E0,1.017877441E3
7.548460000E0,1.017877441E3
7.628460000E0,1.017849121E3
7.708460000E0,1.017875000E3
7.788461562E0,1.017869629E3
7.868461562E0,1.017856445E3
7.948460000E0,1.017884277E3
8.028460000E0,1.017888184E3
8.108460000E0,1.017871094E3
8.188460000E0,1.017853516E3
8.268460000E0,1.017855957E3
8.348460000E0,1.017856445E3
8.428460000E0,1.017851562E3
8.508461562E0,1.017863281E3
8.588461562E0,1.017887207E3
8.668460000E0,1.017872070E3
8.748460000E0,1.017843262E3
8.828460000E0,1.017860352E3
8.908460000E0,1.017881348E3
8.988460000E0,1.017875488E3
9.068460000E0,1.017885254E3
9.148461562E0,1.017901855E3
9.228461562E0,1.017875000E3
9.308461562E0,1.017863770E3
9.388460000E0,1.017867676E3
9.468460000E0,1.017896973E3
9.548460000E0,1.017893066E3
9.628461562E0,1.017911621E3
9.708460000E0,1.017889648E3
9.788461562E0,1.017860840E3
9.868461562E0,1.017835449E3
9.948460000E0,1.017864258E3
1.002846000E1,1.017863281E3
1.010846000E1,1.017879883E3
1.018846000E1,1.017908203E3
1.026846000E1,1.017892090E3
1.034846000E1,1.017863281E3
1.042846000E1,1.017853516E3
1.050846000E1,1.017875000E3
1.058846000E1,1.017892090E3
1.066846000E1,1.017887695E3
1.074846000E1,1.017899414E3
1.082846000E1,1.017897461E3
1.090846000E1,1.017868652E3
1.098846000E1,1.017868652E3
1.106846000E1,1.017864746E3
1.114846156E1,1.017846191E3
1.122846156E1,1.017869141E3
1.130846000E1,1.017897949E3
1.138846000E1,1.017887207E3
1.146846000E1,1.017857910E3
1.154846156E1,1.017872070E3
1.162846000E1,1.017890137E3
1.170846000E1,1.017890625E3
1.178846000E1,1.017890137E3
1.186846156E1,1.017888184E3
1.194846156E1,1.017878906E3
1.202846000E1,1.017850098E3
1.210846156E1,1.017845215E3
1.218846000E1,1.017861328E3
1.226846000E1,1.017868652E3
1.234846000E1,1.017877930E3
1.242846000E1,1.017900391E3
1.250846156E1,1.017876953E3
1.258846000E1,1.017855469E3
1.266846156E1,1.017865234E3
1.274846156E1,1.017861816E3
1.282846000E1,1.017852051E3
1.290846000E1,1.017869141E3
1.298846000E1,1.017898438E3
1.306846156E1,1.017891602E3
1.314846156E1,1.017862793E3
1.322846156E1,1.017862793E3
1.330846156E1,1.017858398E3
1.338846000E1,1.017857422E3
1.346846000E1,1.017872559E3
1.354846000E1,1.017879883E3
1.362846000E1,1.017857422E3
1.370846000E1,1.017828125E3
1.378846000E1,1.017843262E3
1.386846000E1,1.017872070E3
1.394846156E1,1.017875000E3
1.402846000E1,1.017904297E3
1.410846000E1,1.017884277E3
1.418846000E1,1.017861328E3
1.426846156E1,1.017835449E3
1.434846000E1,1.017855957E3
1.442846156E1,1.017864258E3
1.450846156E1,1.017859863E3
1.458846156E1,1.017888672E3
1.466846156E1,1.017867676E3
1.474846156E1,1.017838379E3
1.482846000E1,1.017826172E3
1.490846000E1,1.017834961E3
1.498846000E1,1.017846191E3
1.506846000E1,1.017872559E3
1.514846156E1,1.017871094E3
1.522846156E1,1.017868652E3
1.530846156E1,1.017862793E3
1.538846000E1,1.017833984E3
1.546846000E1,1.017862793E3
1.554846000E1,1.017876465E3
1.562846000E1,1.017881348E3
1.570846156E1,1.017895020E3
1.578846000E1,1.017867188E3
1.586846000E1,1.017848145E3
1.594846625E1,1.017854492E3
1.602846000E1,1.017855957E3
1.610846000E1,1.017865723E3
1.618846000E1,1.017882324E3
1.626846156E1,1.017882324E3
1.634846156E1,1.017873535E3
1.642846156E1,1.017844727E3
1.650846156E1,1.017851562E3
1.658846000E1,1.017860840E3
1.666846000E1,1.017869141E3
1.674846156E1,1.017888184E3
1.682846000E1,1.017901855E3
1.690846000E1,1.017875000E3
1.698846000E1,1.017846191E3
1.706846000E1,1.017856445E3
1.714846000E1,1.017864746E3
1.722846156E1,1.017860352E3
1.730846156E1,1.017882324E3
1.738846000E1,1.017885742E3
1.746846000E1,1.017873535E3
1.754846000E1,1.017844727E3
1.762846000E1,1.017868652E3
1.770846000E1,1.017859863E3
1.778846000E1,1.017865234E3
1.786846156E1,1.017894043E3
1.794846156E1,1.017888184E3
1.802846000E1,1.017861816E3
1.810846000E1,1.017845703E3
1.818846000E1,1.017875000E3
1.826846000E1,1.017875000E3
1.834846000E1,1.017875000E3
1.842850375E1,1.017876953E3
1.850846156E1,1.017879883E3
1.858846000E1,1.017879883E3
1.866846000E1,1.017851074E3
1.874846000E1,1.017865723E3
1.882846000E1,1.017878418E3
1.890846000E1,1.017884277E3
1.898846000E1,1.017890137E3
1.906846000E1,1.017897461E3
1.914846000E1,1.017870605E3
1.922846156E1,1.017863281E3
1.930846000E1,1.017855957E3
1.938846000E1,1.017864746E3
1.946846000E1,1.017858887E3
1.954846312E1,1.017880859E3
1.962846000E1,1.017880859E3
1.970846000E1,1.017871094E3
1.978846938E1,1.017841797E3
1.986846156E1,1.017831543E3
1.994846156E1,1.017852051E3
2.002846156E1,1.017851074E3
2.010846000E1,1.017865723E3
2.018846000E1,1.017869629E3
