"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.164375005E-3,6.080323675E-1,-3.438414234E-1,-3.206883790E0
2.524737496E-2,3.737907158E-1,3.492834270E-3,-3.276051089E0
4.533037497E-2,3.488007393E-1,2.042748177E-1,-2.925309951E0
6.541337498E-2,1.678962193E-1,2.215188414E-1,-2.313400002E0
8.549637499E-2,-6.493713051E-2,1.818276492E-1,-1.575691302E0
1.055803750E-1,1.608790855E-1,1.507710403E-1,-7.228211045E-1
1.256633750E-1,1.323229288E-1,2.069224370E-1,-1.024771321E-1
1.457463750E-1,-3.812589258E-2,5.527372956E-2,2.672171706E-1
1.658293750E-1,-1.341427284E-1,1.973014283E-1,5.454078108E-1
1.859123750E-1,-1.729135689E-1,2.402764168E-1,8.543887192E-1
2.059963750E-1,-9.697636396E-2,1.610498607E-1,1.116593072E0
2.260793750E-1,2.247753751E-1,8.591372430E-2,1.018172153E0
2.461623750E-1,4.124776487E-1,2.889296365E-1,1.153355101E0
2.662453750E-1,4.269984779E-1,1.884323716E-1,1.498754223E0
2.863293750E-1,-1.091967523E-1,2.229303592E-1,1.568575240E0
3.064123750E-1,-3.294525951E-1,2.772276038E-1,2.999738574E-1
3.264953750E-1,2.742513710E-1,6.670871991E-1,-4.354363024E-2
3.465783750E-1,1.366169339E0,7.335332036E-2,1.750324244E0
3.666613750E-1,9.512319128E-1,-6.671944955E-1,3.429749830E0
3.867453750E-1,4.354390799E-1,-1.012944158E0,3.260248404E0
4.068287500E-1,8.872018316E-1,-5.837825024E-1,1.547710621E0
4.269117500E-1,1.704651935E0,-3.547134438E-1,1.798550910E-1
4.469947500E-1,2.029258797E0,-7.930648756E-1,1.750095034E-1
4.670787500E-1,1.826375470E0,-1.249357319E0,8.435088050E-1
4.871617500E-1,1.553826808E0,-1.183949195E0,8.708550632E-1
5.072447500E-1,1.352245657E0,-9.524286917E-1,1.678794086E-2
5.273277500E-1,9.051902059E-1,-7.749487397E-1,-1.233585917E0
5.474107500E-1,1.877364068E-1,-7.264396539E-1,-2.514847691E0
5.674947500E-1,-3.686815649E-1,-6.674345237E-1,-3.610726417E0
5.875777500E-1,-2.784157580E-1,-8.492759138E-2,-4.281966308E0
6.076607500E-1,8.663393682E-2,5.584321913E-1,-4.481796073E0
6.277437500E-1,3.849318543E-1,1.061804954E0,-3.855746972E0
6.478277500E-1,2.565754939E-1,1.033410582E0,-2.608890799E0
6.679107500E-1,-1.468727016E-1,8.110643595E-1,-1.145344416E0
6.879937500E-1,9.323030870E-2,9.595248726E-1,8.684109271E-2
7.080767500E-1,3.868738608E-1,1.191509353E0,1.185011927E0
7.281607500E-1,2.491922513E-1,1.385543065E0,1.642224430E0
7.482437500E-1,-2.648788691E-1,1.278833133E0,1.412218355E0
7.683267500E-1,-3.632630964E-1,1.244616981E0,1.206303978E0
7.884097500E-1,4.680947560E-1,1.245523592E0,1.611423052E0
8.084927500E-1,1.240204526E0,1.111680826E0,2.452844401E0
8.285767500E-1,9.164566210E-1,8.763543695E-1,2.818691236E0
8.486597500E-1,-3.417061664E-1,8.753954262E-1,2.171372888E0
8.687427500E-1,-1.414886586E0,1.353588031E0,3.194053245E-1
8.888257500E-1,-2.015017172E0,1.656657112E0,-1.243722065E0
9.089097500E-1,-1.864716102E0,8.048315200E-1,-2.549888885E-1
9.289927500E-1,-1.843167796E0,-2.709538338E-1,2.009216149E0
9.490757500E-1,-2.406507410E0,-1.306594251E0,2.409475603E0
9.691597500E-1,-2.842385615E0,-1.464815522E0,1.154026946E0
9.892427500E-1,-2.535960525E0,-1.302073477E0,2.319070047E-1
1.009325750E0,-2.168628351E0,-1.152706937E0,9.226730883E-2
1.029408750E0,-1.396311589E0,-1.121921932E0,4.387341321E-1
1.049492750E0,-7.226918811E-1,-1.203704891E0,6.056329626E-1
1.069575750E0,-4.097002213E-1,-1.094292961E0,1.109088171E-1
1.089658750E0,-5.673684910E-2,-8.666248950E-1,-7.618775815E-1
1.109741750E0,1.573724006E-1,-5.816628867E-1,-1.521359559E0
1.129825750E0,1.375082396E-1,-3.490822828E-1,-2.322780690E0
1.149908750E0,-1.916655895E-1,-2.507350391E-1,-2.875116867E0
1.169991750E0,-4.416928232E-1,-2.529125422E-1,-3.090997238E0
1.190074750E0,-5.026659800E-1,-2.604911184E-1,-2.898781718E0
1.210158750E0,-6.349526560E-1,-1.907697961E-1,-2.392326304E0
1.230241750E0,-5.561973855E-1,-3.085499686E-1,-1.394991873E0
1.250324750E0,-4.110557520E-1,-6.626707971E-2,-8.589062780E-1
1.270407750E0,-4.091649087E-1,-1.864305773E-1,-1.256391227E-2
1.290491750E0,-4.337520120E-1,-1.621517685E-1,7.300909477E-1
1.310574750E0,-6.397533663E-1,-4.659447348E-1,1.442096457E0
1.330657750E0,-5.438489431E-1,-7.367591125E-1,1.997415884E0
1.350741750E0,1.951069683E-3,-5.409963790E-1,1.909835118E0
1.370824750E0,2.599047706E-1,5.213172823E-2,1.465293531E0
1.390908083E0,-1.955352768E-2,2.904197994E-1,1.126295941E0
1.410991083E0,9.078840181E-2,5.679906347E-1,7.759950989E-1
1.431075083E0,1.103668679E0,7.295106116E-1,9.495328581E-1
1.451158083E0,1.603648009E0,1.182014644E-3,3.165290206E0
1.471241083E0,6.308172128E-1,-9.246968096E-1,5.206635636E0
1.491325083E0,-2.514937153E-1,-1.207707894E0,4.315481379E0
1.511408083E0,2.509632267E-1,-3.610182041E-1,1.417622352E0
1.531491083E0,1.600963991E0,1.806286776E-1,-1.977423084E-1
1.551574083E0,2.585346108E0,-6.499560267E-2,1.644406611E-1
1.571658083E0,2.636669751E0,-6.198528063E-1,1.131632695E0
1.591741083E0,2.040748722E0,-8.735196394E-1,8.229254365E-1
1.611824083E0,1.307432742E0,-9.430933195E-1,-3.282732117E-1
1.631907083E0,6.152606955E-1,-1.009422964E0,-2.031544912E0
1.651991083E0,5.429344386E-2,-9.272078964E-1,-3.709477703E0
1.672074083E0,-1.452294879E-1,-6.899033269E-1,-4.600051332E0
1.692157083E0,-1.175565165E-1,-1.507064286E-1,-4.779619909E0
1.712241083E0,1.015851393E-2,2.915091357E-1,-4.011829038E0
1.732324083E0,4.481569201E-2,7.047049686E-1,-3.225715917E0
1.752407083E0,-3.650168225E-2,9.597502828E-1,-2.508878269E0
1.772491083E0,-2.838986921E-1,8.544559622E-1,-1.610630170E0
1.792574083E0,-6.899465963E-2,9.324929023E-1,-6.971108973E-2
1.812657083E0,2.984424534E-1,1.117013194E0,1.658394905E0
1.832740083E0,-1.373598665E-2,1.366384955E0,2.086389456E0
1.852824083E0,-6.789196247E-1,1.570633168E0,1.443118551E0
1.872907083E0,-7.711983356E-1,1.897138474E0,1.397269363E0
1.892990083E0,-1.578056793E-1,1.725455452E0,1.417234097E0
1.913074083E0,7.442779009E-1,1.587743290E0,1.767235562E0
1.933157083E0,8.462110958E-1,1.679099603E0,2.334516637E0
1.953240083E0,-4.223666060E-1,1.320110383E0,1.076678808E0
1.973323083E0,-1.775279284E0,1.053857126E0,3.482660115E-1
1.993407083E0,-2.437873044E0,-4.794979960E-2,2.014811350E0
2.013490083E0,-2.829941279E0,-1.177818097E0,4.269991211E0
2.033573083E0,-3.263070855E0,-1.718804244E0,3.270490386E0
2.053657083E0,-3.050090702E0,-1.253627833E0,3.328311163E-1
2.073740083E0,-2.291723789E0,-9.108874404E-1,-1.965149778E-1
2.093823083E0,-1.628019204E0,-1.109548639E0,-4.331406856E-1
2.113907083E0,-1.290555193E0,-1.027157570E0,-1.097541674E0
2.133990083E0,-8.231996709E-1,-1.047767251E0,-1.036617780E0
2.154073083E0,-4.418888145E-1,-1.025374461E0,-6.175905186E-1
2.174156083E0,-2.638675931E-1,-1.065947413E0,-7.506164289E-1
2.194240083E0,-1.893650025E-1,-9.714564085E-1,-1.543747963E0
2.214323083E0,-7.101426965E-2,-7.116918066E-1,-2.536193537E0
2.234406083E0,-7.472069174E-2,-5.310277534E-1,-3.199399939E0
2.254490083E0,-1.367845005E-1,-4.300153488E-1,-3.443824078E0
2.274573083E0,-2.171142800E-1,-3.905045432E-1,-3.220562766E0
2.294656083E0,-2.994693889E-1,-2.824117452E-1,-2.923741727E0
2.314739083E0,-4.365591140E-1,-2.839214963E-1,-2.201013594E0
2.334823083E0,-4.291170703E-1,-3.591123042E-1,-1.314413733E0
2.354906083E0,-3.595718953E-1,-3.149403906E-1,-5.382899952E-1
2.374989083E0,-3.528883816E-1,-1.859543216E-1,5.478139400E-1
2.395072708E0,-1.830459166E-1,-1.968865684E-1,1.050169287E0
2.415155708E0,2.135271594E-1,2.404608965E-2,1.261679449E0
2.435238708E0,8.173290664E-1,2.362973866E-1,1.892754232E0
2.455322708E0,9.922438449E-1,2.809341538E-1,2.946690879E0
2.475405708E0,8.486179559E-1,1.657501450E-1,3.810178451E0
2.495488708E0,5.826950665E-1,3.132262793E-1,2.818585986E0
2.515572708E0,1.113993838E0,6.765108642E-1,2.090766097E0
2.535655708E0,2.221109304E0,6.140471059E-1,2.903841314E0
2.555738708E0,2.432437034E0,-2.481112473E-1,4.375341080E0
2.575821708E0,1.856930096E0,-9.228490895E-1,3.809147587E0
2.595905708E0,1.902482975E0,-1.041897377E0,2.051473977E0
2.615988708E0,2.834389548E0,-1.052551442E0,1.388193315E0
2.636071708E0,3.410825024E0,-1.347589957E0,1.014572607E0
2.656155708E0,3.347073124E0,-1.406111231E0,4.218625760E-1
2.676238708E0,2.969045954E0,-1.132664144E0,-2.302025414E-1
2.696321708E0,2.239169892E0,-9.462107626E-1,-1.009766781E0
2.716405708E0,1.516343086E0,-9.959287602E-1,-2.129522611E0
2.736488708E0,9.749917813E-1,-8.602242404E-1,-3.597816934E0
2.756571708E0,4.488080075E-1,-5.283263397E-1,-4.574941633E0
2.776655708E0,2.939500558E-1,-2.962211144E-1,-4.933854840E0
2.796738708E0,4.500289062E-1,1.832564163E-1,-4.650885270E0
2.816821708E0,1.269719955E-1,2.726819783E-1,-3.627973949E0
2.836904708E0,-2.066052255E-1,3.178783241E-1,-2.324208580E0
2.856988708E0,-3.230485784E-1,5.749388811E-1,-8.378393447E-1
2.877071708E0,-2.547281027E-1,6.978359520E-1,-2.708295804E-1
2.897154708E0,-2.042448507E-1,1.190652151E0,-2.005203205E-1
2.917238708E0,-3.767099382E-1,1.592029007E0,5.982648861E-1
2.937321708E0,-7.862816669E-1,1.565126553E0,1.421939936E0
2.957404708E0,-1.235424574E0,1.499752927E0,1.866546426E0
2.977488708E0,-4.988262597E-1,1.353004771E0,2.084849884E0
2.997571708E0,2.930494384E-1,1.638638332E0,3.115707572E0
3.017654708E0,-2.297356412E-1,1.876942483E0,3.849805031E0
3.037738708E0,-1.207379719E0,1.587835676E0,3.575268901E0
3.057821708E0,-1.884702908E0,1.378853265E0,2.950914323E0
3.077904708E0,-2.242929798E0,6.486643767E-1,2.464941121E0
3.097987708E0,-2.634767652E0,-1.911747158E-2,2.106855880E0
3.118071708E0,-2.852280274E0,-4.117199957E-1,8.938533318E-1
3.138154708E0,-2.789187063E0,-6.503629929E-1,5.852887452E-2
3.158237708E0,-2.584777467E0,-1.165013572E0,9.047689140E-2
3.178321708E0,-2.283860453E0,-1.425188941E0,-5.833299279E-2
3.198404708E0,-1.889449824E0,-1.510351298E0,-3.781622404E-1
3.218487708E0,-1.582501262E0,-1.734977642E0,-1.634314317E-1
3.238571708E0,-1.186289397E0,-1.736046806E0,-3.763256299E-1
3.258654708E0,-8.484558418E-1,-1.528016906E0,-1.086917283E0
3.278737708E0,-6.479434150E-1,-1.369606186E0,-2.130716028E0
3.298821708E0,-5.207425010E-1,-1.007057473E0,-2.868417127E0
3.318904708E0,-4.722021326E-1,-7.110813573E-1,-3.439390134E0
3.338987708E0,-4.906793341E-1,-4.895321104E-1,-3.758400187E0
3.359071708E0,-3.121141389E-1,-1.479965365E-1,-3.479706101E0
3.379154708E0,-4.132429031E-1,-6.065433741E-2,-2.925432742E0
3.399237208E0,-3.568120095E-1,-5.788158774E-2,-1.882632117E0
3.419321208E0,-6.582488403E-2,-1.107871950E-2,-6.243703651E-1
3.439404208E0,-6.713509887E-2,-1.305677408E-1,4.248037255E-1
3.459487208E0,-1.725082107E-1,-1.557286021E-1,9.543228972E-1
3.479571208E0,-1.223615025E-1,-2.883270809E-1,1.360374017E0
3.499654208E0,4.066627389E-1,-1.588235334E-1,1.764928250E0
3.519737208E0,9.888681011E-1,-3.321452379E-2,1.987265117E0
3.539820208E0,9.116638045E-1,2.156453133E-2,2.131607144E0
3.559904208E0,4.069004282E-1,2.323642570E-1,1.784987708E0
3.579987208E0,5.958390225E-1,5.982444209E-1,9.919661021E-1
3.600070208E0,1.377996210E0,8.172372651E-1,1.352257497E0
3.620154208E0,1.874596142E0,-7.417309999E-2,3.556027468E0
3.640237208E0,1.634199126E0,-9.219898412E-1,5.203012117E0
3.660320208E0,1.258313207E0,-1.299862060E0,3.900246622E0
3.680404208E0,1.544705883E0,-9.026399428E-1,1.193937702E0
3.700487208E0,2.378072546E0,-7.761795786E-1,4.935459316E-2
3.720570208E0,2.771902986E0,-1.011575909E0,-1.945158148E-1
3.740654208E0,2.890759338E0,-1.101129525E0,-1.976347196E-1
3.760737208E0,2.730005639E0,-1.110165228E0,-3.758368027E-1
3.780820208E0,2.091822835E0,-1.161671596E0,-1.102883105E0
3.800904208E0,1.221714315E0,-1.268959233E0,-2.444276476E0
3.820987208E0,7.255293886E-1,-1.240454349E0,-3.852997611E0
3.841070208E0,5.709029867E-1,-1.015725678E0,-4.762227951E0
3.861154208E0,6.657000934E-1,-6.883254558E-1,-5.063827919E0
3.881237208E0,6.832005174E-1,-3.938886192E-1,-4.988752593E0
3.901320208E0,1.836888179E-1,-1.490154138E-1,-4.302279536E0
3.921404208E0,-3.470541760E-1,-3.764843819E-1,-3.208726832E0
3.941487208E0,-7.873224713E-1,-2.337409839E-1,-2.095121688E0
3.961570208E0,-1.022845833E0,1.216299793E-1,-9.438160354E-1
3.981654208E0,-1.399706483E0,3.711736482E-1,8.622631645E-1
4.001737208E0,-2.001214527E0,9.854584435E-1,1.813235022E0
4.021820208E0,-2.413790848E0,1.771876497E0,1.572146135E0
4.041904208E0,-2.764668810E0,2.454546233E0,1.349651978E0
4.061987208E0,-2.257892676E0,2.565659703E0,2.231509747E0
4.082070208E0,-2.109223125E0,2.056262408E0,5.053824502E0
4.102153208E0,-2.338278735E0,1.600322990E0,7.420423642E0
4.122237208E0,-2.762179651E0,1.945301697E0,6.322821157E0
4.142320208E0,-2.777771544E0,2.318977661E0,4.664086529E0
4.162403208E0,-2.484562915E0,1.389694442E0,5.272447802E0
4.182487208E0,-2.827390431E0,-4.274731256E-1,5.881389704E0
