"Time (s)","Pressure (hPa)"
1.284662500E-1,1.017255859E3
2.084584370E-1,1.017265625E3
2.884584370E-1,1.017249023E3
3.684631250E-1,1.017246582E3
4.484584370E-1,1.017242676E3
5.284600000E-1,1.017242676E3
6.084584370E-1,1.017252441E3
6.884584370E-1,1.017254883E3
7.684584370E-1,1.017256348E3
8.484584370E-1,1.017260742E3
9.284584370E-1,1.017266602E3
1.008458437E0,1.017259766E3
1.088458437E0,1.017257324E3
1.168458437E0,1.017256836E3
1.248458437E0,1.017257324E3
1.328458437E0,1.017249512E3
1.408458437E0,1.017260742E3
1.488458437E0,1.017250977E3
1.568458437E0,1.017253906E3
1.648458437E0,1.017254883E3
1.728458437E0,1.017261230E3
1.808458437E0,1.017252441E3
1.888460000E0,1.017249023E3
1.968458437E0,1.017251953E3
2.048460000E0,1.017245605E3
2.128458437E0,1.017245605E3
2.208458437E0,1.017243164E3
2.288460000E0,1.017254883E3
2.368458437E0,1.017265137E3
2.448458437E0,1.017256348E3
2.528458437E0,1.017259277E3
2.608458437E0,1.017268066E3
2.688460000E0,1.017281738E3
2.768460000E0,1.017276367E3
2.848460000E0,1.017270996E3
2.928458437E0,1.017287109E3
3.008458437E0,1.017294434E3
3.088458437E0,1.017295898E3
3.168458437E0,1.017288086E3
3.248458437E0,1.017295898E3
3.328458437E0,1.017295410E3
3.408458437E0,1.017295410E3
3.488458437E0,1.017298340E3
3.568458437E0,1.017301270E3
3.648458437E0,1.017298340E3
3.728458437E0,1.017295898E3
3.808458437E0,1.017299805E3
3.888460000E0,1.017302734E3
3.968458437E0,1.017298340E3
4.048458437E0,1.017302246E3
4.128458437E0,1.017302246E3
4.208458437E0,1.017304688E3
4.288458437E0,1.017313477E3
4.368458437E0,1.017309570E3
4.448458437E0,1.017309570E3
4.528456875E0,1.017301758E3
4.608458437E0,1.017312500E3
4.688458437E0,1.017309082E3
4.768458437E0,1.017331543E3
4.848458437E0,1.017333008E3
4.928458437E0,1.017329590E3
5.008458437E0,1.017327148E3
5.088458437E0,1.017318359E3
5.168458437E0,1.017328613E3
5.248458437E0,1.017320801E3
5.328458437E0,1.017325684E3
5.408458437E0,1.017324707E3
5.488458437E0,1.017327148E3
5.568458437E0,1.017315918E3
5.648458437E0,1.017325684E3
5.728458437E0,1.017330078E3
5.808458437E0,1.017329102E3
5.888458437E0,1.017346680E3
5.968458437E0,1.017350586E3
6.048458437E0,1.017353516E3
6.128460000E0,1.017351562E3
6.208458437E0,1.017348145E3
6.288460000E0,1.017343750E3
6.368460000E0,1.017343262E3
6.448458437E0,1.017337402E3
6.528458437E0,1.017340332E3
6.608458437E0,1.017331543E3
6.688458437E0,1.017333496E3
6.768458437E0,1.017327637E3
6.848458437E0,1.017333008E3
6.928458437E0,1.017344727E3
7.008458437E0,1.017343262E3
7.088458437E0,1.017341309E3
7.168458437E0,1.017347168E3
7.248458437E0,1.017338867E3
7.328458437E0,1.017326660E3
7.408458437E0,1.017324219E3
7.488458437E0,1.017332520E3
7.568466250E0,1.017333008E3
7.648458437E0,1.017329102E3
7.728460000E0,1.017335449E3
7.808458437E0,1.017345215E3
7.888458437E0,1.017348145E3
7.968458437E0,1.017343750E3
8.048458437E0,1.017347656E3
8.128458437E0,1.017344238E3
8.208458437E0,1.017331055E3
8.288460000E0,1.017337891E3
8.368458437E0,1.017340332E3
8.448458437E0,1.017335938E3
8.528458437E0,1.017332031E3
8.608458437E0,1.017333496E3
8.688458437E0,1.017344727E3
8.768458437E0,1.017348633E3
8.848458437E0,1.017353027E3
8.928458437E0,1.017343262E3
9.008458437E0,1.017349121E3
9.088458437E0,1.017345215E3
9.168458437E0,1.017348145E3
9.248458437E0,1.017334473E3
9.328458437E0,1.017328125E3
9.408458437E0,1.017331055E3
9.488458437E0,1.017325684E3
9.568458437E0,1.017341797E3
9.648458437E0,1.017345215E3
9.728458437E0,1.017348633E3
9.808458437E0,1.017340820E3
9.888458437E0,1.017345703E3
9.968458437E0,1.017344238E3
1.004845844E1,1.017351562E3
1.012845844E1,1.017355469E3
1.020845844E1,1.017327637E3
1.028846000E1,1.017333984E3
1.036845844E1,1.017336914E3
1.044845844E1,1.017347656E3
1.052845844E1,1.017355469E3
1.060845844E1,1.017348145E3
1.068845844E1,1.017349609E3
1.076845844E1,1.017346680E3
1.084845844E1,1.017351562E3
1.092845844E1,1.017347168E3
1.100845844E1,1.017336914E3
1.108845844E1,1.017339355E3
1.116845844E1,1.017329102E3
1.124845844E1,1.017337402E3
1.132845844E1,1.017348633E3
1.140845844E1,1.017344238E3
1.148846000E1,1.017345215E3
1.156846000E1,1.017355469E3
1.164845844E1,1.017344727E3
1.172845844E1,1.017345703E3
1.180845844E1,1.017345215E3
1.188846000E1,1.017348145E3
1.196845844E1,1.017348145E3
1.204845844E1,1.017352051E3
1.212845844E1,1.017346680E3
1.220845844E1,1.017355957E3
1.228846000E1,1.017355469E3
1.236845844E1,1.017356445E3
1.244845844E1,1.017354492E3
1.252845844E1,1.017352051E3
1.260845844E1,1.017366211E3
1.268845844E1,1.017364746E3
1.276845844E1,1.017374023E3
1.284845844E1,1.017370117E3
1.292845844E1,1.017365234E3
1.300845844E1,1.017374023E3
1.308845844E1,1.017380859E3
1.316845844E1,1.017385742E3
1.324846000E1,1.017383789E3
1.332845844E1,1.017372070E3
1.340845844E1,1.017355957E3
1.348845844E1,1.017353516E3
1.356845844E1,1.017356445E3
1.364845844E1,1.017353516E3
1.372845844E1,1.017357422E3
1.380845844E1,1.017357422E3
1.388845844E1,1.017366211E3
1.396845844E1,1.017359863E3
1.404845844E1,1.017360352E3
1.412845844E1,1.017358398E3
1.420845844E1,1.017367188E3
1.428845844E1,1.017354492E3
1.436845844E1,1.017357422E3
1.444845844E1,1.017358398E3
1.452845844E1,1.017353516E3
1.460845844E1,1.017358887E3
1.468845844E1,1.017354004E3
1.476845844E1,1.017363281E3
1.484845844E1,1.017352539E3
1.492845844E1,1.017357422E3
1.500845844E1,1.017353516E3
1.508845844E1,1.017356934E3
1.516845844E1,1.017360840E3
1.524845844E1,1.017362793E3
1.532845844E1,1.017346191E3
1.540845844E1,1.017352539E3
1.548845844E1,1.017357910E3
1.556845844E1,1.017345703E3
1.564845844E1,1.017352539E3
1.572845844E1,1.017356445E3
1.580845844E1,1.017357422E3
1.588845844E1,1.017342773E3
1.596845844E1,1.017336914E3
1.604845844E1,1.017338867E3
1.612845844E1,1.017342285E3
1.620845844E1,1.017347656E3
1.628846000E1,1.017354492E3
1.636845844E1,1.017354004E3
1.644845844E1,1.017363770E3
1.652845844E1,1.017357910E3
1.660846000E1,1.017338867E3
1.668845844E1,1.017344727E3
1.676845844E1,1.017348145E3
1.684845844E1,1.017362305E3
1.692845844E1,1.017360840E3
1.700845844E1,1.017356934E3
1.708845844E1,1.017343262E3
1.716845844E1,1.017351562E3
1.724845844E1,1.017342285E3
1.732845844E1,1.017334473E3
1.740845844E1,1.017337402E3
1.748845844E1,1.017346680E3
1.756846000E1,1.017352051E3
1.764845844E1,1.017345215E3
1.772845844E1,1.017329590E3
1.780845844E1,1.017336426E3
1.788845844E1,1.017349609E3
1.796845844E1,1.017351562E3
1.804845844E1,1.017351074E3
1.812846000E1,1.017350586E3
1.820845844E1,1.017336426E3
1.828846000E1,1.017334473E3
1.836845844E1,1.017347656E3
1.844845844E1,1.017339844E3
1.852845844E1,1.017344727E3
1.860845844E1,1.017350098E3
1.868845844E1,1.017357422E3
1.876845844E1,1.017352051E3
1.884845844E1,1.017345215E3
1.892845844E1,1.017335938E3
1.900845844E1,1.017333984E3
1.908845844E1,1.017347656E3
1.916845844E1,1.017328125E3
1.924845844E1,1.017339844E3
1.932845844E1,1.017338379E3
1.940845844E1,1.017338379E3
1.948845844E1,1.017339355E3
1.956845844E1,1.017358398E3
1.964845844E1,1.017349121E3
1.972845844E1,1.017342285E3
1.980845844E1,1.017352539E3
1.988846000E1,1.017347656E3
1.996845844E1,1.017357910E3
2.004845844E1,1.017355957E3
2.012845844E1,1.017356445E3
2.020845844E1,1.017355957E3
2.028845844E1,1.017338379E3
2.036845844E1,1.017326660E3
2.044845844E1,1.017330566E3
2.052846156E1,1.017333008E3
2.060845844E1,1.017334473E3
2.068846000E1,1.017339844E3
