"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211676500E1,1.189490370E2,0.000000000E0,0.000000000E0,0.000000000E0,2.500000000E1,0.000000000E0
6.411015630E-1,3.211676500E1,1.189490370E2,1.334802493E1,8.885385394E-1,1.320875397E2,2.500000000E1,0.000000000E0
8.280692710E-1,3.211682483E1,1.189492045E2,1.443435600E1,4.737446904E-1,1.054684677E2,2.638203621E1,2.638203621E1
1.831734896E0,3.211688792E1,1.189493200E2,1.405034878E1,4.716797471E-1,1.319924469E2,2.000000000E1,2.000000000E1
2.828809375E0,3.211684238E1,1.189493277E2,1.569947790E1,1.138968021E-1,5.490602875E1,2.000000000E1,2.000000000E1
3.625983333E0,3.211678246E1,1.189492867E2,4.427496425E1,4.348714650E-1,6.395499802E1,2.000000000E1,2.000000000E1
4.633296354E0,3.211679204E1,1.189492627E2,4.276900313E1,7.737054229E-1,9.381018066E1,2.000000000E1,2.000000000E1
5.634879687E0,3.211672750E1,1.189492543E2,3.130932082E1,5.941814184E-1,1.040668182E2,1.281018639E1,1.281018639E1
6.651313541E0,3.211674063E1,1.189492581E2,3.290610816E1,7.001147270E-1,1.040668182E2,1.058976460E1,1.058976460E1
7.638386978E0,3.211677066E1,1.189492190E2,3.119011771E1,8.626132607E-1,1.636671143E2,8.802206039E0,8.802206039E0
8.632930728E0,3.211675546E1,1.189492105E2,2.608253981E1,9.474046230E-1,1.535374908E2,4.699999809E0,4.699999809E0
9.645572915E0,3.211674421E1,1.189491889E2,2.992832479E1,1.047765613E0,1.486791229E2,4.699999809E0,4.699999809E0
1.063267864E1,3.211674455E1,1.189491914E2,2.945939463E1,1.078512788E0,1.568650513E2,4.699999809E0,4.699999809E0
1.163859271E1,3.211673410E1,1.189492012E2,2.928133833E1,9.513957500E-1,1.565740356E2,4.699999809E0,4.699999809E0
1.264338333E1,3.211672180E1,1.189492052E2,2.909279328E1,8.765287995E-1,1.595912781E2,4.699999809E0,4.699999809E0
1.363940364E1,3.211671443E1,1.189492051E2,2.864608548E1,1.035750389E0,1.643668365E2,4.393932343E0,4.393932343E0
1.463272864E1,3.211670049E1,1.189492189E2,2.916078196E1,1.177107930E0,1.544990997E2,4.438647270E0,4.438647270E0
