"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.616295846E-2,1.344458008E1,-4.447501373E1,-3.789070129E0
3.610095847E-2,1.300419617E1,-4.440592194E1,-4.358253479E0
5.603995849E-2,1.261437988E1,-4.452516174E1,-4.968544006E0
7.597895851E-2,1.263652039E1,-4.449920654E1,-5.270027161E0
9.591795830E-2,1.242033386E1,-4.460352325E1,-5.428932190E0
1.158559583E-1,1.221653748E1,-4.458761978E1,-5.431159973E0
1.357949583E-1,1.185017395E1,-4.463198090E1,-5.668167114E0
1.557339584E-1,1.177696228E1,-4.455989075E1,-5.992256165E0
1.756719584E-1,1.170068359E1,-4.454493332E1,-6.501197815E0
1.956109584E-1,1.161547852E1,-4.452354050E1,-7.515373230E0
2.155499584E-1,1.135371399E1,-4.423414230E1,-8.927410126E0
2.354889584E-1,1.080674744E1,-4.421921539E1,-1.000230408E1
2.554269584E-1,1.050146484E1,-4.414019775E1,-1.054916382E1
2.753659585E-1,9.764328003E0,-4.402289200E1,-1.148138809E1
2.953049585E-1,9.008621216E0,-4.378147125E1,-1.286930466E1
3.152429585E-1,8.017135620E0,-4.351309204E1,-1.470901108E1
3.351819585E-1,6.796936035E0,-4.284668732E1,-1.681878281E1
3.551209585E-1,5.745712280E0,-4.202518845E1,-1.903638077E1
3.750599583E-1,4.942016602E0,-4.094832611E1,-2.129504776E1
3.949979583E-1,3.951980591E0,-3.962499237E1,-2.366456985E1
4.149369583E-1,3.040695190E0,-3.787451935E1,-2.673320389E1
4.348759584E-1,2.198837280E0,-3.593773651E1,-2.926913071E1
4.548139584E-1,1.642745972E0,-3.439520264E1,-3.123655319E1
4.747529584E-1,1.694915771E0,-3.372007370E1,-3.193455887E1
4.946919584E-1,2.570709229E0,-3.403509903E1,-3.147062683E1
5.146309584E-1,3.770431519E0,-3.527149963E1,-2.984266663E1
5.345689585E-1,4.435363770E0,-3.719594574E1,-2.710359955E1
5.545079585E-1,4.601409912E0,-3.913069534E1,-2.430889130E1
5.744469585E-1,5.570358276E0,-4.050521851E1,-2.182806015E1
5.943849585E-1,7.661315918E0,-4.148392868E1,-1.919424438E1
6.143239585E-1,1.043572998E1,-4.213373566E1,-1.579384232E1
6.342629583E-1,1.300030518E1,-4.272895813E1,-1.267586517E1
6.542019583E-1,1.389692688E1,-4.280609131E1,-1.161377335E1
6.741399583E-1,1.514212036E1,-4.272495651E1,-1.041793442E1
6.940789584E-1,1.665446472E1,-4.226128387E1,-9.811420441E0
7.140179584E-1,1.814973450E1,-4.195841217E1,-8.510910034E0
7.339559584E-1,1.960527039E1,-4.181498718E1,-6.002967834E0
7.538949584E-1,2.079782104E1,-4.170090485E1,-2.921737671E0
7.738339584E-1,2.222570801E1,-4.121135712E1,-7.728424072E-1
7.937729585E-1,2.395413208E1,-4.019126892E1,1.557510376E0
8.137107918E-1,2.583172607E1,-3.870640945E1,3.743705750E0
8.336497918E-1,2.721566772E1,-3.741653824E1,5.967315674E0
8.535887918E-1,2.780696106E1,-3.639175034E1,8.964767456E0
8.735277918E-1,2.851510620E1,-3.552366638E1,1.134504700E1
8.934657918E-1,2.912655640E1,-3.459852982E1,1.258965302E1
9.134047918E-1,2.955639648E1,-3.422603989E1,1.251208496E1
9.333437916E-1,2.985380554E1,-3.430079651E1,1.254611206E1
9.532817916E-1,2.982664490E1,-3.412999725E1,1.280545807E1
9.732207917E-1,2.984086609E1,-3.415413284E1,1.266736603E1
9.931597917E-1,2.975677490E1,-3.430140686E1,1.217172241E1
1.013097792E0,2.971458435E1,-3.453723145E1,1.217308044E1
1.033036792E0,2.948376465E1,-3.477285004E1,1.224599457E1
1.052975792E0,2.902479553E1,-3.511396027E1,1.209277344E1
1.072914792E0,2.864425659E1,-3.534103012E1,1.188037872E1
1.092852792E0,2.828836060E1,-3.579666901E1,1.146882629E1
1.112791792E0,2.792333984E1,-3.628115845E1,1.135181427E1
1.132730792E0,2.760629272E1,-3.646208572E1,1.077587891E1
1.152668792E0,2.742285156E1,-3.696203613E1,1.051425171E1
1.172607792E0,2.699449158E1,-3.727578735E1,1.037939453E1
1.192546792E0,2.646345520E1,-3.742967987E1,1.117179108E1
1.212485792E0,2.624482727E1,-3.748279953E1,1.174783325E1
1.232423792E0,2.595677185E1,-3.732557678E1,1.293065643E1
1.252362792E0,2.580131531E1,-3.691438293E1,1.423295593E1
1.272301792E0,2.546858215E1,-3.681427002E1,1.523652649E1
1.292239792E0,2.522100830E1,-3.660140991E1,1.638822174E1
1.312178792E0,2.501620483E1,-3.659571457E1,1.658206940E1
1.332117792E0,2.451728821E1,-3.667221069E1,1.691842651E1
1.352056792E0,2.409097290E1,-3.663076782E1,1.771398926E1
1.371994792E0,2.370874023E1,-3.666964722E1,1.812949371E1
1.391933792E0,2.344306946E1,-3.661040497E1,1.883541870E1
1.411872792E0,2.287570190E1,-3.664118958E1,1.949261475E1
1.431810792E0,2.228562927E1,-3.674359512E1,2.012487030E1
1.451749792E0,2.160862732E1,-3.674501801E1,2.116102600E1
1.471688792E0,2.104150391E1,-3.709301376E1,2.134773254E1
1.491627792E0,2.032008362E1,-3.713672638E1,2.176229095E1
1.511565792E0,1.979962158E1,-3.713404846E1,2.206359100E1
1.531504792E0,1.957543945E1,-3.691226959E1,2.283000183E1
1.551443792E0,1.960252380E1,-3.653441238E1,2.336619568E1
1.571381792E0,1.974356079E1,-3.630823517E1,2.357263947E1
1.591320792E0,1.996716309E1,-3.614343643E1,2.382247162E1
1.611259792E0,1.999322510E1,-3.605020905E1,2.417195892E1
1.631197792E0,1.988116455E1,-3.605379105E1,2.418582153E1
1.651136792E0,1.987196350E1,-3.631672668E1,2.388439178E1
1.671075792E0,2.012033081E1,-3.656005478E1,2.310170746E1
1.691014792E0,2.025881958E1,-3.703934097E1,2.198194122E1
1.710952792E0,2.093016052E1,-3.706209183E1,2.174074554E1
1.730891792E0,2.129376221E1,-3.686892700E1,2.172994232E1
1.750830792E0,2.180068970E1,-3.619954300E1,2.202204895E1
1.770768792E0,2.236779785E1,-3.568011475E1,2.239440918E1
1.790707792E0,2.291601562E1,-3.528144455E1,2.254681396E1
1.810647208E0,2.338807678E1,-3.497640991E1,2.230477905E1
1.830586208E0,2.377551270E1,-3.465154648E1,2.194109344E1
1.850524209E0,2.404957581E1,-3.454128647E1,2.198469543E1
1.870463209E0,2.405708313E1,-3.450425720E1,2.222860718E1
1.890402208E0,2.433824158E1,-3.440311050E1,2.236485291E1
1.910340208E0,2.466819763E1,-3.415005112E1,2.214664459E1
1.930279208E0,2.478872681E1,-3.429838181E1,2.163945770E1
1.950218208E0,2.492066956E1,-3.477324677E1,2.091754913E1
1.970156208E0,2.480790710E1,-3.504370117E1,1.999118042E1
1.990095208E0,2.478094482E1,-3.535667801E1,1.940244293E1
2.010034208E0,2.497860718E1,-3.548550797E1,1.907804108E1
2.029973208E0,2.491249084E1,-3.566145325E1,1.889320374E1
2.049911208E0,2.471855164E1,-3.568165588E1,1.956367493E1
2.069850208E0,2.461802673E1,-3.545919037E1,1.970404816E1
2.089789208E0,2.450811768E1,-3.511782074E1,2.041285706E1
2.109727209E0,2.451980591E1,-3.498917007E1,2.050730133E1
2.129666209E0,2.430218506E1,-3.495782089E1,2.096849823E1
2.149605208E0,2.408718872E1,-3.486187744E1,2.106890106E1
2.169544208E0,2.416139221E1,-3.513253784E1,2.062020874E1
2.189482208E0,2.411105347E1,-3.554313660E1,1.989413452E1
2.209421208E0,2.391500854E1,-3.590766907E1,1.864942932E1
2.229360208E0,2.382334900E1,-3.648936462E1,1.795544434E1
2.249298208E0,2.357116699E1,-3.703798294E1,1.726248169E1
2.269237208E0,2.333621216E1,-3.733935165E1,1.702242279E1
2.289176208E0,2.317596436E1,-3.713374329E1,1.721135712E1
2.309114208E0,2.325294495E1,-3.693918610E1,1.754490662E1
2.329053208E0,2.293118286E1,-3.675899506E1,1.817385864E1
2.348992208E0,2.275729370E1,-3.651536179E1,1.916950989E1
2.368931209E0,2.252311707E1,-3.623162842E1,1.987895966E1
2.388869209E0,2.217875671E1,-3.616750336E1,2.022212982E1
2.408808208E0,2.185876465E1,-3.637895203E1,2.029114532E1
2.428747208E0,2.145133972E1,-3.667811203E1,2.013536835E1
2.448685208E0,2.099696350E1,-3.705243301E1,2.011669922E1
2.468624208E0,2.024896240E1,-3.736540985E1,2.029396057E1
2.488563208E0,1.979290771E1,-3.748817444E1,2.046963501E1
2.508501208E0,1.923986816E1,-3.756917953E1,2.063561249E1
2.528440208E0,1.906823730E1,-3.780519104E1,2.062373352E1
2.548379208E0,1.903889465E1,-3.774179077E1,2.100228882E1
2.568318208E0,1.895497131E1,-3.756580734E1,2.104215240E1
2.588256208E0,1.848049927E1,-3.770170593E1,2.147927856E1
2.608195208E0,1.800833130E1,-3.776713562E1,2.137542725E1
2.628134208E0,1.782690430E1,-3.787760162E1,2.146170807E1
2.648072209E0,1.761619568E1,-3.826662827E1,2.101522827E1
2.668011208E0,1.744438171E1,-3.838635635E1,2.082266235E1
2.687950208E0,1.733647156E1,-3.853162384E1,2.068888092E1
2.707888208E0,1.699024963E1,-3.844036102E1,2.057785034E1
2.727827208E0,1.728741455E1,-3.828367615E1,2.096425629E1
2.747766208E0,1.745733643E1,-3.825107956E1,2.081175232E1
2.767705208E0,1.780766296E1,-3.807751846E1,2.083895111E1
2.787643208E0,1.817997742E1,-3.798561859E1,2.058058929E1
2.807582167E0,1.813587952E1,-3.793457413E1,2.070869446E1
2.827521167E0,1.820141602E1,-3.779328156E1,2.075673676E1
2.847459167E0,1.840461731E1,-3.756075287E1,2.087075043E1
2.867398167E0,1.880384827E1,-3.734040833E1,2.070185852E1
2.887337167E0,1.898831177E1,-3.714392471E1,2.070783234E1
2.907275167E0,1.905374146E1,-3.714673233E1,2.069579315E1
2.927214167E0,1.906591797E1,-3.733881760E1,2.056353760E1
2.947153167E0,1.892196655E1,-3.738219452E1,2.014189911E1
2.967092167E0,1.926170349E1,-3.739540482E1,1.960280609E1
2.987030167E0,1.934082031E1,-3.733910751E1,1.936899567E1
3.006969167E0,1.960498047E1,-3.739196396E1,1.932678986E1
3.026908167E0,2.004060364E1,-3.712060547E1,1.905998230E1
3.046846167E0,2.043188477E1,-3.687066269E1,1.911002350E1
3.066785167E0,2.106959534E1,-3.659858704E1,1.881931305E1
3.086724167E0,2.154074097E1,-3.623074722E1,1.886683655E1
3.106662167E0,2.176324463E1,-3.590087128E1,1.910437012E1
3.126601167E0,2.219868469E1,-3.558545685E1,1.903336334E1
