"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668854153657543E9,"2022-11-19 18:35:53.658 UTC+08:00"
"PAUSE",2.053692005000012E2,1.668854359329012E9,"2022-11-19 18:39:19.329 UTC+08:00"
