"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.982958333E-3,-2.943329315E0,5.265749817E0,8.602760468E0
2.290195833E-2,-2.906356201E0,5.271587677E0,8.650062103E0
4.281995833E-2,-3.113824768E0,5.222040710E0,9.545500031E0
6.273795833E-2,-2.939587097E0,4.898862762E0,1.002510269E1
8.265695833E-2,-2.271526337E0,4.010310516E0,9.597591705E0
1.025749583E-1,-1.798809357E0,3.883075104E0,1.037627243E1
1.224929583E-1,-1.070723419E0,3.731590118E0,1.056488022E1
1.424119583E-1,-7.270381165E-1,3.327280884E0,1.024050476E1
1.623299583E-1,-8.852590942E-1,2.770438843E0,1.033480865E1
1.822489583E-1,-9.919871521E-1,2.179617462E0,1.062610291E1
2.021669583E-1,-8.900491333E-1,1.454674988E0,1.264405655E1
2.220849583E-1,-1.595681763E-1,1.034947815E0,1.165641037E1
2.420039583E-1,-2.619552612E-2,1.122216339E0,8.781488800E0
2.619219583E-1,-4.796026611E-1,1.386267242E0,6.623276825E0
2.818409583E-1,-4.935237122E-1,1.547332306E0,6.809938660E0
3.017589583E-1,-6.411167908E-1,1.421743469E0,7.994425507E0
3.216769583E-1,-1.264570312E0,1.356928253E0,9.241931305E0
3.415959583E-1,-2.075134735E0,1.459614716E0,1.073133408E1
3.615139583E-1,-2.023342438E0,2.165546722E0,9.916129303E0
3.814319583E-1,-3.285667419E0,2.559527435E0,6.865323486E0
4.013509583E-1,-5.377267914E0,4.927752686E-1,7.605085144E0
4.212689583E-1,-5.111570435E0,2.290237427E-1,8.719068604E0
4.411879583E-1,-5.533093872E0,1.380429382E0,9.248667297E0
4.611059583E-1,-5.274282074E0,2.720742188E0,6.703959045E0
4.810239583E-1,-4.260440369E0,3.712579651E0,4.929099884E0
5.009429583E-1,-4.472399597E0,2.808459778E0,5.390290833E0
5.208609583E-1,-5.646408234E0,3.067870331E0,7.229665833E0
5.407799583E-1,-6.002368011E0,3.795806580E0,6.634204102E0
5.606979583E-1,-4.054618378E0,3.193908234E0,6.565946045E0
5.806159583E-1,-1.827549591E0,5.331014099E0,5.799689484E0
6.005349583E-1,-2.672093353E0,3.686384125E0,5.856720886E0
6.204529583E-1,-2.309247894E0,5.460494843E0,8.887318726E0
6.403719583E-1,-3.436703339E0,6.128405914E0,1.098954712E1
6.602899583E-1,-2.766247559E0,5.282065887E0,1.072699310E1
6.802079583E-1,-3.179538116E0,5.232668610E0,7.751780090E0
7.001269583E-1,-2.932701416E0,5.357808380E0,6.418352966E0
7.200449583E-1,-3.104244690E0,5.341043243E0,6.977889404E0
7.399639583E-1,-4.135450287E0,6.209537201E0,8.306825867E0
7.598819583E-1,-5.258115692E0,4.567302246E0,9.099427643E0
7.797999583E-1,-6.161187744E0,2.692001953E0,9.032666473E0
7.997189583E-1,-5.211562500E0,4.229305115E0,7.846682739E0
8.196369583E-1,-4.794380035E0,5.515729980E0,6.235433350E0
8.395560833E-1,-4.477788391E0,4.864733734E0,6.099066925E0
8.594740833E-1,-6.166426849E0,4.912185059E0,5.677094421E0
8.793920833E-1,-7.969726868E0,2.304158478E0,7.048991547E0
8.993110833E-1,-8.880882111E0,6.096821594E-1,9.591753845E0
9.192290833E-1,-6.421047363E0,1.134640503E0,9.411079559E0
9.391470833E-1,-5.420977020E0,9.104067993E-1,8.263865204E0
9.590660833E-1,-5.444927216E0,-5.611830139E-1,6.873107300E0
9.789840833E-1,-4.831502838E0,-1.580114136E0,5.529201965E0
9.989030833E-1,-6.503376160E0,-1.716630249E0,5.387746124E0
1.018821083E0,-6.572831726E0,-1.246757355E0,5.183121643E0
1.038739083E0,-5.227878571E0,-1.061143341E0,4.796775055E0
1.058658083E0,-4.978646851E0,-1.972747650E0,5.491330719E0
1.078576083E0,-6.525530090E0,-2.386487274E0,5.617218933E0
1.098495083E0,-6.434519348E0,-1.791773987E0,5.966592407E0
1.118413083E0,-7.031927032E0,-1.988764343E0,5.401068420E0
1.138331083E0,-7.524552612E0,-2.725681915E0,5.246439972E0
1.158250083E0,-8.204887848E0,-3.214864655E0,4.562212830E0
1.178168083E0,-9.725276184E0,-3.869303741E0,4.401447144E0
1.198087083E0,-1.081965042E1,-4.167034607E0,5.213358765E0
1.218005083E0,-1.145358215E1,-3.689228210E0,6.022276611E0
1.237923083E0,-1.190204956E1,-3.885619812E0,6.413263550E0
1.257842083E0,-1.289373734E1,-3.210224304E0,6.100114746E0
1.277760083E0,-1.430096100E1,-2.289638672E0,6.051765289E0
1.297679083E0,-1.525986694E1,-2.558479614E0,2.493215332E0
1.317597083E0,-1.575877945E1,-5.409151611E0,2.633024597E0
1.337515083E0,-1.632041153E1,-5.384303284E0,2.563718719E0
1.357434083E0,-1.563438812E1,-4.199367371E0,4.035458221E0
1.377352083E0,-1.426353882E1,-2.578537903E0,5.522465973E0
1.397271083E0,-1.335133575E1,-2.036664734E0,6.784491577E0
1.417189083E0,-1.086560486E1,-2.404749298E0,7.459138641E0
1.437107083E0,-9.174870758E0,-2.206561432E0,8.388406219E0
