"Time (s)","X (hPa)"
-5.568287917E-1,1.016445999E3
4.701752083E-1,1.016448975E3
1.497176208E0,1.016452026E3
2.524239208E0,1.016460037E3
3.551223208E0,1.016471939E3
3.751308208E0,1.016486740E3
4.811399208E0,1.016490707E3
5.871542208E0,1.016506042E3
6.931740208E0,1.016519318E3
7.991893208E0,1.016530228E3
9.052040208E0,1.016537170E3
1.011222221E1,1.016541595E3
1.117239621E1,1.016544800E3
1.223252821E1,1.016544800E3
1.329263121E1,1.016542740E3
1.435275421E1,1.016541595E3
1.541285621E1,1.016537170E3
1.647296421E1,1.016532211E3
1.753306321E1,1.016527252E3
1.859322821E1,1.016527252E3
1.965340521E1,1.016527252E3
2.071353821E1,1.016525192E3
2.177365121E1,1.016520844E3
2.283375521E1,1.016517410E3
2.389384921E1,1.016516113E3
2.495394921E1,1.016516113E3
2.601404821E1,1.016520844E3
2.707420621E1,1.016527710E3
2.813432621E1,1.016537781E3
2.919446921E1,1.016540833E3
3.025462121E1,1.016540833E3
3.131474421E1,1.016538467E3
3.237486221E1,1.016536102E3
3.343495021E1,1.016534271E3
3.449504921E1,1.016531372E3
3.555515221E1,1.016529236E3
3.661526821E1,1.016529236E3
3.767536421E1,1.016529846E3
3.873547921E1,1.016531525E3
3.979560021E1,1.016532974E3
4.085574521E1,1.016532974E3
4.191588821E1,1.016530533E3
4.297602721E1,1.016527939E3
4.403618321E1,1.016524353E3
4.509632921E1,1.016519089E3
4.615645621E1,1.016513901E3
4.721657521E1,1.016509247E3
4.827668821E1,1.016505890E3
4.933679621E1,1.016501007E3
5.039692421E1,1.016497650E3
5.145704121E1,1.016497650E3
5.251714121E1,1.016499557E3
5.357724621E1,1.016500015E3
5.463734721E1,1.016502457E3
5.569747821E1,1.016503906E3
5.675762921E1,1.016503906E3
5.781780021E1,1.016502228E3
5.887796421E1,1.016500549E3
5.993807721E1,1.016495285E3
6.099820221E1,1.016492615E3
6.205828621E1,1.016492386E3
6.311836221E1,1.016492386E3
6.417842221E1,1.016493225E3
6.523846121E1,1.016495056E3
6.629856421E1,1.016495056E3
6.735867921E1,1.016495056E3
6.841879221E1,1.016492996E3
6.947889021E1,1.016491547E3
7.053899721E1,1.016489487E3
7.159908121E1,1.016485443E3
7.265919721E1,1.016482010E3
7.371938221E1,1.016480942E3
7.477955821E1,1.016479263E3
7.583976121E1,1.016479263E3
7.689990321E1,1.016479263E3
7.795999721E1,1.016479340E3
7.902011221E1,1.016479263E3
8.008022221E1,1.016479263E3
8.114031921E1,1.016476822E3
8.220039821E1,1.016475372E3
8.326051521E1,1.016474075E3
8.432056921E1,1.016472931E3
8.538062021E1,1.016472931E3
8.644073921E1,1.016473465E3
8.750084721E1,1.016473465E3
8.856096121E1,1.016472931E3
8.962108821E1,1.016472321E3
9.068112421E1,1.016471329E3
9.174118421E1,1.016469803E3
9.280123621E1,1.016469040E3
9.386130121E1,1.016469040E3
9.492142221E1,1.016468811E3
9.598150521E1,1.016468811E3
9.704159221E1,1.016468582E3
9.810170221E1,1.016467896E3
9.916184721E1,1.016466904E3
1.002219602E2,1.016463165E3
1.012820622E2,1.016461258E3
1.023421832E2,1.016459503E3
1.034022932E2,1.016453400E3
1.044623812E2,1.016450500E3
1.055224392E2,1.016448517E3
1.065825262E2,1.016446075E3
1.076426332E2,1.016443329E3
1.087027392E2,1.016443329E3
1.097628302E2,1.016442947E3
1.108229302E2,1.016442642E3
1.118829862E2,1.016442108E3
1.129430302E2,1.016442108E3
1.140030672E2,1.016442642E3
1.150630992E2,1.016443558E3
1.161231652E2,1.016443787E3
1.171832392E2,1.016445007E3
1.182433482E2,1.016445007E3
1.193034672E2,1.016445618E3
1.203635632E2,1.016445847E3
1.214236842E2,1.016446457E3
1.224838202E2,1.016447296E3
1.235439652E2,1.016449203E3
1.246040952E2,1.016450500E3
1.256642292E2,1.016452103E3
1.267243422E2,1.016452103E3
1.277844082E2,1.016450958E3
1.288444652E2,1.016448135E3
1.299044962E2,1.016440353E3
1.309644952E2,1.016433258E3
1.320244792E2,1.016428986E3
1.330845272E2,1.016428986E3
1.341445662E2,1.016430206E3
1.352046542E2,1.016435699E3
1.362647862E2,1.016441422E3
1.373248572E2,1.016444168E3
1.383849262E2,1.016445236E3
1.394450282E2,1.016445389E3
1.405051272E2,1.016445694E3
1.415651572E2,1.016446686E3
1.426251732E2,1.016446686E3
1.436852472E2,1.016445236E3
1.447452872E2,1.016443634E3
1.458053572E2,1.016443329E3
1.468654242E2,1.016438904E3
1.479254662E2,1.016436310E3
1.489855032E2,1.016435318E3
1.500455182E2,1.016434708E3
1.511055112E2,1.016434479E3
1.521655372E2,1.016434326E3
1.532255772E2,1.016434479E3
1.542856282E2,1.016434326E3
1.553457132E2,1.016434250E3
1.564057852E2,1.016432190E3
1.574658472E2,1.016431580E3
1.585259062E2,1.016431580E3
1.595859422E2,1.016430588E3
1.606460472E2,1.016430588E3
1.617061962E2,1.016431580E3
1.627663412E2,1.016432190E3
1.638264092E2,1.016432190E3
1.648864952E2,1.016433029E3
1.659465372E2,1.016436157E3
1.670066192E2,1.016437225E3
1.680666392E2,1.016440353E3
1.691267202E2,1.016442642E3
1.701867992E2,1.016444778E3
1.712468442E2,1.016445160E3
1.723068602E2,1.016445160E3
1.733669372E2,1.016444168E3
1.744269822E2,1.016443634E3
1.754870322E2,1.016442490E3
1.765470212E2,1.016442032E3
1.776070312E2,1.016440125E3
1.786670972E2,1.016439514E3
1.797271742E2,1.016439514E3
1.807873222E2,1.016438675E3
1.818474502E2,1.016435776E3
1.829075582E2,1.016435547E3
1.839676632E2,1.016433868E3
1.850277692E2,1.016433182E3
1.860878462E2,1.016433182E3
1.871479222E2,1.016434326E3
1.882079772E2,1.016434326E3
1.892680512E2,1.016432953E3
1.903281042E2,1.016432953E3
1.913881722E2,1.016432648E3
1.924482642E2,1.016432800E3
1.935083102E2,1.016432800E3
1.945683922E2,1.016435776E3
1.956284432E2,1.016437454E3
1.966884652E2,1.016438751E3
1.977485082E2,1.016440125E3
1.988085762E2,1.016442413E3
1.998686612E2,1.016443176E3
2.009287252E2,1.016443176E3
2.019888072E2,1.016442947E3
2.030489272E2,1.016442947E3
2.041090112E2,1.016440353E3
2.051690932E2,1.016439743E3
2.062291692E2,1.016439743E3
2.072892552E2,1.016439514E3
2.083493522E2,1.016439133E3
2.094095222E2,1.016438904E3
2.104696482E2,1.016438751E3
2.115297502E2,1.016437378E3
2.125898812E2,1.016437225E3
2.136499942E2,1.016435547E3
2.147100812E2,1.016435471E3
2.157701232E2,1.016434631E3
2.168301402E2,1.016433029E3
2.178901472E2,1.016433029E3
2.189501642E2,1.016431808E3
2.200101982E2,1.016429596E3
2.210702052E2,1.016428986E3
2.221302152E2,1.016427917E3
2.231902302E2,1.016426697E3
2.242502492E2,1.016426697E3
2.253103062E2,1.016426544E3
2.263703502E2,1.016426697E3
2.274303892E2,1.016426544E3
2.284904332E2,1.016426010E3
2.295504542E2,1.016425476E3
2.306104732E2,1.016424637E3
2.316704822E2,1.016424103E3
2.327305172E2,1.016423798E3
2.337905542E2,1.016422653E3
2.348505942E2,1.016422653E3
2.359106362E2,1.016418304E3
2.369706902E2,1.016417999E3
2.380307912E2,1.016416550E3
2.390908332E2,1.016414490E3
2.401509202E2,1.016413422E3
2.412109932E2,1.016413422E3
2.422710182E2,1.016411972E3
2.433310752E2,1.016411285E3
2.443911082E2,1.016406937E3
2.454511842E2,1.016403351E3
2.465112152E2,1.016395798E3
2.475712432E2,1.016390457E3
2.486313032E2,1.016384201E3
2.496913632E2,1.016379700E3
2.507513752E2,1.016373672E3
2.518114322E2,1.016367340E3
2.528714652E2,1.016360397E3
2.539314822E2,1.016355057E3
2.549914712E2,1.016346970E3
2.560514822E2,1.016340332E3
2.571115362E2,1.016335144E3
2.581715312E2,1.016329422E3
2.592314992E2,1.016322021E3
2.602914692E2,1.016316833E3
2.613514372E2,1.016311340E3
2.624114332E2,1.016304779E3
2.634714302E2,1.016299515E3
2.645314512E2,1.016293411E3
2.655914782E2,1.016285019E3
2.666514772E2,1.016277390E3
2.677115062E2,1.016269226E3
2.687715112E2,1.016261826E3
2.698315472E2,1.016255112E3
2.708915912E2,1.016249466E3
2.719516132E2,1.016242294E3
2.730116222E2,1.016234436E3
2.740716422E2,1.016225281E3
2.751316062E2,1.016217651E3
2.761915822E2,1.016209259E3
