"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669186314202372E9,"2022-11-23 14:51:54.202 UTC+08:00"
"PAUSE",2.469672181666829E2,1.669186561346547E9,"2022-11-23 14:56:01.347 UTC+08:00"
