"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.245531300E-2,2.100000000E1,2.093750000E1,-3.818750000E1
5.245531300E-2,2.081250000E1,2.137500000E1,-3.862500000E1
7.245531300E-2,2.056250000E1,2.193750000E1,-3.825000000E1
9.245531300E-2,1.925000000E1,2.293750000E1,-3.856250000E1
1.124553130E-1,1.825000000E1,2.406250000E1,-3.881250000E1
1.324553130E-1,1.700000000E1,2.487500000E1,-3.881250000E1
1.524600000E-1,1.225000000E1,2.675000000E1,-3.881250000E1
1.824553130E-1,8.312500000E0,2.918750000E1,-3.818750000E1
2.024631250E-1,6.937500000E0,3.050000000E1,-3.675000000E1
2.324553130E-1,7.937500000E0,3.125000000E1,-3.462500000E1
2.524615630E-1,1.025000000E1,3.100000000E1,-3.350000000E1
2.824537500E-1,1.418750000E1,2.993750000E1,-3.237500000E1
3.024553130E-1,1.537500000E1,2.937500000E1,-3.256250000E1
3.324537500E-1,1.600000000E1,2.843750000E1,-3.368750000E1
3.524537500E-1,1.512500000E1,2.756250000E1,-3.487500000E1
3.724553130E-1,1.300000000E1,2.656250000E1,-3.675000000E1
4.024537500E-1,1.018750000E1,2.525000000E1,-3.812500000E1
4.224537500E-1,8.625000000E0,2.493750000E1,-3.862500000E1
4.424600000E-1,7.375000000E0,2.481250000E1,-3.900000000E1
4.724537500E-1,6.437500000E0,2.500000000E1,-3.887500000E1
4.924600000E-1,6.250000000E0,2.512500000E1,-3.887500000E1
5.224537500E-1,5.812500000E0,2.600000000E1,-3.843750000E1
5.424600000E-1,4.625000000E0,2.612500000E1,-3.837500000E1
5.724537500E-1,1.187500000E0,2.662500000E1,-3.831250000E1
5.924537500E-1,-5.000000000E-1,2.687500000E1,-3.812500000E1
6.124537500E-1,-7.500000000E-1,2.718750000E1,-3.750000000E1
6.324537500E-1,-6.250000000E-1,2.806250000E1,-3.700000000E1
6.524537500E-1,-7.500000000E-1,2.850000000E1,-3.643750000E1
6.724537500E-1,-1.000000000E0,2.850000000E1,-3.625000000E1
6.924537500E-1,-1.937500000E0,2.793750000E1,-3.637500000E1
7.124537500E-1,-4.250000000E0,2.762500000E1,-3.656250000E1
7.324537500E-1,-7.000000000E0,2.700000000E1,-3.650000000E1
7.524537500E-1,-9.687500000E0,2.650000000E1,-3.625000000E1
7.724537500E-1,-1.337500000E1,2.643750000E1,-3.506250000E1
7.924537500E-1,-1.743750000E1,2.643750000E1,-3.343750000E1
8.124537500E-1,-2.175000000E1,2.593750000E1,-3.093750000E1
8.324537500E-1,-2.556250000E1,2.600000000E1,-2.743750000E1
8.524537500E-1,-2.793750000E1,2.687500000E1,-2.350000000E1
8.724537500E-1,-2.906250000E1,2.850000000E1,-1.993750000E1
8.924537500E-1,-2.850000000E1,3.075000000E1,-1.675000000E1
9.124537500E-1,-2.712500000E1,3.293750000E1,-1.412500000E1
9.324537500E-1,-2.556250000E1,3.512500000E1,-1.237500000E1
9.524537500E-1,-2.331250000E1,3.637500000E1,-1.106250000E1
9.724537500E-1,-2.143750000E1,3.743750000E1,-1.006250000E1
9.924537500E-1,-1.987500000E1,3.856250000E1,-9.812500000E0
1.012453750E0,-1.762500000E1,3.918750000E1,-1.000000000E1
1.032453750E0,-1.500000000E1,3.993750000E1,-1.000000000E1
1.052453750E0,-1.243750000E1,4.037500000E1,-1.031250000E1
1.072453750E0,-1.050000000E1,4.050000000E1,-1.106250000E1
1.092453750E0,-8.875000000E0,4.025000000E1,-1.306250000E1
1.112453750E0,-7.125000000E0,4.025000000E1,-1.337500000E1
1.132453750E0,-3.812500000E0,4.150000000E1,-1.225000000E1
1.152453750E0,-1.812500000E0,4.200000000E1,-1.212500000E1
1.172453750E0,-5.625000000E-1,4.212500000E1,-1.337500000E1
1.192453750E0,3.750000000E-1,4.250000000E1,-1.412500000E1
1.212455313E0,1.937500000E0,4.312500000E1,-1.500000000E1
1.242453750E0,3.750000000E0,4.262500000E1,-1.706250000E1
1.262455313E0,4.937500000E0,4.262500000E1,-1.812500000E1
1.292453750E0,6.000000000E0,4.275000000E1,-1.881250000E1
1.312463125E0,6.375000000E0,4.300000000E1,-1.950000000E1
1.342453750E0,7.250000000E0,4.287500000E1,-2.068750000E1
1.362453750E0,8.125000000E0,4.268750000E1,-2.212500000E1
1.382453750E0,8.750000000E0,4.231250000E1,-2.331250000E1
1.402453750E0,9.625000000E0,4.187500000E1,-2.431250000E1
1.422453750E0,9.875000000E0,4.193750000E1,-2.493750000E1
1.442453750E0,9.937500000E0,4.231250000E1,-2.550000000E1
1.462453750E0,9.250000000E0,4.225000000E1,-2.543750000E1
1.482455313E0,7.500000000E0,4.293750000E1,-2.518750000E1
1.512455313E0,4.000000000E0,4.350000000E1,-2.450000000E1
1.532455313E0,1.812500000E0,4.337500000E1,-2.418750000E1
1.552455313E0,-6.250000000E-2,4.281250000E1,-2.431250000E1
1.572455313E0,-1.625000000E0,4.162500000E1,-2.500000000E1
1.602453750E0,-4.812500000E0,4.037500000E1,-2.506250000E1
1.622453750E0,-6.875000000E0,3.993750000E1,-2.437500000E1
1.642453750E0,-9.062500000E0,3.950000000E1,-2.368750000E1
1.662453750E0,-1.112500000E1,3.956250000E1,-2.268750000E1
1.682453750E0,-1.287500000E1,3.912500000E1,-2.231250000E1
1.702455313E0,-1.412500000E1,3.912500000E1,-2.193750000E1
1.732455313E0,-1.425000000E1,3.962500000E1,-1.987500000E1
1.762455313E0,-1.318750000E1,4.050000000E1,-1.750000000E1
1.792453750E0,-1.156250000E1,4.118750000E1,-1.537500000E1
1.812455313E0,-1.031250000E1,4.181250000E1,-1.468750000E1
1.832455313E0,-9.312500000E0,4.206250000E1,-1.450000000E1
1.852455313E0,-8.812500000E0,4.243750000E1,-1.431250000E1
1.872455313E0,-8.312500000E0,4.287500000E1,-1.456250000E1
1.902453750E0,-6.125000000E0,4.362500000E1,-1.450000000E1
1.922453750E0,-3.062500000E0,4.412500000E1,-1.337500000E1
1.942453750E0,1.312500000E0,4.431250000E1,-1.281250000E1
1.962453750E0,5.562500000E0,4.387500000E1,-1.237500000E1
1.982453750E0,8.812500000E0,4.293750000E1,-1.275000000E1
2.002455313E0,1.168750000E1,4.168750000E1,-1.381250000E1
2.032453750E0,1.575000000E1,4.031250000E1,-1.531250000E1
2.052453750E0,1.750000000E1,3.950000000E1,-1.581250000E1
2.072453750E0,1.943750000E1,3.850000000E1,-1.643750000E1
2.092453750E0,2.325000000E1,3.581250000E1,-1.806250000E1
2.112453750E0,2.475000000E1,3.468750000E1,-1.893750000E1
2.132455313E0,2.331250000E1,3.687500000E1,-1.743750000E1
2.152455313E0,2.306250000E1,3.818750000E1,-1.525000000E1
2.182453750E0,2.356250000E1,3.800000000E1,-1.437500000E1
2.202453750E0,2.356250000E1,3.768750000E1,-1.456250000E1
2.222455313E0,2.331250000E1,3.750000000E1,-1.456250000E1
2.252455313E0,2.262500000E1,3.756250000E1,-1.525000000E1
2.272455313E0,2.262500000E1,3.775000000E1,-1.600000000E1
2.292455313E0,2.231250000E1,3.787500000E1,-1.625000000E1
2.312463125E0,2.187500000E1,3.825000000E1,-1.593750000E1
2.342453750E0,2.118750000E1,3.868750000E1,-1.468750000E1
2.362453750E0,2.062500000E1,3.862500000E1,-1.418750000E1
2.382455313E0,2.081250000E1,3.856250000E1,-1.350000000E1
2.402455313E0,2.118750000E1,3.837500000E1,-1.281250000E1
2.422455313E0,2.062500000E1,3.837500000E1,-1.375000000E1
2.452453750E0,2.031250000E1,3.762500000E1,-1.650000000E1
2.472453750E0,2.043750000E1,3.668750000E1,-1.818750000E1
2.492453750E0,2.043750000E1,3.575000000E1,-2.006250000E1
2.512453750E0,2.137500000E1,3.481250000E1,-2.043750000E1
2.532453750E0,2.218750000E1,3.406250000E1,-2.100000000E1
2.552453750E0,2.318750000E1,3.293750000E1,-2.287500000E1
2.572453750E0,2.331250000E1,3.162500000E1,-2.500000000E1
2.592453750E0,2.318750000E1,3.106250000E1,-2.675000000E1
2.612453750E0,2.293750000E1,3.031250000E1,-2.831250000E1
2.632453750E0,2.262500000E1,2.968750000E1,-2.950000000E1
2.652455313E0,2.231250000E1,2.906250000E1,-3.037500000E1
2.682453750E0,2.218750000E1,2.812500000E1,-3.106250000E1
2.702453750E0,2.243750000E1,2.737500000E1,-3.137500000E1
2.722453750E0,2.287500000E1,2.668750000E1,-3.200000000E1
2.742453750E0,2.293750000E1,2.593750000E1,-3.237500000E1
2.762455313E0,2.337500000E1,2.462500000E1,-3.300000000E1
2.792453750E0,2.437500000E1,2.306250000E1,-3.381250000E1
2.812453750E0,2.543750000E1,2.218750000E1,-3.375000000E1
2.832453750E0,2.637500000E1,2.181250000E1,-3.381250000E1
2.852453750E0,2.700000000E1,2.193750000E1,-3.337500000E1
2.872453750E0,2.718750000E1,2.243750000E1,-3.312500000E1
2.892455313E0,2.787500000E1,2.356250000E1,-3.168750000E1
2.912455313E0,2.906250000E1,2.531250000E1,-2.900000000E1
2.942453750E0,2.975000000E1,2.825000000E1,-2.493750000E1
2.962453750E0,3.000000000E1,2.968750000E1,-2.262500000E1
2.982453750E0,3.018750000E1,3.106250000E1,-2.056250000E1
3.002453750E0,2.993750000E1,3.262500000E1,-1.843750000E1
3.022453750E0,3.000000000E1,3.387500000E1,-1.618750000E1
3.042453750E0,2.968750000E1,3.481250000E1,-1.412500000E1
3.062453750E0,2.975000000E1,3.556250000E1,-1.150000000E1
3.082456875E0,3.025000000E1,3.606250000E1,-8.875000000E0
3.112453750E0,3.125000000E1,3.618750000E1,-4.437500000E0
3.132453750E0,3.175000000E1,3.643750000E1,-1.500000000E0
3.152453750E0,3.231250000E1,3.650000000E1,1.875000000E-1
3.172453750E0,3.256250000E1,3.593750000E1,1.000000000E0
3.192453750E0,3.256250000E1,3.575000000E1,1.375000000E0
3.212453750E0,3.268750000E1,3.575000000E1,1.500000000E0
3.232453750E0,3.256250000E1,3.593750000E1,1.125000000E0
3.252453750E0,3.231250000E1,3.606250000E1,3.125000000E-1
3.272453750E0,3.231250000E1,3.618750000E1,-8.750000000E-1
3.292453750E0,3.256250000E1,3.593750000E1,-2.562500000E0
3.312463125E0,3.250000000E1,3.581250000E1,-3.687500000E0
3.342453750E0,3.243750000E1,3.562500000E1,-4.750000000E0
3.362453750E0,3.187500000E1,3.600000000E1,-5.375000000E0
3.382453750E0,3.143750000E1,3.625000000E1,-5.062500000E0
3.402453750E0,3.125000000E1,3.656250000E1,-4.500000000E0
3.422453750E0,3.075000000E1,3.693750000E1,-3.750000000E0
3.442453750E0,2.993750000E1,3.718750000E1,-3.875000000E0
3.462453750E0,3.018750000E1,3.675000000E1,-4.562500000E0
3.482453750E0,3.056250000E1,3.643750000E1,-3.812500000E0
3.502453750E0,3.068750000E1,3.643750000E1,-3.375000000E0
3.522453750E0,3.093750000E1,3.631250000E1,-4.250000000E0
3.542453750E0,3.125000000E1,3.593750000E1,-6.187500000E0
3.562453750E0,3.181250000E1,3.506250000E1,-7.937500000E0
3.582453750E0,3.256250000E1,3.406250000E1,-8.562500000E0
3.602453750E0,3.362500000E1,3.312500000E1,-8.187500000E0
3.622453750E0,3.462500000E1,3.187500000E1,-8.562500000E0
3.642453750E0,3.550000000E1,3.081250000E1,-1.018750000E1
3.662453750E0,3.562500000E1,3.000000000E1,-1.231250000E1
3.682453750E0,3.531250000E1,2.950000000E1,-1.487500000E1
3.702453750E0,3.525000000E1,2.887500000E1,-1.693750000E1
3.722453750E0,3.550000000E1,2.800000000E1,-1.856250000E1
3.742453750E0,3.575000000E1,2.743750000E1,-1.943750000E1
3.762453750E0,3.606250000E1,2.700000000E1,-1.956250000E1
3.782453750E0,3.662500000E1,2.681250000E1,-1.950000000E1
3.802453750E0,3.668750000E1,2.650000000E1,-1.943750000E1
3.822453750E0,3.656250000E1,2.587500000E1,-2.031250000E1
3.842453750E0,3.606250000E1,2.506250000E1,-2.156250000E1
3.862455313E0,3.637500000E1,2.400000000E1,-2.262500000E1
3.882455313E0,3.731250000E1,2.312500000E1,-2.318750000E1
3.912453750E0,3.937500000E1,2.281250000E1,-2.125000000E1
3.932453750E0,4.043750000E1,2.293750000E1,-2.037500000E1
3.952453750E0,4.050000000E1,2.362500000E1,-1.975000000E1
3.972453750E0,3.993750000E1,2.468750000E1,-1.818750000E1
3.992453750E0,3.987500000E1,2.631250000E1,-1.587500000E1
4.012453750E0,3.937500000E1,2.743750000E1,-1.337500000E1
4.032453750E0,3.912500000E1,2.893750000E1,-1.106250000E1
4.052453750E0,3.868750000E1,2.962500000E1,-9.000000000E0
4.072453750E0,3.837500000E1,3.068750000E1,-6.812500000E0
4.092453750E0,3.806250000E1,3.168750000E1,-4.562500000E0
4.112453750E0,3.768750000E1,3.206250000E1,-2.312500000E0
4.132453750E0,3.768750000E1,3.218750000E1,-2.500000000E-1
4.152453750E0,3.800000000E1,3.231250000E1,1.687500000E0
4.172453750E0,3.812500000E1,3.231250000E1,3.437500000E0
4.192453750E0,3.806250000E1,3.187500000E1,5.625000000E0
4.212453750E0,3.775000000E1,3.150000000E1,7.937500000E0
4.232453750E0,3.762500000E1,3.118750000E1,9.937500000E0
4.252453750E0,3.762500000E1,3.056250000E1,1.068750000E1
4.272453750E0,3.831250000E1,3.012500000E1,1.068750000E1
4.292463125E0,3.862500000E1,2.981250000E1,1.025000000E1
4.312463125E0,3.875000000E1,2.981250000E1,1.018750000E1
4.342453750E0,3.937500000E1,3.031250000E1,8.500000000E0
4.362455313E0,3.931250000E1,3.056250000E1,6.875000000E0
4.392453750E0,3.931250000E1,3.125000000E1,4.250000000E0
4.412453750E0,3.912500000E1,3.175000000E1,4.250000000E0
4.432453750E0,3.843750000E1,3.143750000E1,5.000000000E0
4.452453750E0,3.806250000E1,3.206250000E1,4.812500000E0
4.472453750E0,3.762500000E1,3.268750000E1,5.125000000E0
4.492453750E0,3.693750000E1,3.306250000E1,6.125000000E0
4.512453750E0,3.631250000E1,3.356250000E1,6.562500000E0
4.532453750E0,3.612500000E1,3.375000000E1,5.687500000E0
4.552453750E0,3.575000000E1,3.306250000E1,9.312500000E0
4.572453750E0,3.556250000E1,3.300000000E1,1.043750000E1
4.592453750E0,3.600000000E1,3.293750000E1,8.375000000E0
4.612453750E0,3.662500000E1,3.287500000E1,5.750000000E0
4.632453750E0,3.700000000E1,3.268750000E1,4.250000000E0
4.652453750E0,3.706250000E1,3.243750000E1,4.375000000E0
4.672453750E0,3.737500000E1,3.187500000E1,4.750000000E0
4.692453750E0,3.818750000E1,3.112500000E1,4.937500000E0
4.712453750E0,3.887500000E1,3.056250000E1,4.250000000E0
4.732453750E0,3.943750000E1,3.012500000E1,2.937500000E0
4.752453750E0,3.981250000E1,2.943750000E1,1.062500000E0
4.772453750E0,4.006250000E1,2.925000000E1,-5.625000000E-1
4.792453750E0,4.062500000E1,2.900000000E1,-1.937500000E0
4.812453750E0,4.087500000E1,2.900000000E1,-3.062500000E0
4.832453750E0,4.118750000E1,2.856250000E1,-3.312500000E0
4.852453750E0,4.137500000E1,2.837500000E1,-2.500000000E0
4.872453750E0,4.162500000E1,2.800000000E1,-2.062500000E0
4.892453750E0,4.212500000E1,2.756250000E1,-2.812500000E0
4.912453750E0,4.256250000E1,2.718750000E1,-4.125000000E0
4.932453750E0,4.300000000E1,2.718750000E1,-5.437500000E0
4.952497500E0,4.331250000E1,2.693750000E1,-5.687500000E0
4.982453750E0,4.318750000E1,2.675000000E1,-4.875000000E0
5.002453750E0,4.325000000E1,2.687500000E1,-4.250000000E0
