"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.488510000E-1,-1.727404714E0,-3.212662458E0,2.064724565E-1
1.708463130E-1,-1.587289691E0,-1.872127414E0,3.815988004E-1
1.908541250E-1,-1.323099136E0,-1.047616482E0,7.345218062E-1
2.128463130E-1,-7.627612352E-1,2.129476219E-1,1.595876694E0
2.328478750E-1,-1.025031880E-1,1.526517272E0,2.077779531E0
2.548463130E-1,3.712140918E-1,2.417193651E0,2.176984072E0
2.748494380E-1,8.631176949E-1,2.360592604E0,2.136928797E0
2.968463130E-1,6.320884228E-1,2.837556303E-1,-2.633003592E-1
3.188447500E-1,9.189332724E-1,1.191361770E-1,-5.448917747E-1
3.388447500E-1,1.361845493E0,-8.595397472E-1,-3.361329734E-1
3.588447500E-1,1.274526715E0,-2.979451656E0,-1.866106093E-1
3.788447500E-1,1.302975535E0,-3.364401340E0,1.466076542E-2
3.988447500E-1,9.868091345E-1,-2.262557507E0,2.690774202E-1
4.188447500E-1,4.409923553E-1,-1.898534298E0,4.086164832E-1
4.388510000E-1,2.844886668E-2,-1.470562100E0,1.332558841E-1
4.608447500E-1,-3.602534235E-1,-5.390798450E-1,-6.466444582E-2
4.808619380E-1,-6.400471330E-1,-4.036946595E-2,6.321582198E-2
5.028447500E-1,-6.639581323E-1,-3.420496285E-1,-1.996656694E-2
5.228463130E-1,-5.109451413E-1,-8.387179971E-1,-3.498337865E-1
5.448463130E-1,-1.726305187E-1,-1.967422366E0,-6.075839996E-1
5.648463130E-1,4.853760451E-2,-3.144385099E0,-4.917465150E-1
5.868447500E-1,-3.569721878E-1,-1.197260976E0,-9.845402092E-2
6.068447500E-1,-7.840018868E-1,1.617920212E-2,1.409527957E-1
6.268447500E-1,-8.977450132E-1,5.032656789E-1,-8.445648104E-2
6.468447500E-1,-4.854633212E-1,1.788962483E-1,2.174156606E-1
6.668447500E-1,1.157502383E-1,-9.984155893E-1,8.680046201E-1
6.868447500E-1,6.467142701E-1,-2.480182648E0,1.029499888E0
7.068447500E-1,8.836951256E-1,-3.217130423E0,5.017821491E-2
7.268447500E-1,6.396282911E-1,-3.143180847E0,-7.907912135E-1
7.468447500E-1,9.794788063E-2,-3.967255592E0,-9.899507761E-1
7.668447500E-1,7.665485889E-2,-5.523757458E0,-4.273962379E-1
7.868447500E-1,6.952693462E-1,-6.797830582E0,6.534861922E-1
8.068447500E-1,1.263042450E0,-7.988895416E0,1.188499451E0
8.268447500E-1,1.264770269E0,-7.779665470E0,1.966514826E0
8.468447500E-1,7.798829079E-1,-6.648849010E0,2.625760555E0
8.668447500E-1,1.950580031E-1,-5.474242687E0,3.338570595E0
