"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.611791698E-3,7.971862793E0,2.998107910E1,-3.868933105E1
2.970054169E-2,7.837524414E0,3.014117813E1,-3.856713867E1
4.978854168E-2,8.008605957E0,3.030863953E1,-3.846228027E1
6.987554167E-2,9.002868652E0,2.999842072E1,-3.857092285E1
8.996354166E-2,1.008215332E1,2.926327515E1,-3.883636475E1
1.100515416E-1,1.098052979E1,2.879988861E1,-3.918356323E1
1.301385417E-1,1.171588135E1,2.827547836E1,-3.933685303E1
1.502265417E-1,1.231256104E1,2.784415436E1,-3.943457031E1
1.703145417E-1,1.290112305E1,2.732001495E1,-3.955352783E1
1.904025417E-1,1.359246826E1,2.690118027E1,-3.978335571E1
2.104895417E-1,1.429638672E1,2.620513916E1,-3.989743042E1
2.305775417E-1,1.515264893E1,2.545508575E1,-4.018405151E1
2.506655417E-1,1.588531494E1,2.445429993E1,-4.039291382E1
2.707535417E-1,1.665270996E1,2.343755722E1,-4.067037964E1
2.908405417E-1,1.731762695E1,2.225923157E1,-4.112240601E1
3.109285417E-1,1.781799316E1,2.097328568E1,-4.162765503E1
3.310165417E-1,1.811145020E1,1.992575073E1,-4.210208130E1
3.511045417E-1,1.820629883E1,1.902548218E1,-4.258953857E1
3.711915417E-1,1.829101562E1,1.828955841E1,-4.299612427E1
3.912795417E-1,1.819329834E1,1.759349823E1,-4.317126465E1
4.113675416E-1,1.780395508E1,1.714127350E1,-4.351266479E1
4.314555417E-1,1.700738525E1,1.683717346E1,-4.399227905E1
4.515425417E-1,1.588671875E1,1.667826080E1,-4.448797607E1
4.716305417E-1,1.459619141E1,1.688883209E1,-4.494589233E1
4.917185417E-1,1.365356445E1,1.744116974E1,-4.515066528E1
5.118055417E-1,1.327655029E1,1.838983154E1,-4.472909546E1
5.318935417E-1,1.331549072E1,1.954821777E1,-4.409509277E1
5.519815417E-1,1.334661865E1,2.086835098E1,-4.328146362E1
5.720695417E-1,1.320965576E1,2.247932053E1,-4.256680298E1
5.921565417E-1,1.330963135E1,2.407112885E1,-4.153524780E1
6.122445417E-1,1.361981201E1,2.554366684E1,-4.038067627E1
6.323325417E-1,1.412963867E1,2.688208008E1,-3.935144043E1
6.524205417E-1,1.495855713E1,2.785079956E1,-3.832632446E1
6.725075417E-1,1.587945557E1,2.830741119E1,-3.762545776E1
6.925955417E-1,1.653576660E1,2.819660568E1,-3.747830200E1
7.126835417E-1,1.674957275E1,2.752933884E1,-3.801937866E1
7.327705417E-1,1.666546631E1,2.644990158E1,-3.891241455E1
7.528585417E-1,1.646850586E1,2.538374710E1,-3.993731689E1
7.729465417E-1,1.628051758E1,2.428157806E1,-4.061880493E1
7.930345417E-1,1.605255127E1,2.347308731E1,-4.123825073E1
8.131215417E-1,1.576477051E1,2.306105423E1,-4.161190796E1
8.332095417E-1,1.531915283E1,2.311719894E1,-4.183505249E1
8.532975417E-1,1.477490234E1,2.360894012E1,-4.165481567E1
8.733855417E-1,1.392303467E1,2.456781769E1,-4.131768799E1
8.934725416E-1,1.284436035E1,2.579302216E1,-4.087811279E1
9.135605417E-1,1.152587891E1,2.722931671E1,-4.036965942E1
9.336485417E-1,1.023815918E1,2.855479813E1,-3.965289307E1
9.537355417E-1,9.199035645E0,2.971201706E1,-3.900595093E1
9.738235417E-1,8.638244629E0,3.048166275E1,-3.848260498E1
9.939115416E-1,8.407531738E0,3.108429337E1,-3.801434326E1
1.013999500E0,8.210998535E0,3.166952133E1,-3.753744507E1
1.034086500E0,8.123291016E0,3.214428329E1,-3.717776489E1
1.054174500E0,8.157836914E0,3.247613525E1,-3.671719360E1
1.074262500E0,8.351928711E0,3.288752365E1,-3.638946533E1
1.094349500E0,8.663757324E0,3.324591446E1,-3.594818115E1
1.114437500E0,9.215332031E0,3.308489609E1,-3.590124512E1
1.134525500E0,9.893676758E0,3.257101822E1,-3.618884277E1
1.154613500E0,1.062261963E1,3.180439377E1,-3.681317139E1
1.174700500E0,1.137390137E1,3.098012543E1,-3.730047607E1
1.194788500E0,1.195178223E1,3.036561584E1,-3.766195679E1
1.214876500E0,1.241357422E1,2.988393402E1,-3.788894653E1
1.234963500E0,1.278631592E1,2.952785110E1,-3.807879639E1
1.255051500E0,1.303021240E1,2.906499863E1,-3.825039673E1
1.275139500E0,1.338330078E1,2.853284836E1,-3.868011475E1
1.295227500E0,1.411639404E1,2.755201340E1,-3.897772217E1
1.315314500E0,1.486492920E1,2.676784897E1,-3.938366699E1
1.335402500E0,1.553088379E1,2.582771301E1,-3.977508545E1
1.355490500E0,1.616864014E1,2.497520065E1,-4.019320679E1
1.375577500E0,1.655468750E1,2.421791840E1,-4.046533203E1
1.395665500E0,1.682849121E1,2.348402023E1,-4.068856812E1
1.415753500E0,1.698510742E1,2.283054352E1,-4.096392822E1
1.435841500E0,1.699249268E1,2.223883820E1,-4.128936768E1
1.455928500E0,1.669006348E1,2.178097916E1,-4.176586914E1
1.476016500E0,1.608081055E1,2.165676117E1,-4.206121826E1
1.496104500E0,1.543762207E1,2.173188782E1,-4.219747925E1
1.516191500E0,1.465393066E1,2.196538925E1,-4.230834961E1
1.536279500E0,1.396191406E1,2.255970383E1,-4.222335815E1
1.556367500E0,1.330822754E1,2.351684570E1,-4.191439819E1
1.576455500E0,1.275701904E1,2.478804398E1,-4.140692139E1
1.596542500E0,1.194927979E1,2.644623184E1,-4.049002075E1
1.616630500E0,1.116778564E1,2.840735626E1,-3.930340576E1
1.636718500E0,1.064398193E1,3.027776718E1,-3.788925171E1
1.656805500E0,1.072619629E1,3.169810867E1,-3.661508179E1
1.676893500E0,1.101464844E1,3.246417618E1,-3.582846069E1
1.696981500E0,1.119195557E1,3.282227707E1,-3.546743774E1
1.717069500E0,1.106964111E1,3.279420853E1,-3.549566650E1
1.737156500E0,1.088720703E1,3.252871704E1,-3.585757446E1
1.757244500E0,1.082043457E1,3.210639572E1,-3.643722534E1
1.777332500E0,1.083581543E1,3.171751785E1,-3.698431396E1
1.797419500E0,1.088287354E1,3.130831146E1,-3.740524292E1
1.817507500E0,1.074023438E1,3.095685577E1,-3.767340088E1
1.837595500E0,1.035723877E1,3.065817261E1,-3.799468994E1
1.857683500E0,9.816589355E0,3.056614304E1,-3.820556641E1
1.877770500E0,8.915954590E0,3.060643768E1,-3.833636475E1
1.897858500E0,7.929931641E0,3.097931671E1,-3.830926514E1
1.917946500E0,6.682983398E0,3.155757904E1,-3.802517700E1
1.938033500E0,5.326293945E0,3.228972626E1,-3.749856567E1
1.958121500E0,4.229187012E0,3.289929581E1,-3.702056885E1
1.978209500E0,3.354614258E0,3.351167679E1,-3.653430176E1
1.998296500E0,2.801086426E0,3.390943146E1,-3.614556885E1
2.018383625E0,2.462341309E0,3.417270279E1,-3.595315552E1
2.038471625E0,2.398986816E0,3.420348358E1,-3.593099976E1
2.058559625E0,2.342529297E0,3.426929855E1,-3.591778564E1
2.078646625E0,2.153930664E0,3.438252258E1,-3.578247070E1
2.098734625E0,1.873107910E0,3.469403076E1,-3.555795288E1
2.118822625E0,1.717407227E0,3.495641708E1,-3.522726440E1
2.138909625E0,1.704650879E0,3.518153763E1,-3.513742065E1
2.158997625E0,2.169250488E0,3.522340012E1,-3.481265259E1
2.179085625E0,2.792114258E0,3.501814651E1,-3.507073975E1
2.199172625E0,3.430053711E0,3.462699509E1,-3.525836182E1
2.219260625E0,4.179809570E0,3.422713470E1,-3.574935913E1
2.239348625E0,4.854736328E0,3.375059891E1,-3.621206665E1
2.259436625E0,5.734008789E0,3.328777695E1,-3.670147705E1
2.279523625E0,6.848388672E0,3.253916550E1,-3.698840332E1
2.299611625E0,8.268615723E0,3.167053986E1,-3.751376343E1
2.319699625E0,9.825683594E0,3.075297165E1,-3.808013916E1
2.339786625E0,1.160211182E1,2.951978302E1,-3.846139526E1
2.359874625E0,1.338397217E1,2.819702148E1,-3.881518555E1
2.379962625E0,1.491735840E1,2.673294830E1,-3.935900879E1
2.400049625E0,1.616888428E1,2.536262894E1,-3.988177490E1
2.420137625E0,1.680969238E1,2.421919250E1,-4.045065308E1
2.440225625E0,1.709979248E1,2.330315399E1,-4.081173706E1
2.460313625E0,1.703594971E1,2.267296219E1,-4.113119507E1
2.480400625E0,1.680029297E1,2.236517715E1,-4.140048218E1
2.500488625E0,1.642358398E1,2.221199036E1,-4.162628174E1
2.520576625E0,1.638281250E1,2.181131744E1,-4.189477539E1
2.540663625E0,1.660229492E1,2.125621033E1,-4.205490112E1
2.560751625E0,1.718225098E1,2.075120926E1,-4.213809204E1
2.580839625E0,1.783209229E1,2.045899963E1,-4.198995972E1
2.600926625E0,1.862597656E1,2.036244965E1,-4.170443726E1
2.621014625E0,1.938885498E1,2.049661636E1,-4.124716187E1
2.641102625E0,1.975329590E1,2.079406738E1,-4.071862793E1
2.661189625E0,1.994818115E1,2.153070450E1,-4.025262451E1
2.681277625E0,2.027679443E1,2.239054871E1,-3.966528320E1
2.701365625E0,2.104144287E1,2.296654129E1,-3.880072021E1
2.721453625E0,2.185827637E1,2.326809692E1,-3.815563965E1
2.741540625E0,2.254052734E1,2.307445908E1,-3.787188721E1
2.761628625E0,2.295568848E1,2.285245514E1,-3.800451660E1
2.781716625E0,2.296264648E1,2.265864182E1,-3.817312622E1
2.801803625E0,2.276403809E1,2.278964996E1,-3.812399292E1
2.821891625E0,2.260052490E1,2.304765320E1,-3.805252075E1
2.841979625E0,2.248858643E1,2.349354935E1,-3.783566284E1
2.862066625E0,2.223034668E1,2.475499344E1,-3.713195801E1
2.882154625E0,2.174560547E1,2.579576492E1,-3.659475708E1
2.902242625E0,2.110565186E1,2.695617294E1,-3.599829102E1
2.922329625E0,2.024951172E1,2.820091248E1,-3.549349976E1
2.942417625E0,1.917724609E1,2.937945557E1,-3.507250977E1
2.962505625E0,1.805303955E1,3.041695786E1,-3.467016602E1
2.982593625E0,1.681866455E1,3.117779922E1,-3.463748169E1
3.002680625E0,1.565747070E1,3.182555771E1,-3.455111694E1
3.022769667E0,1.474786377E1,3.220019150E1,-3.453598022E1
3.042857667E0,1.408905029E1,3.260467148E1,-3.451531982E1
3.062944667E0,1.373852539E1,3.283400345E1,-3.440447998E1
3.083032667E0,1.354516602E1,3.304322433E1,-3.441372681E1
3.103120667E0,1.332751465E1,3.332313538E1,-3.416354370E1
3.123207667E0,1.347436523E1,3.349907303E1,-3.388046265E1
3.143295667E0,1.407403564E1,3.364888763E1,-3.370016479E1
3.163383667E0,1.473760986E1,3.370063400E1,-3.349649048E1
3.183470667E0,1.558361816E1,3.356519318E1,-3.308453369E1
3.203558667E0,1.639160156E1,3.331610870E1,-3.317236328E1
3.223646667E0,1.734924316E1,3.280962753E1,-3.321295166E1
3.243733667E0,1.812615967E1,3.237470245E1,-3.325311279E1
3.263821667E0,1.878692627E1,3.199407578E1,-3.328207397E1
3.283909667E0,1.942181396E1,3.161083984E1,-3.325415039E1
3.303997667E0,1.995770264E1,3.125488281E1,-3.329022217E1
3.324084667E0,2.057824707E1,3.075156021E1,-3.350387573E1
3.344172667E0,2.133526611E1,3.000710297E1,-3.369454956E1
3.364260667E0,2.212646484E1,2.922076416E1,-3.390850830E1
3.384347667E0,2.298278809E1,2.823473740E1,-3.412020874E1
3.404435667E0,2.391143799E1,2.701536179E1,-3.449533081E1
3.424523667E0,2.476123047E1,2.553818893E1,-3.495388794E1
3.444610667E0,2.564196777E1,2.396430969E1,-3.545858765E1
3.464698667E0,2.623828125E1,2.244566345E1,-3.614697266E1
3.484786667E0,2.660034180E1,2.120910263E1,-3.657119751E1
3.504873667E0,2.663897705E1,2.029119110E1,-3.709918213E1
3.524961667E0,2.632818604E1,1.981279755E1,-3.769317627E1
3.545049667E0,2.592291260E1,1.989714050E1,-3.794039917E1
3.565136667E0,2.542565918E1,2.019036102E1,-3.807321167E1
3.585224667E0,2.503625488E1,2.075137329E1,-3.807717896E1
3.605312667E0,2.489086914E1,2.141489410E1,-3.784240723E1
3.625399667E0,2.493200684E1,2.210097504E1,-3.723056030E1
3.645487667E0,2.496386719E1,2.284558105E1,-3.665026855E1
3.665575667E0,2.490258789E1,2.375011826E1,-3.606393433E1
3.685662667E0,2.479205322E1,2.477339172E1,-3.545892334E1
3.705750667E0,2.452801514E1,2.589640427E1,-3.487899780E1
3.725838667E0,2.428942871E1,2.682866287E1,-3.418484497E1
3.745926667E0,2.436975098E1,2.736090469E1,-3.373419189E1
3.766013667E0,2.468316650E1,2.762986755E1,-3.337542725E1
3.786101667E0,2.497167969E1,2.753457260E1,-3.313800049E1
3.806189667E0,2.523986816E1,2.720626068E1,-3.324530029E1
3.826276667E0,2.553924561E1,2.667571259E1,-3.372366333E1
3.846364667E0,2.564959717E1,2.598763657E1,-3.431106567E1
3.866452667E0,2.564416504E1,2.528385925E1,-3.481838989E1
3.886539667E0,2.556011963E1,2.479680634E1,-3.510998535E1
3.906627667E0,2.547241211E1,2.431702805E1,-3.560479736E1
3.926715667E0,2.535986328E1,2.392412186E1,-3.594592285E1
3.946802667E0,2.500744629E1,2.363534164E1,-3.642501831E1
3.966890667E0,2.454107666E1,2.335949707E1,-3.690463257E1
3.986978667E0,2.372454834E1,2.344965744E1,-3.741683960E1
4.007065667E0,2.271087646E1,2.377744293E1,-3.784170532E1
4.027153500E0,2.156799316E1,2.438787460E1,-3.809243774E1
4.047241500E0,2.038073730E1,2.525061035E1,-3.816607666E1
4.067328500E0,1.934106445E1,2.632931519E1,-3.798867798E1
4.087416500E0,1.855090332E1,2.745831680E1,-3.749386597E1
4.107504500E0,1.788226318E1,2.846054840E1,-3.705599976E1
4.127591500E0,1.729229736E1,2.933933258E1,-3.669866943E1
4.147679500E0,1.664678955E1,3.016051865E1,-3.636724854E1
4.167767500E0,1.621893311E1,3.097843170E1,-3.595172119E1
4.187854500E0,1.605657959E1,3.166290283E1,-3.518795776E1
