"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.611791698E-3,-4.690185189E-1,-2.312585562E-1,-1.266200691E-1
2.970054169E-2,7.890579104E-2,4.649607837E-1,1.627520025E-1
4.978854168E-2,5.961132646E-1,1.045791149E0,4.811334312E-1
6.987554167E-2,6.875891685E-1,9.202465415E-1,7.054210901E-1
8.996354166E-2,5.446407795E-1,5.536237955E-1,7.494869232E-1
1.100515416E-1,4.118054509E-1,3.012618721E-1,7.392156720E-1
1.301385417E-1,3.301617205E-1,1.977774650E-1,7.838808298E-1
1.502265417E-1,3.007461131E-1,1.532104313E-1,9.206598997E-1
1.703145417E-1,3.202444017E-1,9.651398659E-2,1.079432726E0
1.904025417E-1,4.519394934E-1,5.331403017E-2,1.200522542E0
2.104895417E-1,6.489452124E-1,6.409897655E-2,1.292187333E0
2.305775417E-1,7.961563468E-1,6.137504429E-2,1.372676373E0
2.506655417E-1,9.021387100E-1,2.098407596E-2,1.421617746E0
2.707535417E-1,9.754487276E-1,-7.237779349E-2,1.395353079E0
2.908405417E-1,9.641099572E-1,-2.179055363E-1,1.305495620E0
3.109285417E-1,8.219780922E-1,-3.226693869E-1,1.157419205E0
3.310165417E-1,6.184275150E-1,-3.381116390E-1,1.002203941E0
3.511045417E-1,4.733296633E-1,-3.744796813E-1,8.507968783E-1
3.711915417E-1,3.353001177E-1,-5.348254442E-1,6.617202163E-1
3.912795417E-1,2.039268166E-1,-8.129916191E-1,4.941704571E-1
4.113675416E-1,1.345373541E-1,-1.257394552E0,2.778038979E-1
4.314555417E-1,1.122972071E-1,-1.432334900E0,-1.591137946E-1
4.515425417E-1,-1.033576876E-1,-1.124713898E0,-8.383044004E-1
4.716305417E-1,-4.543027282E-1,-2.726658583E-1,-1.352074027E0
4.917185417E-1,-8.225126863E-1,6.164572239E-1,-1.514028907E0
5.118055417E-1,-1.081267834E0,9.061811566E-1,-1.585627437E0
5.318935417E-1,-1.304343343E0,8.014615178E-1,-1.713743567E0
5.519815417E-1,-1.430852532E0,8.594083786E-1,-1.795477629E0
5.720695417E-1,-1.361663342E0,1.213297486E0,-1.607379913E0
5.921565417E-1,-1.305926204E0,1.426686645E0,-1.078197122E0
6.122445417E-1,-1.359812498E0,1.409686327E0,-4.866251647E-1
6.323325417E-1,-1.134263396E0,1.259428620E0,-4.699089751E-2
6.524205417E-1,-4.062358141E-1,8.878721595E-1,2.748334110E-1
6.725075417E-1,5.612310767E-1,3.433321416E-1,3.041298687E-1
6.925955417E-1,1.302709579E0,-4.081141949E-2,8.538787067E-2
7.126835417E-1,1.615778208E0,-7.009869069E-2,-2.104153037E-1
7.327705417E-1,1.638693810E0,4.827664793E-2,-4.604632556E-1
7.528585417E-1,1.463184595E0,1.403928101E-1,-6.405398250E-1
7.729465417E-1,1.103670835E0,1.968356073E-1,-8.009917736E-1
7.930345417E-1,5.757440925E-1,2.381281108E-1,-9.760349989E-1
8.131215417E-1,3.499412164E-2,1.193755195E-1,-1.081936359E0
8.332095417E-1,-5.449023843E-1,-2.374030054E-1,-1.079865813E0
8.532975417E-1,-1.135860443E0,-6.523413062E-1,-9.760259986E-1
