"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668853295595428E9,"2022-11-19 18:21:35.595 UTC+08:00"
"PAUSE",1.506132122499985E2,1.668853446204865E9,"2022-11-19 18:24:06.205 UTC+08:00"
