"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668852323024097E9,"2022-11-19 18:05:23.024 UTC+08:00"
"PAUSE",1.939114909584168E2,1.668852516934457E9,"2022-11-19 18:08:36.934 UTC+08:00"
