"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.779583197E-4,-8.005352783E-1,4.988526306E0,1.332424210E1
1.910704165E-2,-3.815565491E-1,4.088148651E0,1.487127502E1
3.919304168E-2,-1.224453735E0,3.567830658E0,1.342483292E1
5.927804165E-2,-2.010169830E0,3.434757385E0,1.008991791E1
7.936304167E-2,-2.064806213E0,3.650608521E0,7.703430634E0
9.944804164E-2,-1.504221954E0,3.672163696E0,6.805298309E0
1.195340417E-1,-1.364712067E0,3.220852203E0,6.954388275E0
1.396190416E-1,-1.431922302E0,2.551743622E0,7.795040131E0
1.597040417E-1,-9.032217407E-1,2.308050385E0,9.203161926E0
1.797893750E-1,-1.919009399E-1,2.192490692E0,1.031519943E1
1.998753750E-1,1.116677856E-1,2.083966370E0,1.006027954E1
2.199603750E-1,-8.487350464E-2,2.053579559E0,8.323591003E0
2.400453750E-1,-2.459385681E-1,2.163600769E0,6.622378693E0
2.601313750E-1,-2.318678284E-1,2.335293732E0,5.584137726E0
2.802163750E-1,-1.196012878E-1,2.521207123E0,5.058131561E0
3.003013750E-1,1.107696533E-2,2.874173126E0,4.954097900E0
3.203863750E-1,2.106120300E-1,2.960244141E0,5.317392426E0
3.404723750E-1,3.040177917E-1,2.975213013E0,6.117478638E0
3.605573750E-1,4.736151123E-1,3.089724884E0,7.690557404E0
3.806423750E-1,6.973997498E-1,3.070115662E0,9.221124573E0
4.007273750E-1,9.868977356E-1,3.122207336E0,1.062550415E1
4.208133750E-1,1.908231812E0,3.216660919E0,1.180909286E1
4.408983750E-1,2.709066467E0,3.414100342E0,1.257714569E1
4.609833750E-1,2.327958984E0,3.761827240E0,1.189501419E1
4.810683750E-1,1.268462219E0,4.100722504E0,1.005384293E1
5.011543750E-1,1.037791901E0,4.780009918E0,9.610914001E0
5.212393750E-1,1.833088074E0,4.711153107E0,1.159473862E1
5.413243750E-1,2.207309875E0,3.611539764E0,1.511077698E1
5.614093750E-1,1.371148682E0,2.361638947E0,1.636696472E1
5.814953750E-1,6.218069458E-1,1.880988464E0,1.453522385E1
6.015803750E-1,3.005749512E-1,2.206711121E0,1.214858688E1
6.216653750E-1,8.779243469E-1,2.221679993E0,1.071606583E1
6.417503750E-1,1.838776245E0,2.605332184E0,9.706265717E0
6.618363750E-1,2.659818878E0,3.202290802E0,8.978030090E0
6.819213750E-1,2.888692932E0,3.367547150E0,8.078400879E0
7.020063750E-1,2.292482758E0,3.160078583E0,6.825955353E0
7.220913750E-1,1.363963623E0,2.817291412E0,5.386099548E0
