"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-9.645089507E-1,1.766853809E0,1.902398300E1
2.199687500E-2,1.222421885E0,-7.645643950E-1,2.057937813E1
4.200000000E-2,-1.064940915E-2,-5.102235675E-1,9.546563148E0
6.399687500E-2,1.792261124E0,5.978704453E0,1.068630886E1
8.400937500E-2,-1.479424983E-1,1.828448105E1,1.435661030E1
1.059968750E-1,-2.713176489E0,6.633528233E0,2.909443617E0
1.259968750E-1,1.013906121E0,8.692273140E0,3.881872654E0
1.459968750E-1,3.710668087E0,3.020343065E0,1.353128147E1
1.660046880E-1,4.857844830E0,-1.240004972E-1,9.241657257E0
1.879968750E-1,5.127623558E0,-4.648965001E-1,2.546951771E0
2.080000000E-1,3.780434847E0,1.833690286E0,8.347144723E-1
2.299953130E-1,8.057829738E-1,3.370738983E0,3.520041466E0
2.500000000E-1,-2.186758518E0,5.036222458E0,1.036993885E1
2.719953130E-1,-2.323189735E0,4.630539417E0,9.156346321E0
2.919953130E-1,-1.936315417E0,4.552747250E0,5.877439499E0
3.119968750E-1,-1.951073289E0,3.313584805E0,9.836711884E0
3.320015630E-1,2.862699032E-1,-3.152684867E-2,1.072502708E1
3.539968750E-1,-8.675054908E-1,3.416717291E0,7.619221210E0
3.740062500E-1,-2.600620031E0,4.920668602E0,4.763532162E0
3.959953130E-1,-2.803169727E0,2.082016945E0,6.795587540E0
4.159953130E-1,-3.946898937E0,-1.144428402E-1,6.569344521E0
4.359968750E-1,-5.732150078E0,-1.497209191E0,5.212110043E0
4.579968750E-1,-8.596390724E0,-4.472540855E0,1.968809605E0
4.799953130E-1,-1.571345234E1,-7.678205013E0,1.834284067E0
4.999968750E-1,-1.820093155E1,-1.186382484E1,1.056157970E1
5.220078130E-1,-1.504539394E1,-1.453198051E1,1.107642937E1
5.439968750E-1,-1.406760120E1,-1.819471741E1,1.690890670E0
5.659968750E-1,-1.422107887E1,-1.839003563E1,-3.541828871E0
5.859968750E-1,-1.590727711E1,-1.840700531E1,-5.521124601E-1
6.079968750E-1,-1.204136944E1,-2.320085716E1,4.753859997E0
6.299968750E-1,-9.069599152E0,-2.598705864E1,-1.869335175E0
6.519953130E-1,-1.554777336E1,-2.122882271E1,-4.211467743E0
6.719953130E-1,-1.797241020E1,-2.217645454E1,-6.824528217E0
6.919953130E-1,-7.349231720E0,-2.975445938E1,7.101882458E0
7.119968750E-1,4.041087151E0,-3.635360718E1,7.506971836E0
7.319968750E-1,1.089240170E1,-3.972463226E1,-8.384436607E0
7.519968750E-1,2.574427843E0,-4.083263397E1,-1.277372646E1
7.719968750E-1,-5.964866161E0,-5.410622025E1,1.286151791E1
7.919968750E-1,-4.313173294E0,-5.251036835E1,3.280990982E1
8.119968750E-1,-7.618924141E0,-4.717730331E1,1.252787113E1
8.319968750E-1,-1.798092461E1,-4.340586472E1,6.011170149E-1
8.539953130E-1,-2.127510452E1,-4.428385544E1,3.223950577E1
8.739968750E-1,-1.363912487E1,-4.231161880E1,3.193690872E1
8.959953130E-1,-1.566621017E1,-3.420919418E1,1.442135906E1
9.159953130E-1,-1.663609123E1,-2.250832939E1,3.507658720E0
9.359968750E-1,-9.270473480E0,-2.648610497E1,7.849782944E0
9.559968750E-1,-1.327140522E1,-2.403195381E1,1.488208961E1
9.759968750E-1,-1.490697002E1,-1.688866997E1,1.800113106E1
