"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211390119E1,1.189526584E2,1.126826784E1,1.126438007E-1,2.471209412E2,8.157162666E0,8.157162666E0
1.014606249E0,3.211398279E1,1.189526733E2,1.208509185E1,1.424385309E0,6.305515671E1,1.711616325E1,1.711616325E1
2.021007291E0,3.211398895E1,1.189527331E2,7.136347897E0,9.760889411E-1,2.752587280E2,1.985297585E1,1.985297585E1
2.756707291E0,3.211400633E1,1.189527134E2,1.940280726E0,1.610813379E0,2.870971375E2,4.699999809E0,4.699999809E0
3.758510936E0,3.211401911E1,1.189526878E2,6.041218198E0,1.139543772E0,3.293096924E2,4.699999809E0,4.699999809E0
4.760101561E0,3.211402716E1,1.189526700E2,8.098868945E0,9.705949426E-1,3.593139267E1,4.699999809E0,4.699999809E0
5.752920832E0,3.211403628E1,1.189526842E2,9.214835115E0,1.444320679E0,3.593139267E1,4.699999809E0,4.699999809E0
6.756093228E0,3.211404502E1,1.189527089E2,9.782095701E0,1.981256127E0,6.690327454E1,4.699999809E0,4.699999809E0
7.766399477E0,3.211405235E1,1.189527302E2,1.654847033E1,1.783182144E0,6.964879608E1,1.212682009E0,1.212682009E0
8.762082290E0,3.211404860E1,1.189527356E2,1.856403012E1,1.648845434E0,6.426661682E1,2.237580776E0,2.237580776E0
9.770856248E0,3.211405174E1,1.189527557E2,1.970137581E1,1.597735286E0,6.423171234E1,2.335883379E0,2.335883379E0
1.076586458E1,3.211406122E1,1.189527712E2,1.866985570E1,1.589186430E0,6.886414337E1,2.348370075E0,2.348370075E0
1.175937135E1,3.211406698E1,1.189527896E2,1.826874118E1,1.564332128E0,7.135506439E1,2.383137703E0,2.383137703E0
1.276428229E1,3.211407282E1,1.189528056E2,1.815356990E1,1.546834826E0,7.092864990E1,2.840700865E0,2.840700865E0
1.376275989E1,3.211407886E1,1.189528216E2,1.755387659E1,1.536911130E0,6.995123291E1,2.626192093E0,2.626192093E0
1.476036302E1,3.211408314E1,1.189528378E2,1.701135409E1,1.520859003E0,7.930799103E1,2.709891319E0,2.709891319E0
1.576127552E1,3.211408387E1,1.189528537E2,1.682769157E1,1.504166007E0,9.013940430E1,2.630326033E0,2.630326033E0
1.676864010E1,3.211408272E1,1.189528717E2,1.698451039E1,1.496606827E0,9.367636108E1,2.560727358E0,2.560727358E0
1.775706718E1,3.211409635E1,1.189528837E2,1.695330128E1,1.391412497E0,7.463773346E1,2.226242065E0,2.226242065E0
1.876109531E1,3.211409797E1,1.189529023E2,1.700651444E1,1.200570703E0,7.672624969E1,2.162925959E0,2.162925959E0
1.975939375E1,3.211409699E1,1.189529167E2,1.672761791E1,1.111167550E0,8.670030975E1,1.933005929E0,1.933005929E0
2.076335156E1,3.211409735E1,1.189529320E2,1.646300930E1,1.313779116E0,8.721391296E1,1.934914589E0,1.934914589E0
2.176028541E1,3.211409853E1,1.189529496E2,1.562672058E1,1.334758639E0,9.833660889E1,1.913084388E0,1.913084388E0
2.276272239E1,3.211409956E1,1.189529640E2,1.497510624E1,1.264849305E0,1.168239746E2,2.045929432E0,2.045929432E0
2.376342552E1,3.211409659E1,1.189529783E2,1.455771105E1,1.270252943E0,1.286567230E2,2.090483427E0,2.090483427E0
2.475742448E1,3.211409275E1,1.189529923E2,1.395397563E1,1.398199081E0,1.285780945E2,2.142039776E0,2.142039776E0
2.576124270E1,3.211408883E1,1.189530040E2,1.339322464E1,1.443771124E0,1.186649780E2,2.162554979E0,2.162554979E0
2.676639583E1,3.211408246E1,1.189530165E2,1.299232229E1,1.446386099E0,1.238691254E2,2.114763737E0,2.114763737E0
2.775597500E1,3.211407654E1,1.189530292E2,1.273849263E1,1.369821787E0,1.267628784E2,2.007477283E0,2.007477283E0
2.876100260E1,3.211406936E1,1.189530393E2,1.254056980E1,1.257345557E0,1.287545319E2,2.010466337E0,2.010466337E0
2.976226250E1,3.211406059E1,1.189530462E2,1.235475342E1,1.291330695E0,1.526919403E2,2.091410398E0,2.091410398E0
3.075845000E1,3.211405022E1,1.189530506E2,1.221863911E1,1.374052525E0,1.780727692E2,2.179910183E0,2.179910183E0
3.175727916E1,3.211403792E1,1.189530519E2,1.230620852E1,1.192884803E0,1.703864746E2,2.291397572E0,2.291397572E0
3.276262291E1,3.211402432E1,1.189530510E2,1.244879630E1,1.180083871E0,1.850841980E2,2.366670370E0,2.366670370E0
3.375840729E1,3.211401014E1,1.189530505E2,1.238798729E1,1.408030272E0,1.892599030E2,2.394059896E0,2.394059896E0
3.476814999E1,3.211399750E1,1.189530554E2,1.230494237E1,1.297781587E0,1.590188599E2,2.423929453E0,2.423929453E0
3.576340052E1,3.211399017E1,1.189530685E2,1.222434877E1,1.276516318E0,7.974952698E1,2.480505705E0,2.480505705E0
3.676703385E1,3.211398903E1,1.189530847E2,1.225765651E1,1.473512530E0,5.662038422E1,2.491067410E0,2.491067410E0
3.775992552E1,3.211399079E1,1.189531009E2,1.251064153E1,1.460640430E0,7.116141510E1,2.457498789E0,2.457498789E0
3.876919947E1,3.211399240E1,1.189531157E2,1.259935410E1,1.384622931E0,7.971043396E1,2.486430407E0,2.486430407E0
3.976435572E1,3.211399377E1,1.189531310E2,1.239388154E1,1.396716356E0,8.403445435E1,2.389752150E0,2.389752150E0
4.076972812E1,3.211399573E1,1.189531471E2,1.220004766E1,1.421612144E0,7.551390076E1,2.327730656E0,2.327730656E0
4.176661718E1,3.211399668E1,1.189531629E2,1.185406114E1,1.397001743E0,7.393041229E1,2.406787872E0,2.406787872E0
4.276682291E1,3.211399976E1,1.189531776E2,1.164014366E1,1.392346978E0,7.737652588E1,2.471792698E0,2.471792698E0
4.376995364E1,3.211400452E1,1.189531921E2,1.146623421E1,1.440094590E0,7.066480255E1,2.479619265E0,2.479619265E0
4.475602447E1,3.211401020E1,1.189532052E2,1.123708324E1,1.155002952E0,6.611864471E1,2.624269009E0,2.624269009E0
4.576439635E1,3.211401524E1,1.189532186E2,1.092780484E1,1.075790763E0,6.026835251E1,2.671018124E0,2.671018124E0
