"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669168152105368E9,"2022-11-23 09:49:12.105 UTC+08:00"
"PAUSE",5.853678177916445E2,1.669168737781453E9,"2022-11-23 09:58:57.781 UTC+08:00"
