"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.661799431E-2,3.211453666E1,1.189537463E2,1.607536840E1,-1.000000000E0,-1.000000000E0,6.553395589E1,6.553395589E1
3.661799431E-2,3.211453666E1,1.189537463E2,1.607576132E1,-1.000000000E0,-1.000000000E0,6.553395589E1,6.553395589E1
5.547380447E-1,3.211468035E1,1.189533679E2,1.610734844E1,-1.000000000E0,-1.000000000E0,5.500000000E1,5.500000000E1
1.434563041E0,3.211471620E1,1.189533620E2,1.612806654E1,-1.000000000E0,-1.000000000E0,5.500000000E1,5.500000000E1
1.444316983E0,3.211473631E1,1.189533598E2,1.614034033E1,-1.000000000E0,-1.000000000E0,5.500000000E1,5.500000000E1
1.879019022E0,3.211479341E1,1.189533284E2,7.445154190E-1,7.400000095E-1,3.223828125E2,1.267019323E1,1.267019323E1
2.561688900E0,3.211478696E1,1.189533226E2,1.160683632E0,7.400000095E-1,3.223828125E2,1.478293213E1,1.478293213E1
3.572591066E0,3.211467305E1,1.189532618E2,1.573218632E1,7.400000095E-1,2.285156250E1,1.033756887E1,1.033756887E1
4.573638916E0,3.211467292E1,1.189532495E2,1.616224003E1,9.700000286E-1,3.424218750E2,8.862247025E0,8.862247025E0
5.567771912E0,3.211467405E1,1.189532048E2,1.640284061E1,9.700000286E-1,3.529687500E2,7.643810243E0,7.643810243E0
6.568679094E0,3.211469903E1,1.189532227E2,1.639215946E1,8.600000143E-1,6.328125000E0,6.310814333E0,6.310814333E0
7.553981900E0,3.211472548E1,1.189532368E2,1.508899784E1,1.460000038E0,3.410156250E1,5.773707434E0,5.773707434E0
7.763810396E0,3.211471215E1,1.189532256E2,1.504401493E1,1.090000033E0,3.420703125E2,6.482370344E0,6.482370344E0
9.766644835E0,3.211470507E1,1.189532654E2,1.501972294E1,1.279999971E0,3.596484375E2,3.956127537E0,3.956127537E0
1.076890802E1,3.211471420E1,1.189532708E2,1.435144901E1,1.059999943E0,1.054687500E1,3.535533906E0,3.535533906E0
1.177109957E1,3.211472594E1,1.189532687E2,1.420374393E1,1.059999943E0,7.031250000E0,3.535533906E0,3.535533906E0
1.277313411E1,3.211473880E1,1.189532677E2,1.411634159E1,1.059999943E0,1.089843750E1,3.535533906E0,3.535533906E0
1.377503097E1,3.211474916E1,1.189532673E2,1.419110966E1,1.029999971E0,1.054687500E1,3.535533906E0,3.535533906E0
1.477681494E1,3.211475829E1,1.189532693E2,1.419110975E1,1.029999971E0,1.054687606E1,4.574573116E0,4.574573116E0
1.577851117E1,3.211476536E1,1.189532679E2,1.343439587E1,9.200000167E-1,6.328125571E0,4.574573106E0,4.574573106E0
1.678011453E1,3.211477578E1,1.189532651E2,1.341968642E1,1.080000043E0,3.582421873E2,4.574573094E0,4.574573094E0
1.778158236E1,3.211478262E1,1.189532582E2,1.265253552E1,9.399999976E-1,3.441796861E2,4.574573096E0,4.574573096E0
1.878289938E1,3.211479195E1,1.189532483E2,1.254242812E1,1.080000043E0,3.336328098E2,4.574573102E0,4.574573102E0
1.978414154E1,3.211480086E1,1.189532402E2,1.282465468E1,1.039999962E0,3.304687471E2,4.574573106E0,4.574573106E0
2.078530455E1,3.211480892E1,1.189532344E2,1.208765516E1,1.039999962E0,3.322265598E2,4.574573107E0,4.574573107E0
2.178638029E1,3.211481714E1,1.189532297E2,1.204023084E1,9.800000191E-1,3.350390602E2,4.574573105E0,4.574573105E0
2.278738630E1,3.211482697E1,1.189532252E2,1.175623426E1,9.800000191E-1,3.389062480E2,4.574573100E0,4.574573100E0
2.378832877E1,3.211484263E1,1.189532220E2,1.111927143E1,1.350000024E0,3.455859356E2,4.574573085E0,4.574573085E0
2.478921711E1,3.211485387E1,1.189532215E2,1.097217671E1,1.350000024E0,3.505078112E2,4.574573069E0,4.574573069E0
2.579002750E1,3.211486031E1,1.189532215E2,1.077295789E1,9.900000095E-1,3.508593741E2,4.574573057E0,4.574573057E0
2.679079068E1,3.211487004E1,1.189532209E2,1.033973034E1,9.100000262E-1,3.494531241E2,4.574573041E0,4.574573041E0
2.779149759E1,3.211488088E1,1.189532210E2,1.030875500E1,9.499999881E-1,3.512109367E2,4.574573023E0,4.574573023E0
2.879215658E1,3.211489609E1,1.189532211E2,1.011573139E1,1.340000033E0,3.543749993E2,4.574573001E0,4.574573001E0
2.979285157E1,3.211490356E1,1.189532227E2,9.896248900E0,9.499999881E-1,3.585937499E2,4.574572983E0,4.574572983E0
3.079336822E1,3.211491179E1,1.189532247E2,9.489724234E0,8.999999762E-1,1.054687593E0,4.574572964E0,4.574572964E0
3.179391050E1,3.211491883E1,1.189532247E2,9.240761817E0,7.799999714E-1,3.568359373E2,4.574572951E0,4.574572951E0
3.279441988E1,3.211492938E1,1.189532246E2,9.416421017E0,9.300000072E-1,3.547265620E2,4.574572934E0,4.574572934E0
3.379489481E1,3.211493512E1,1.189532235E2,9.594430028E0,7.799999714E-1,3.498046867E2,4.574572925E0,4.574572925E0
3.479534590E1,3.211492977E1,1.189532042E2,1.462687108E1,5.651165696E-1,3.178007109E2,4.765087494E0,4.765087494E0
3.579576707E1,3.211492979E1,1.189531937E2,1.481319683E1,8.435688844E-1,3.076527070E2,4.767776399E0,4.767776399E0
3.679615581E1,3.211492675E1,1.189531825E2,1.460858472E1,9.520147296E-1,2.866087702E2,4.759314867E0,4.759314867E0
3.779652512E1,3.211492375E1,1.189531661E2,1.462897486E1,1.059444933E0,2.764003006E2,4.758805505E0,4.758805505E0
3.879686856E1,3.211492828E1,1.189531569E2,1.403019857E1,1.003857537E0,2.807485379E2,4.716765785E0,4.716765785E0
3.979718745E1,3.211492702E1,1.189531483E2,1.435609781E1,8.608632040E-1,2.748749446E2,4.721914090E0,4.721914090E0
4.079749238E1,3.211492839E1,1.189531360E2,1.440346758E1,1.035247150E0,2.781401796E2,4.723281879E0,4.723281879E0
4.179777098E1,3.211492898E1,1.189531245E2,1.422990404E1,1.057818192E0,2.787774669E2,4.725505946E0,4.725505946E0
4.279809403E1,3.211492962E1,1.189531153E2,1.436609455E1,9.698875524E-1,2.785704220E2,4.722970074E0,4.722970074E0
4.379828393E1,3.211493201E1,1.189531020E2,1.435628585E1,1.013167343E0,2.812976536E2,4.724011198E0,4.724011198E0
4.479851294E1,3.211493426E1,1.189530871E2,1.444840865E1,1.138749849E0,2.821770047E2,4.725638112E0,4.725638112E0
4.579872751E1,3.211493647E1,1.189530734E2,1.427515197E1,1.229734563E0,2.833046748E2,4.726806380E0,4.726806380E0
4.679892898E1,3.211493471E1,1.189530650E2,1.421237443E1,1.066821242E0,2.764574664E2,4.727498545E0,4.727498545E0
4.779911804E1,3.211493417E1,1.189530550E2,1.428778037E1,1.002286439E0,2.732229502E2,4.728301723E0,4.728301723E0
4.879929566E1,3.211493635E1,1.189530410E2,1.434278883E1,1.173345727E0,2.781304438E2,4.728000292E0,4.728000292E0
4.979946566E1,3.211493853E1,1.189530340E2,1.430855615E1,9.475544947E-1,2.822461916E2,4.728967171E0,4.728967171E0
5.079961205E1,3.211494059E1,1.189530265E2,1.393412084E1,8.050935240E-1,2.850365195E2,4.719899312E0,4.719899312E0
5.179975641E1,3.211494153E1,1.189530101E2,1.422485810E1,1.127805358E0,2.809357837E2,4.723264543E0,4.723264543E0
5.279989100E1,3.211494167E1,1.189529976E2,1.378218039E1,1.107999980E0,2.766598111E2,4.716594930E0,4.716594930E0
5.380001688E1,3.211494082E1,1.189529814E2,1.396283535E1,1.185131053E0,2.727522135E2,4.725129751E0,4.725129751E0
5.480013371E1,3.211494105E1,1.189529657E2,1.403902698E1,1.294162295E0,2.718843718E2,4.727489331E0,4.727489331E0
5.580024278E1,3.211494334E1,1.189529499E2,1.408692367E1,1.422204587E0,2.758560133E2,4.726950711E0,4.726950711E0
5.680034602E1,3.211494537E1,1.189529406E2,1.390695559E1,1.158417536E0,2.800081262E2,4.728536411E0,4.728536411E0
5.780043995E1,3.211494805E1,1.189529263E2,1.368083155E1,1.152422831E0,2.813833218E2,4.727877224E0,4.727877224E0
5.880052888E1,3.211494681E1,1.189529191E2,1.384424843E1,8.471214091E-1,2.748315449E2,4.730908740E0,4.730908740E0
5.980061138E1,3.211494306E1,1.189529052E2,1.395964308E1,9.442108965E-1,2.650127953E2,4.729501574E0,4.729501574E0
6.080068743E1,3.211494399E1,1.189528926E2,1.404543799E1,1.000531557E0,2.696955379E2,4.730086239E0,4.730086239E0
6.180075943E1,3.211494684E1,1.189528830E2,1.404084703E1,9.809383616E-1,2.771776610E2,4.729995834E0,4.729995834E0
6.280082619E1,3.211494624E1,1.189528688E2,1.428413769E1,1.120932583E0,2.739492921E2,4.729186250E0,4.729186250E0
6.380088758E1,3.211494818E1,1.189528557E2,1.409471491E1,1.235042688E0,2.772485903E2,4.730198044E0,4.730198044E0
6.480094445E1,3.211494573E1,1.189528438E2,1.411790859E1,1.168564936E0,2.699961924E2,4.731920858E0,4.731920858E0
6.580099893E1,3.211494498E1,1.189528309E2,1.396679510E1,1.235338557E0,2.679568122E2,4.731569013E0,4.731569013E0
6.680104756E1,3.211493444E1,1.189528284E2,1.392328060E1,8.604013251E-1,2.358537503E2,4.731223222E0,4.731223222E0
6.780109417E1,3.211493289E1,1.189528127E2,1.367720010E1,1.030678968E0,2.491720971E2,4.729918457E0,4.729918457E0
6.880113566E1,3.211493056E1,1.189527967E2,1.359821180E1,1.272841992E0,2.531169492E2,4.729106608E0,4.729106608E0
6.980117464E1,3.211492756E1,1.189527826E2,1.407110345E1,1.361017264E0,2.541960860E2,4.726939787E0,4.726939787E0
7.080121219E1,3.211492773E1,1.189527690E2,1.427921941E1,1.271593441E0,2.597365711E2,4.728184263E0,4.728184263E0
7.180124557E1,3.211493077E1,1.189527546E2,1.410480462E1,1.245701856E0,2.704572052E2,4.730932354E0,4.730932354E0
7.280127561E1,3.211492703E1,1.189527450E2,1.414208600E1,1.108640358E0,2.639677787E2,4.731749768E0,4.731749768E0
7.380130422E1,3.211492501E1,1.189527321E2,1.421584037E1,1.146653322E0,2.641915370E2,4.729501813E0,4.729501813E0
7.480133021E1,3.211492384E1,1.189527209E2,1.411727485E1,1.117752400E0,2.651622615E2,4.729408509E0,4.729408509E0
7.580135381E1,3.211492328E1,1.189527081E2,1.419215818E1,1.150226688E0,2.660954173E2,4.729319160E0,4.729319160E0
7.680137587E1,3.211492054E1,1.189526928E2,1.414377737E1,1.296279860E0,2.641619401E2,4.718941987E0,4.718941987E0
7.780139720E1,3.211491869E1,1.189526788E2,1.418340543E1,1.373229345E0,2.650789402E2,4.724906706E0,4.724906706E0
7.880141461E1,3.211491730E1,1.189526672E2,1.403786449E1,1.238027771E0,2.666169217E2,4.729660646E0,4.729660646E0
7.980143118E1,3.211491086E1,1.189526563E2,1.385285529E1,1.198662944E0,2.566074689E2,4.726450685E0,4.726450685E0
8.080144715E1,3.211491059E1,1.189526435E2,1.375065583E1,1.241538783E0,2.623016172E2,4.728876304E0,4.728876304E0
8.180146062E1,3.211490757E1,1.189526354E2,1.386370804E1,1.009342943E0,2.582933489E2,4.729153405E0,4.729153405E0
8.280147171E1,3.211490441E1,1.189526193E2,1.385344904E1,1.179381569E0,2.604017136E2,4.732149773E0,4.732149773E0
8.380148327E1,3.211490199E1,1.189526101E2,1.354678563E1,1.044308046E0,2.590151548E2,4.733188433E0,4.733188433E0
8.480149341E1,3.211490168E1,1.189525961E2,1.337271318E1,1.115706661E0,2.643278447E2,4.728532541E0,4.728532541E0
8.580150115E1,3.211489926E1,1.189525807E2,1.360093162E1,1.236385650E0,2.626135359E2,4.729683262E0,4.729683262E0
8.680150914E1,3.211489481E1,1.189525680E2,1.381454231E1,1.184348925E0,2.566184641E2,4.728798804E0,4.728798804E0
8.780151558E1,3.211489313E1,1.189525544E2,1.380858702E1,1.206902700E0,2.584783378E2,4.728654637E0,4.728654637E0
8.880152094E1,3.211489343E1,1.189525381E2,1.387685124E1,1.289448699E0,2.621350130E2,4.733281285E0,4.733281285E0
8.980152559E1,3.211489383E1,1.189525311E2,1.336805007E1,1.052568033E0,2.650963478E2,4.730239748E0,4.730239748E0
9.080152988E1,3.211489113E1,1.189525178E2,1.333477065E1,1.158785206E0,2.632847051E2,4.729106501E0,4.729106501E0
9.180153346E1,3.211488687E1,1.189525083E2,1.365636479E1,1.045976707E0,2.567517733E2,4.732117132E0,4.732117132E0
9.280153465E1,3.211488708E1,1.189524959E2,1.310033443E1,1.039583223E0,2.624026311E2,4.725743846E0,4.725743846E0
9.380153799E1,3.211488543E1,1.189524822E2,1.339603384E1,1.106610139E0,2.616948948E2,4.727364564E0,4.727364564E0
9.480153871E1,3.211488525E1,1.189524720E2,1.350087430E1,9.814108132E-1,2.625752263E2,4.732373911E0,4.732373911E0
9.580153835E1,3.211488320E1,1.189524602E2,1.345967652E1,1.023677604E0,2.623638280E2,4.730796380E0,4.730796380E0
9.680153966E1,3.211487978E1,1.189524532E2,1.349841575E1,8.736977142E-1,2.584405729E2,4.731650049E0,4.731650049E0
9.780153799E1,3.211487612E1,1.189524351E2,1.355149502E1,1.234902423E0,2.587769968E2,4.734975195E0,4.734975195E0
9.880153656E1,3.211487862E1,1.189524225E2,1.338827707E1,1.215485571E0,2.658871022E2,4.736022192E0,4.736022192E0
9.980153584E1,3.211487997E1,1.189524126E2,1.310914002E1,1.026353094E0,2.718075429E2,4.729937921E0,4.729937921E0
1.008015338E2,3.211487809E1,1.189523979E2,1.354978255E1,1.078142586E0,2.684337387E2,4.732372013E0,4.732372013E0
1.018015316E2,3.211487542E1,1.189523858E2,1.342039383E1,1.125567739E0,2.646947487E2,4.734392741E0,4.734392741E0
1.028015286E2,3.211487375E1,1.189523733E2,1.342889042E1,1.138286927E0,2.654246352E2,4.734036715E0,4.734036715E0
1.038015254E2,3.211487313E1,1.189523623E2,1.352954720E1,1.095176995E0,2.652428583E2,4.730778452E0,4.730778452E0
1.048015219E2,3.211487174E1,1.189523506E2,1.388366115E1,1.007985567E0,2.653254670E2,4.731512707E0,4.731512707E0
1.058015183E2,3.211486971E1,1.189523386E2,1.340337085E1,1.077275860E0,2.648123905E2,4.727092677E0,4.727092677E0
1.068015145E2,3.211486743E1,1.189523238E2,1.352932641E1,1.250794207E0,2.650962901E2,4.729966676E0,4.729966676E0
1.078015107E2,3.211486408E1,1.189523129E2,1.357807018E1,1.126088209E0,2.618123024E2,4.732243499E0,4.732243499E0
1.088015054E2,3.211486503E1,1.189523032E2,1.390779138E1,9.981606976E-1,2.691085627E2,4.728758382E0,4.728758382E0
1.098015001E2,3.211486272E1,1.189522880E2,1.369321718E1,1.126897499E0,2.651661684E2,4.732066149E0,4.732066149E0
1.108014985E2,3.211486060E1,1.189522736E2,1.367210037E1,1.216270860E0,2.676602463E2,4.733791549E0,4.733791549E0
1.118014908E2,3.211485593E1,1.189522617E2,1.369308953E1,1.188740085E0,2.605426634E2,4.734910379E0,4.734910379E0
1.128014863E2,3.211485265E1,1.189522479E2,1.386950567E1,1.234033758E0,2.583445221E2,4.735957523E0,4.735957523E0
1.138014805E2,3.211485015E1,1.189522339E2,1.378759736E1,1.247704660E0,2.582312633E2,4.737104227E0,4.737104227E0
1.148014743E2,3.211484634E1,1.189522200E2,1.402719806E1,1.204447771E0,2.572074702E2,4.737822825E0,4.737822825E0
1.158014681E2,3.211484482E1,1.189522097E2,1.363301221E1,1.111053327E0,2.601937664E2,4.732922825E0,4.732922825E0
1.168014609E2,3.211484139E1,1.189521965E2,1.370287065E1,1.128047792E0,2.592642261E2,4.734938909E0,4.734938909E0
1.178014557E2,3.211484006E1,1.189521856E2,1.387351608E1,1.083122632E0,2.603645982E2,4.731664695E0,4.731664695E0
1.188014505E2,3.211484070E1,1.189521730E2,1.386279416E1,1.050607354E0,2.661037638E2,4.731220129E0,4.731220129E0
1.198014425E2,3.211483965E1,1.189521645E2,1.361108164E1,8.995498493E-1,2.664108936E2,4.729545916E0,4.729545916E0
1.208014357E2,3.211483889E1,1.189521550E2,1.355863581E1,9.917566624E-1,2.691611536E2,4.729224625E0,4.729224625E0
