"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.105524998E-2,-9.131317139E-1,1.379124641E1,-4.407701111E1
6.099625002E-2,3.232727051E-1,1.366888618E1,-4.383050156E1
8.093725005E-2,1.828659058E0,1.344491959E1,-4.378004456E1
1.008782501E-1,3.004783630E0,1.376098251E1,-4.363510132E1
1.208192499E-1,3.267044067E0,1.428276443E1,-4.344598389E1
1.407602499E-1,3.052146912E0,1.457634926E1,-4.346982574E1
1.607012500E-1,2.734550476E0,1.464967155E1,-4.371120071E1
1.806422500E-1,2.754165649E0,1.415540314E1,-4.380134201E1
2.005832500E-1,3.133331299E0,1.399358749E1,-4.385791016E1
2.205242501E-1,3.700836182E0,1.392510033E1,-4.367068863E1
2.404652501E-1,4.444679260E0,1.442542458E1,-4.332183456E1
2.604062499E-1,4.908721924E0,1.495205879E1,-4.298858261E1
2.803472499E-1,5.029647827E0,1.539844322E1,-4.285381317E1
3.002882500E-1,4.940307617E0,1.595023918E1,-4.286243057E1
3.202292500E-1,4.574264526E0,1.605917168E1,-4.287349701E1
3.401702500E-1,4.455802917E0,1.622032356E1,-4.300847244E1
3.601112501E-1,4.885955811E0,1.638247871E1,-4.262294769E1
3.800522501E-1,5.994796753E0,1.668746376E1,-4.249900436E1
3.999932499E-1,6.883682251E0,1.734173775E1,-4.221062088E1
4.199342499E-1,7.521102905E0,1.827952385E1,-4.197323227E1
4.398752500E-1,7.831832886E0,1.888057137E1,-4.160261154E1
4.598162500E-1,8.303512573E0,1.943615913E1,-4.098623657E1
4.797572501E-1,8.999145508E0,2.010913658E1,-4.068418503E1
4.996982501E-1,9.541320801E0,2.073423958E1,-4.008521652E1
5.196392499E-1,9.955245972E0,2.132290077E1,-3.997499466E1
5.395802499E-1,9.867935181E0,2.196813774E1,-3.972591400E1
5.595212500E-1,9.308593750E0,2.280198097E1,-3.979219055E1
5.794622500E-1,8.347198486E0,2.401730537E1,-3.941085815E1
5.994032500E-1,7.531341553E0,2.535192299E1,-3.909743118E1
6.193442501E-1,6.883255005E0,2.659480858E1,-3.872042847E1
6.392852501E-1,6.029815674E0,2.774374199E1,-3.845758820E1
6.592262499E-1,5.353622437E0,2.867843819E1,-3.804409027E1
6.791672499E-1,4.741607666E0,2.950085640E1,-3.769993591E1
6.991082500E-1,4.489219666E0,2.964610863E1,-3.786109543E1
7.190492083E-1,4.810073853E0,2.945372963E1,-3.777741623E1
7.389902084E-1,5.551727295E0,2.810488319E1,-3.831817627E1
7.589312084E-1,6.074630737E0,2.699122810E1,-3.848767090E1
7.788722084E-1,5.490554810E0,2.616490746E1,-3.903194809E1
7.988132082E-1,4.122764587E0,2.574642372E1,-3.983555222E1
8.187542083E-1,2.512863159E0,2.583526421E1,-3.987108612E1
8.386952083E-1,8.341217041E-1,2.581987190E1,-4.007986069E1
8.586362083E-1,-3.386535645E-1,2.557679939E1,-4.043127823E1
8.785772084E-1,-2.446365356E-1,2.536039925E1,-4.028201294E1
8.985182084E-1,4.576034546E-1,2.502024269E1,-4.048507309E1
9.184592084E-1,8.083953857E-1,2.495338249E1,-4.064835358E1
9.384002083E-1,1.183387756E0,2.469810295E1,-4.047226334E1
9.583412083E-1,8.397369385E-1,2.447001076E1,-4.067040253E1
9.782822083E-1,7.397308350E-1,2.379341316E1,-4.100577164E1
9.982232084E-1,5.221328735E-1,2.324435997E1,-4.140570831E1
1.018164208E0,5.823059082E-1,2.235000038E1,-4.148617554E1
1.038105208E0,8.781509399E-1,2.151037025E1,-4.181717300E1
1.058046208E0,1.360824585E0,2.006484032E1,-4.235046768E1
1.077987208E0,2.373962402E0,1.871787834E1,-4.252419281E1
