"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669003465198452E9,"2022-11-21 12:04:25.198 UTC+08:00"
"PAUSE",4.938948475415818E2,1.669003959130952E9,"2022-11-21 12:12:39.131 UTC+08:00"
