"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669367942205743E9,"2022-11-25 17:19:02.206 UTC+08:00"
"PAUSE",3.770527736668009E2,1.669368319489408E9,"2022-11-25 17:25:19.489 UTC+08:00"
