"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668851984110650E9,"2022-11-19 17:59:44.111 UTC+08:00"
"PAUSE",2.486501542916521E2,1.668852232924485E9,"2022-11-19 18:03:52.924 UTC+08:00"
