"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668836284157419E9,"2022-11-19 13:38:04.157 UTC+08:00"
"PAUSE",1.506152193333255E2,1.668836434768753E9,"2022-11-19 13:40:34.769 UTC+08:00"
