"Time (s)","Pressure (hPa)"
1.464506250E-1,1.014568359E3
2.264521880E-1,1.014567383E3
3.064521880E-1,1.014578613E3
3.864521880E-1,1.014578613E3
4.664521880E-1,1.014574707E3
5.464521880E-1,1.014575195E3
6.264521880E-1,1.014570801E3
7.064521880E-1,1.014556152E3
7.864521880E-1,1.014571777E3
8.664521880E-1,1.014575195E3
9.464521880E-1,1.014579102E3
1.026452188E0,1.014591309E3
1.106452188E0,1.014581543E3
1.186452188E0,1.014564453E3
1.266452188E0,1.014567383E3
1.346452188E0,1.014570801E3
1.426452188E0,1.014576660E3
1.506452188E0,1.014574707E3
1.586452188E0,1.014553711E3
1.666452188E0,1.014559082E3
1.746452188E0,1.014572266E3
1.826452188E0,1.014571289E3
1.906452188E0,1.014571777E3
1.986452188E0,1.014576660E3
2.066452188E0,1.014577148E3
2.146450625E0,1.014577637E3
2.226452188E0,1.014579102E3
2.306452188E0,1.014569336E3
2.386452188E0,1.014577637E3
2.466452188E0,1.014580078E3
2.546452188E0,1.014572754E3
2.626452188E0,1.014573730E3
2.706452188E0,1.014572754E3
2.786452188E0,1.014575684E3
2.866452188E0,1.014580078E3
2.946452188E0,1.014584473E3
3.026452188E0,1.014586914E3
3.106452188E0,1.014578125E3
3.186452188E0,1.014577637E3
3.266452188E0,1.014576172E3
3.346452188E0,1.014568848E3
3.426450625E0,1.014562988E3
3.506452188E0,1.014562500E3
3.586452188E0,1.014554688E3
3.666450625E0,1.014557129E3
3.746450625E0,1.014557129E3
3.826452188E0,1.014568848E3
3.906452188E0,1.014566406E3
3.986450625E0,1.014574707E3
4.066450625E0,1.014581055E3
4.146450625E0,1.014581055E3
4.226450625E0,1.014577637E3
4.306450625E0,1.014587891E3
4.386450625E0,1.014580566E3
4.466452188E0,1.014564941E3
4.546450625E0,1.014577637E3
4.626450625E0,1.014576172E3
4.706450625E0,1.014587891E3
4.786450625E0,1.014591309E3
4.866450625E0,1.014587402E3
4.946450625E0,1.014579590E3
5.026450625E0,1.014583496E3
5.106450625E0,1.014597656E3
5.186450625E0,1.014588379E3
5.266450625E0,1.014586914E3
5.346450625E0,1.014591797E3
5.426450625E0,1.014595215E3
5.506450625E0,1.014579590E3
5.586450625E0,1.014576172E3
5.666450625E0,1.014579590E3
5.746450625E0,1.014578613E3
5.826450625E0,1.014571289E3
5.906450625E0,1.014576660E3
5.986450625E0,1.014573242E3
6.066450625E0,1.014576660E3
6.146450625E0,1.014568359E3
6.226450625E0,1.014577148E3
6.306450625E0,1.014571777E3
6.386450625E0,1.014570312E3
6.466450625E0,1.014573730E3
6.546450625E0,1.014583496E3
6.626450625E0,1.014575195E3
6.706452188E0,1.014576660E3
6.786450625E0,1.014585449E3
6.866450625E0,1.014581543E3
6.946450625E0,1.014574219E3
7.026450625E0,1.014589355E3
7.106450625E0,1.014591309E3
7.186452188E0,1.014584961E3
7.266452188E0,1.014578125E3
7.346450625E0,1.014584473E3
7.426450625E0,1.014589355E3
7.506450625E0,1.014599609E3
7.586450625E0,1.014622559E3
7.666450625E0,1.014596191E3
7.746450625E0,1.014598145E3
7.826450625E0,1.014598145E3
7.906450625E0,1.014595703E3
7.986450625E0,1.014585938E3
8.066450625E0,1.014592285E3
8.146450625E0,1.014595215E3
8.226450625E0,1.014589844E3
8.306450625E0,1.014593750E3
8.386450625E0,1.014593262E3
8.466450625E0,1.014585449E3
8.546452188E0,1.014579102E3
8.626450625E0,1.014593262E3
8.706450625E0,1.014583984E3
