"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211727200E1,1.189482600E2,0.000000000E0,0.000000000E0,0.000000000E0,2.900000000E1,0.000000000E0
6.292286460E-1,3.211727200E1,1.189482600E2,3.260788758E1,1.438100880E-4,8.698915863E1,2.900000000E1,0.000000000E0
7.212122915E0,3.211694491E1,1.189483613E2,5.859200503E1,2.051999331E0,3.334750061E2,2.927141190E1,2.927141190E1
8.212801561E0,3.211710548E1,1.189481746E2,6.434969357E1,1.045225859E0,3.342308960E2,3.463221741E1,3.463221741E1
9.505099478E0,3.211725065E1,1.189482657E2,2.133378898E1,3.601383865E-1,3.055375366E2,3.138819122E1,3.138819122E1
1.050514844E1,3.211724738E1,1.189482311E2,3.263990437E1,7.860401869E-1,2.799086609E2,1.813315392E1,1.813315392E1
1.150915156E1,3.211716770E1,1.189482997E2,4.042123633E1,1.664335370E0,2.930234070E2,1.937960815E1,1.937960815E1
1.251472031E1,3.211712725E1,1.189482938E2,5.026504020E1,8.348022103E-1,2.930234070E2,1.693154335E1,1.693154335E1
1.351656041E1,3.211711318E1,1.189482739E2,5.804035976E1,6.613323689E-1,2.930234070E2,1.534091187E1,1.534091187E1
1.451196354E1,3.211707814E1,1.189482546E2,6.029044068E1,1.223063469E0,2.898297119E2,1.460668945E1,1.460668945E1
1.550631406E1,3.211708432E1,1.189482500E2,6.029046749E1,8.561444283E-1,2.898297119E2,6.827196121E0,6.827196121E0
1.650979687E1,3.211709027E1,1.189482463E2,6.029049038E1,5.993010998E-1,2.898297119E2,1.028766537E1,1.028766537E1
1.750019114E1,3.211709496E1,1.189482383E2,6.029052575E1,4.195107818E-1,2.898297119E2,1.508368492E1,1.508368492E1
1.850675260E1,3.211709923E1,1.189482386E2,6.029053258E1,2.936575413E-1,2.898297119E2,1.308407211E1,1.308407211E1
1.950923593E1,3.211709709E1,1.189482330E2,6.029054746E1,2.055602819E-1,2.898297119E2,1.493474388E1,1.493474388E1
2.050763958E1,3.211709727E1,1.189482339E2,6.029054454E1,1.438921988E-1,2.898297119E2,1.877827263E1,1.877827263E1
2.150350260E1,3.211709659E1,1.189482333E2,6.029054528E1,1.007245407E-1,2.898297119E2,1.900151443E1,1.900151443E1
2.250910208E1,3.211709970E1,1.189482385E2,6.029053370E1,7.050717622E-2,2.898297119E2,1.408599472E1,1.408599472E1
2.350385729E1,3.211710497E1,1.189482575E2,6.029047992E1,4.935502261E-2,2.898297119E2,4.900000095E0,4.900000095E0
2.450084843E1,3.211715547E1,1.189482532E2,6.029058568E1,3.454851732E-2,2.898297119E2,1.323797226E1,1.323797226E1
2.551487812E1,3.211719307E1,1.189482726E2,6.029058913E1,2.418396063E-2,2.898297119E2,4.900000095E0,4.900000095E0
2.650969114E1,3.211721077E1,1.189482800E2,6.029059675E1,1.692877337E-2,2.898297119E2,1.193555069E1,1.193555069E1
2.751133750E1,3.211721853E1,1.189482763E2,6.029062298E1,1.185014099E-2,2.898297119E2,1.487777328E1,1.487777328E1
2.850170104E1,3.211723157E1,1.189482099E2,6.029086852E1,8.295099251E-3,2.898297119E2,1.684196472E1,1.684196472E1
2.950248281E1,3.211722837E1,1.189481944E2,4.678561760E1,3.700636327E-1,3.335784607E2,1.610931396E1,1.610931396E1
3.051351875E1,3.211722642E1,1.189481892E2,4.690304477E1,8.129201531E-1,2.838521729E2,1.643702507E1,1.643702507E1
3.150982083E1,3.211724113E1,1.189481519E2,4.748063780E1,1.001592636E0,2.722752075E2,1.638257217E1,1.638257217E1
3.250391770E1,3.211723411E1,1.189481438E2,4.744129164E1,1.132744312E0,2.699590759E2,1.795154762E1,1.795154762E1
3.350583645E1,3.211727221E1,1.189481242E2,4.741796210E1,1.207651258E0,2.698195190E2,1.773947334E1,1.773947334E1
3.451471354E1,3.211727305E1,1.189481145E2,4.773360695E1,1.258724689E0,2.721848755E2,1.850020981E1,1.850020981E1
3.551755624E1,3.211727422E1,1.189481087E2,4.661820391E1,1.086029172E0,2.773679810E2,1.724177170E1,1.724177170E1
3.651501406E1,3.211727230E1,1.189480999E2,4.538886594E1,9.694839716E-1,2.769743042E2,1.712869263E1,1.712869263E1
3.750737968E1,3.211727318E1,1.189480902E2,4.343403771E1,1.108463526E0,2.820048218E2,1.500891113E1,1.500891113E1
3.851568697E1,3.211727052E1,1.189480792E2,4.266773072E1,1.203816772E0,2.871052856E2,1.459562492E1,1.459562492E1
3.950198020E1,3.211726632E1,1.189480477E2,4.240211881E1,1.271342039E0,2.807775269E2,1.372165680E1,1.372165680E1
4.051453749E1,3.211726851E1,1.189480234E2,4.215225521E1,1.319907188E0,2.880833740E2,1.470323372E1,1.470323372E1
4.150998801E1,3.211727947E1,1.189479965E2,4.199585901E1,1.348774314E0,2.814465332E2,1.645793915E1,1.645793915E1
4.251249114E1,3.211726803E1,1.189479880E2,4.150901351E1,1.433145404E0,2.814666748E2,1.648134804E1,1.648134804E1
4.350915051E1,3.211726125E1,1.189479796E2,4.097939188E1,1.497249961E0,2.807312622E2,1.632330322E1,1.632330322E1
4.450984947E1,3.211725934E1,1.189479649E2,4.065035949E1,1.536542177E0,2.835803833E2,1.542763519E1,1.542763519E1
4.550798437E1,3.211726366E1,1.189479518E2,4.041921015E1,1.551600695E0,2.808607788E2,4.900000095E0,4.900000095E0
4.650465364E1,3.211726635E1,1.189479468E2,4.020366844E1,1.555706859E0,2.452675781E2,1.082150269E1,1.082150269E1
4.751150989E1,3.211726703E1,1.189479402E2,4.004983680E1,1.536811590E0,2.001044922E2,1.110960388E1,1.110960388E1
4.850352291E1,3.211726492E1,1.189479337E2,4.006273285E1,1.519066095E0,1.891340179E2,1.103318405E1,1.103318405E1
4.950525989E1,3.211726088E1,1.189479308E2,4.000440936E1,1.292537689E0,1.882131958E2,1.430795097E1,1.430795097E1
5.049929270E1,3.211725757E1,1.189479323E2,3.974662342E1,1.124021292E0,1.882588959E2,1.733999252E1,1.733999252E1
5.150658228E1,3.211725627E1,1.189479352E2,3.962688610E1,1.207711935E0,1.942957153E2,2.000000000E1,2.000000000E1
5.250515676E1,3.211724939E1,1.189479365E2,3.956964399E1,1.250899911E0,1.980270233E2,2.000000000E1,2.000000000E1
5.350156822E1,3.211723695E1,1.189479432E2,3.899039567E1,1.276305914E0,1.910858612E2,2.000000000E1,2.000000000E1
5.451322760E1,3.211722000E1,1.189479419E2,3.829860568E1,1.301941514E0,1.910917969E2,2.000000000E1,2.000000000E1
5.550291666E1,3.211720755E1,1.189479424E2,3.725268968E1,1.318676472E0,1.914736481E2,2.000000000E1,2.000000000E1
5.650615884E1,3.211719564E1,1.189479428E2,3.658128583E1,1.335626364E0,1.904040680E2,1.871086311E1,1.871086311E1
5.750746301E1,3.211718405E1,1.189479413E2,3.573119095E1,1.339642644E0,1.894142456E2,1.603611374E1,1.603611374E1
5.850280103E1,3.211715586E1,1.189479692E2,3.471126095E1,1.359886289E0,1.887124786E2,1.382198524E1,1.382198524E1
5.950905572E1,3.211715111E1,1.189479621E2,3.374316810E1,1.369357467E0,1.983815918E2,1.205551720E1,1.205551720E1
6.051744791E1,3.211713697E1,1.189479657E2,3.265610091E1,1.335963488E0,1.967521515E2,1.123607445E1,1.123607445E1
6.151186926E1,3.211710974E1,1.189479632E2,3.206068433E1,1.350873113E0,1.975186920E2,1.187744713E1,1.187744713E1
6.251055780E1,3.211708656E1,1.189479621E2,3.100275770E1,1.328545809E0,2.019739532E2,1.299321175E1,1.299321175E1
6.351391926E1,3.211706557E1,1.189479569E2,3.037630477E1,1.307622075E0,2.045544434E2,1.398619461E1,1.398619461E1
6.451217030E1,3.211704609E1,1.189479690E2,2.989955649E1,1.277746201E0,2.007241821E2,1.404920959E1,1.404920959E1
6.551139947E1,3.211702729E1,1.189479810E2,2.940111776E1,1.330306292E0,2.000966034E2,1.452630806E1,1.452630806E1
6.651005989E1,3.211701076E1,1.189479907E2,2.890384068E1,1.326877475E0,2.015253754E2,4.900000095E0,4.900000095E0
6.751403749E1,3.211699732E1,1.189479987E2,2.811305348E1,1.338977814E0,2.011942902E2,1.357697678E1,1.357697678E1
6.850709322E1,3.211698207E1,1.189479933E2,2.787571375E1,1.334611654E0,2.637929993E2,1.268111992E1,1.268111992E1
6.950993749E1,3.211698025E1,1.189479808E2,2.732798814E1,1.117242813E0,2.643290405E2,4.900000095E0,4.900000095E0
7.050477499E1,3.211697634E1,1.189479696E2,2.693834049E1,9.517619014E-1,2.999539795E2,1.193661880E1,1.193661880E1
7.150956301E1,3.211697700E1,1.189479611E2,2.689079178E1,1.034517765E0,3.000333252E2,1.410608482E1,1.410608482E1
7.250821301E1,3.211698071E1,1.189479588E2,2.718833755E1,1.108785510E0,2.954818726E2,1.400821304E1,1.400821304E1
7.351034999E1,3.211698335E1,1.189479479E2,2.717009199E1,9.673448801E-1,2.960726318E2,4.900000095E0,4.900000095E0
7.450676457E1,3.211697683E1,1.189479367E2,2.688885603E1,9.406446218E-1,9.849966431E1,1.296928024E1,1.296928024E1
7.550983853E1,3.211697418E1,1.189479427E2,2.670660978E1,9.348123670E-1,9.805944824E1,1.323742104E1,1.323742104E1
7.650658020E1,3.211697359E1,1.189479542E2,2.646301907E1,8.840337992E-1,1.084290161E2,1.150712967E1,1.150712967E1
7.750740051E1,3.211697333E1,1.189479704E2,2.602743358E1,1.057568669E0,9.901638794E1,1.044252968E1,1.044252968E1
7.850799166E1,3.211697448E1,1.189479851E2,2.503263431E1,1.172100425E0,1.023365784E2,1.092999077E1,1.092999077E1
7.951280311E1,3.211697512E1,1.189479985E2,2.443285129E1,1.254799724E0,1.125339050E2,1.116541100E1,1.116541100E1
8.050617551E1,3.211697473E1,1.189480117E2,2.383506709E1,1.297973514E0,1.064453583E2,1.012525368E1,1.012525368E1
8.150571353E1,3.211697318E1,1.189480328E2,2.303823325E1,1.248790622E0,1.081522522E2,8.825727463E0,8.825727463E0
8.250679009E1,3.211697329E1,1.189480573E2,2.228134379E1,1.242036700E0,9.516744995E1,7.095373154E0,7.095373154E0
8.351086040E1,3.211697685E1,1.189480807E2,2.184441132E1,1.259717107E0,9.147360229E1,6.191762924E0,6.191762924E0
8.451797707E1,3.211698430E1,1.189481067E2,2.204826453E1,1.249012709E0,9.500994873E1,4.699999809E0,4.699999809E0
8.550885572E1,3.211699047E1,1.189481311E2,2.270358224E1,1.117670178E0,9.281381226E1,4.699999809E0,4.699999809E0
8.651290311E1,3.211699180E1,1.189481406E2,2.309727467E1,7.256330252E-1,9.445376587E1,4.699999809E0,4.699999809E0
8.750757915E1,3.211699469E1,1.189481458E2,2.322603894E1,5.701612234E-1,9.542019653E1,4.699999809E0,4.699999809E0
8.850908697E1,3.211700072E1,1.189481572E2,2.328884428E1,6.813550591E-1,9.333920288E1,4.699999809E0,4.699999809E0
8.951215467E1,3.211701432E1,1.189481645E2,2.410385557E1,8.227806091E-1,9.221612549E1,4.699999809E0,4.699999809E0
9.051301144E1,3.211702051E1,1.189481769E2,2.453913249E1,1.062273622E0,8.995005798E1,4.699999809E0,4.699999809E0
9.150833644E1,3.211703239E1,1.189481904E2,2.503836214E1,1.164599657E0,8.524999237E1,5.111753464E0,5.111753464E0
9.251341092E1,3.211703887E1,1.189482000E2,2.487362445E1,1.228774071E0,7.827130890E1,6.040266991E0,6.040266991E0
9.350841405E1,3.211704439E1,1.189482118E2,2.483700505E1,1.065789461E0,7.955620575E1,6.536998749E0,6.536998749E0
9.451254061E1,3.211705079E1,1.189482236E2,2.480421008E1,9.534110427E-1,7.784680939E1,7.121523857E0,7.121523857E0
9.551209686E1,3.211705154E1,1.189482315E2,2.437203815E1,1.088108420E0,7.476631165E1,8.046900749E0,8.046900749E0
9.651933801E1,3.211705499E1,1.189482459E2,2.420596988E1,1.191757917E0,7.337205505E1,8.460298538E0,8.460298538E0
9.750971874E1,3.211706328E1,1.189482600E2,2.425390707E1,1.246485472E0,6.655902100E1,9.465405464E0,9.465405464E0
9.851519790E1,3.211707040E1,1.189482749E2,2.423241206E1,1.279193163E0,6.287887573E1,9.688876152E0,9.688876152E0
9.951310051E1,3.211707885E1,1.189482909E2,2.413654566E1,1.306335568E0,6.234044266E1,9.123491287E0,9.123491287E0
1.005107312E2,3.211708524E1,1.189483040E2,2.407448177E1,1.317143559E0,6.854373169E1,8.229919434E0,8.229919434E0
1.015165995E2,3.211710354E1,1.189483180E2,2.377226373E1,1.315524220E0,5.867630386E1,7.570466995E0,7.570466995E0
1.025124901E2,3.211712219E1,1.189483220E2,2.315036687E1,1.300172448E0,2.634370995E1,4.900000095E0,4.900000095E0
1.035141583E2,3.211712219E1,1.189483220E2,2.219849740E1,1.080921054E0,2.800039864E1,4.900000095E0,4.900000095E0
1.045168297E2,3.211711546E1,1.189483203E2,2.094862295E1,8.396266103E-1,2.777016068E1,6.061757088E0,6.061757088E0
