"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.199218800E-2,9.009999782E-2,7.829999924E-2,2.766999900E-1
3.200156300E-2,2.101999968E-1,-1.929999888E-2,3.949999809E-2
6.199062500E-2,1.943999976E-1,-4.580000043E-2,-1.463999897E-1
8.199843800E-2,2.545999885E-1,-1.270999908E-1,-1.656999886E-1
1.119921880E-1,3.330000043E-1,-2.962999940E-1,-1.847999990E-1
1.319921880E-1,2.373999953E-1,-1.759999990E-1,-5.959999934E-2
1.519921880E-1,6.079999730E-2,-8.020000160E-2,-1.453000009E-1
1.719921880E-1,2.950000018E-2,-1.264999956E-1,-4.719999805E-2
1.919921880E-1,9.969999641E-2,-1.252000034E-1,1.627999991E-1
2.219921880E-1,-3.309999779E-2,-2.889999934E-2,1.801999956E-1
2.419921880E-1,-9.779999405E-2,4.380000010E-2,2.210000008E-1
2.619921880E-1,-1.238999963E-1,1.090999991E-1,2.105999887E-1
2.819953130E-1,-1.156999990E-1,1.384999901E-1,1.516000032E-1
3.119921880E-1,1.068999991E-1,-9.619999677E-2,-8.689999580E-2
3.319937500E-1,1.730999947E-1,-1.493999958E-1,-1.083999947E-1
3.619921880E-1,7.769999653E-2,-1.105000004E-1,-1.557999998E-1
3.819921880E-1,2.049999870E-2,-2.609999850E-2,-3.472999930E-1
4.019921880E-1,-1.960999966E-1,1.075999960E-1,-1.162000000E-1
4.219984380E-1,-1.828999966E-1,6.979999691E-2,2.389999852E-2
4.519921880E-1,-8.320000023E-2,-1.500000013E-3,1.686999947E-1
4.719953130E-1,-1.463999897E-1,7.959999889E-2,-2.278999984E-1
5.019921880E-1,-1.955999881E-1,1.204999983E-1,1.480000000E-2
5.219984380E-1,-1.063999981E-1,1.273999959E-1,-1.445000023E-1
5.519921880E-1,4.939999804E-2,-1.579999924E-2,-4.816999733E-1
5.719921880E-1,3.929999769E-1,-8.709999919E-2,-3.368999958E-1
5.919921880E-1,4.073999822E-1,-4.900000058E-3,3.405999839E-1
6.119921880E-1,-3.385999799E-1,5.350000039E-2,3.046999872E-1
6.319921880E-1,-7.684999704E-1,2.619000077E-1,-4.000999928E-1
6.519921880E-1,-3.871999979E-1,2.663999796E-1,-5.712999701E-1
6.719921880E-1,-6.455000043E-1,2.906000018E-1,-9.329999983E-2
6.919921880E-1,-7.247999907E-1,1.473999918E-1,1.160999984E-1
7.219921880E-1,1.824999899E-1,-1.427000016E-1,6.126999855E-1
7.419921880E-1,4.291999936E-1,-1.138999984E-1,-1.825999916E-1
7.619921880E-1,3.025999963E-1,-4.739999771E-1,9.479999542E-2
7.819921880E-1,6.601999998E-1,-2.847000062E-1,2.751999795E-1
8.119906250E-1,3.680000007E-1,-1.953999996E-1,-1.944999993E-1
8.319921880E-1,-6.920000166E-2,-2.502000034E-1,-9.429000020E-1
8.619921880E-1,3.480999768E-1,-3.384000063E-1,-1.446999907E-1
8.819921880E-1,2.019999921E-1,-3.726999760E-1,-2.659999952E-2
9.019921880E-1,-2.243999988E-1,-6.250000000E-2,-2.920999825E-1
9.319906250E-1,2.599999905E-1,-1.048999950E-1,-3.799999831E-3
9.519921880E-1,1.081799984E0,-4.725999832E-1,2.506999969E-1
9.719921880E-1,2.397999913E-1,-2.540999949E-1,-1.683000028E-1
9.919921880E-1,-3.680000082E-2,-2.436999977E-1,-9.209999442E-2
1.011992188E0,8.859999478E-2,-1.750999987E-1,5.259000063E-1
1.031992188E0,2.230999917E-1,-1.961999983E-1,5.681999922E-1
1.051992188E0,1.849000007E-1,-1.700000018E-1,1.838999987E-1
1.081992188E0,-1.279999968E-2,-2.883000076E-1,-1.179999951E-2
1.101992188E0,-6.589999795E-2,-1.960999966E-1,2.143999934E-1
1.121992188E0,-9.059999883E-2,-5.374000072E-1,2.556999922E-1
1.151992188E0,-1.650999904E0,-1.420400023E0,7.917000055E-1
1.181992188E0,-1.548099995E0,1.809999943E-1,7.731999755E-1
1.211990625E0,1.660599947E0,-1.861999929E-1,-1.366199970E0
1.231990625E0,1.594299912E0,1.022400022E0,-1.494699955E0
1.251992188E0,1.531599998E0,8.696999550E-1,-1.179499984E0
1.271992188E0,1.216599941E0,9.878999591E-1,-2.811000049E-1
1.291992188E0,8.089999557E-1,9.113999605E-1,-1.174999997E-1
1.311992188E0,5.026999712E-1,7.584999800E-1,-4.314999878E-1
1.331992188E0,4.377000034E-1,5.101000071E-1,-4.554999769E-1
1.351992188E0,1.771000028E-1,1.876000017E-1,-2.930999994E-1
1.371992188E0,-2.261999995E-1,4.509999976E-2,-2.694000006E-1
1.391992188E0,-3.429999948E-1,6.300000101E-2,-2.584999800E-1
1.411992188E0,-1.714999974E-1,6.390000135E-2,1.488000005E-1
1.431992188E0,-3.749999776E-2,5.819999799E-2,4.174000025E-1
1.451992188E0,1.658999920E-1,1.773999929E-1,3.933999836E-1
1.471993750E0,4.157999754E-1,1.403999925E-1,3.501999974E-1
1.501992188E0,5.406000018E-1,2.078000009E-1,3.902999759E-1
1.521992188E0,6.308000088E-1,2.405999899E-1,1.709999889E-1
1.541992188E0,4.930999875E-1,2.186999917E-1,-2.129999995E-1
1.561992188E0,2.858999968E-1,1.195999980E-1,-5.694000125E-1
1.581992188E0,4.230000079E-2,1.211999953E-1,-9.123999476E-1
1.601992188E0,7.369999588E-2,2.707000077E-1,-8.768999577E-1
1.621992188E0,5.077999830E-1,8.410000056E-2,-6.416999698E-1
1.641992188E0,4.271000028E-1,-1.667999923E-1,-4.961999953E-1
1.661992188E0,1.489000022E-1,-2.811000049E-1,-2.559999824E-1
