"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.851000000E-3,-1.438971639E0,-1.535488367E0,-4.937536418E-1
2.485100000E-2,-1.661117077E0,-1.727491975E0,-5.549274087E-1
4.485100000E-2,-1.900907874E0,-1.769502044E0,-8.157494068E-1
6.485100000E-2,-2.226603746E0,-2.150542259E0,-1.230753779E0
8.485100000E-2,-2.607818604E0,-2.858412981E0,-1.750914335E0
1.048510000E-1,-2.878222466E0,-3.376042604E0,-2.222537279E0
1.268494370E-1,-2.632148504E0,-4.306355476E0,-2.248699665E0
1.468494370E-1,-2.021737099E0,-5.178967953E0,-1.666353106E0
1.668510000E-1,-1.448850155E0,-4.958532810E0,-4.472929835E-1
1.888494370E-1,-1.345858335E0,-3.642816305E0,6.086835861E-1
2.088494370E-1,-1.236234188E0,-2.258141994E0,1.417765856E0
2.288525620E-1,-8.002334833E-1,-1.238782287E0,2.130348921E0
2.508510000E-1,-2.824291885E-1,-1.514073163E-1,2.626109600E0
2.708510000E-1,1.377064735E-1,8.335692286E-1,2.711211920E0
2.928494370E-1,7.802145481E-1,1.332733393E0,2.364502192E0
3.128510000E-1,1.454068661E0,1.259673953E0,1.655357480E0
3.348510000E-1,2.237791300E0,9.422509074E-1,7.202275395E-1
3.548635000E-1,3.018197775E0,1.335421205E0,3.663795292E-1
3.768650620E-1,3.667861700E0,1.199041247E0,4.130496085E-1
3.988494370E-1,2.072054863E0,-1.308612943E0,5.810201168E-2
4.188572500E-1,1.279326320E0,2.577851415E-1,-3.288200125E-2
4.408494370E-1,3.774623573E-1,8.988794684E-1,1.336922217E-2
4.608494370E-1,4.188789986E-3,1.289990306E0,2.839650773E-2
4.808494370E-1,3.122393973E-2,1.170295596E0,7.534586638E-2
5.008494370E-1,1.837482601E-1,6.023480296E-1,1.558404416E-1
5.208494370E-1,2.424262315E-1,-3.083822131E-1,1.237787530E-1
5.408494370E-1,1.227839142E-1,-8.956854939E-1,-1.135336682E-1
5.608494370E-1,1.657190174E-1,-9.302954078E-1,-3.474252522E-1
5.808494370E-1,4.503647685E-1,-4.851666093E-1,-4.823566377E-1
6.008494370E-1,6.596995592E-1,5.082398653E-2,-4.443433583E-1
6.208494370E-1,6.752504110E-1,3.004060686E-1,-1.374970376E-1
6.408494370E-1,3.352079391E-1,2.988876402E-1,-4.584980011E-2
6.608494370E-1,7.033676654E-2,5.515763760E-1,7.942993194E-2
6.808494370E-1,-2.164382786E-1,6.472728252E-1,-2.670353837E-2
7.008494370E-1,-4.294557273E-1,6.599788070E-1,-1.865931451E-1
7.208494370E-1,-5.138074756E-1,4.308345318E-1,-3.796265721E-1
7.408494370E-1,-4.222300649E-1,1.225221157E-1,-4.617617726E-1
7.608494370E-1,-3.081553280E-1,-1.437104046E-1,-3.635869920E-1
7.808494370E-1,-2.461263239E-1,-4.437499642E-1,-2.376789302E-1
8.008510000E-1,-1.788264364E-1,-8.405505419E-1,-8.655087650E-2
8.228494370E-1,-7.239625603E-2,-1.070899129E0,8.874998987E-2
8.428494370E-1,-3.565358520E-1,-3.544938266E-1,2.676462531E-1
8.628494370E-1,-4.822170138E-1,1.283166111E-1,4.993386865E-1
8.828510000E-1,-5.783148408E-1,2.878746092E-1,5.814913511E-1
9.048494370E-1,-5.749463439E-1,2.557081878E-1,6.207088828E-1
9.248510000E-1,-3.879866898E-1,1.143190637E-2,6.415132284E-1
9.468494370E-1,-7.686430216E-2,-2.309245169E-1,6.177592874E-1
9.668494370E-1,1.993165910E-2,-5.481555462E-1,5.230053663E-1
9.868494370E-1,1.699950732E-2,-8.269718885E-1,4.134161472E-1
1.006849437E0,9.513789415E-2,-5.271592736E-1,4.086863101E-1
1.026849437E0,2.360034138E-1,1.789486110E-1,5.627465248E-1
1.046849437E0,1.332907975E-1,6.701017022E-1,7.753624916E-1
1.066849437E0,-1.776047051E-1,5.281366110E-1,8.366759419E-1
1.086849437E0,-3.100228310E-1,7.499679923E-2,6.285628676E-1
1.106849437E0,1.658062823E-2,-3.918787837E-1,4.409574270E-1
1.126849437E0,4.123863876E-1,-6.791250706E-1,4.438895881E-1
1.146849437E0,4.644321203E-1,-9.355139136E-1,5.470908880E-1
1.166849437E0,2.247285992E-1,-9.716945887E-1,5.233544111E-1
1.186849437E0,2.295107953E-2,-5.230228305E-1,3.676710725E-1
1.206849437E0,-1.520879865E-1,6.178465486E-2,2.312735766E-1
1.226849437E0,-3.520503640E-1,6.151064038E-1,1.884955615E-1
1.246849437E0,-4.883431196E-1,8.655436635E-1,2.026676387E-1
1.266849437E0,-4.228583574E-1,7.616617084E-1,2.279923558E-1
1.286849437E0,-2.452187538E-1,4.912403822E-1,1.992467940E-1
1.306849437E0,-1.884955540E-2,4.326845706E-1,1.951627135E-1
1.326849437E0,1.847605556E-1,5.354495645E-1,1.780410409E-1
1.346849437E0,3.800803423E-1,6.006376147E-1,1.760339141E-1
1.366849437E0,4.978551567E-1,4.763527215E-1,1.592089385E-1
1.386851000E0,4.252320230E-1,2.709623575E-1,1.004786044E-1
1.408849437E0,1.973443776E-1,4.127703607E-2,-3.293436393E-2
1.428849437E0,4.637339711E-2,-1.646194607E-1,-1.844813079E-1
1.448849437E0,6.679374725E-2,-1.720720083E-1,-2.651154995E-1
1.468849437E0,7.663740963E-2,-1.015956178E-1,-2.181661576E-1
1.488849437E0,-1.565734893E-1,-1.740442365E-1,-1.349837631E-1
1.508849437E0,-4.147251248E-1,-3.695560098E-1,-1.310393214E-1
1.528849437E0,-3.670252860E-1,-3.442312777E-1,-1.884955615E-1
1.548849437E0,-2.167524397E-1,-1.603084952E-1,-5.387831479E-2
1.568849437E0,-2.000496387E-1,-8.984954655E-2,1.419825405E-1
1.588849437E0,-1.881639510E-1,-1.310916841E-1,1.523323357E-1
1.608849437E0,1.384744197E-1,2.216568217E-3,1.926843449E-2
1.628849437E0,4.992863238E-1,8.293804526E-2,-1.621759981E-1
1.648849437E0,5.412440300E-1,-8.707447350E-2,-3.001791835E-1
1.668851000E0,3.132517040E-1,-3.100053668E-1,-5.662720799E-1
1.690849437E0,6.639232486E-2,-3.821049333E-1,-8.838696480E-1
1.710849437E0,-5.942846090E-2,-1.138129234E-1,-9.941046238E-1
1.730849437E0,-1.792278588E-1,2.376091182E-1,-9.802292585E-1
1.750849437E0,-2.565110326E-1,3.886324763E-1,-9.465444088E-1
1.770849437E0,-2.128079981E-1,4.862836301E-1,-8.346688151E-1
1.790849437E0,-1.352455616E-1,3.821572959E-1,-7.532666326E-1
1.810851000E0,-1.884082854E-1,4.386012256E-2,-7.692189813E-1
1.830851000E0,-2.716779411E-1,-2.709274590E-1,-8.060803413E-1
1.852849437E0,-1.049291939E-1,-2.204176337E-1,-7.516434789E-1
1.872849437E0,2.082701325E-1,-2.399827726E-2,-5.436875224E-1
1.892849437E0,3.135658503E-1,-6.412339956E-2,-3.327993751E-1
1.912849437E0,7.436847687E-2,-2.446078956E-1,-2.131745070E-1
1.932849437E0,-1.208116934E-1,-3.920009434E-1,-2.119353265E-1
1.952849437E0,-4.536110535E-2,-6.202027202E-1,-3.058165908E-1
1.972849437E0,-8.590510488E-2,-8.309163451E-1,-4.624249935E-1
1.992849437E0,-4.135383070E-1,-8.369202614E-1,-4.299618602E-1
2.012849437E0,-6.748141050E-1,-5.216789246E-1,-1.004611477E-1
2.032849437E0,-7.017968893E-1,-2.402620167E-1,2.609441876E-1
2.052849437E0,-4.456698298E-1,1.503077596E-1,3.779161274E-1
2.072849437E0,-8.925613761E-2,4.849920869E-1,2.661452591E-1
2.092849437E0,1.268330812E-1,5.816309452E-1,2.197893113E-1
2.112849437E0,2.259503305E-1,3.198315799E-1,3.484200835E-1
2.132849437E0,3.710395396E-1,-1.170417815E-1,5.914920568E-1
2.152849437E0,4.318293631E-1,-6.060655713E-1,8.541990519E-1
2.172849437E0,2.499835044E-1,-9.444150925E-1,9.125803113E-1
2.192849437E0,1.256637042E-3,-8.609185815E-1,7.065616250E-1
2.212849437E0,-1.305157244E-1,-4.691095948E-1,5.210505724E-1
2.232849437E0,-1.713389754E-1,-1.623679847E-1,5.136504173E-1
2.252851000E0,-3.092723489E-1,-3.986331820E-2,4.828278720E-1
2.274851000E0,-4.338713884E-1,2.082352340E-1,4.158770442E-1
2.294855687E0,-3.160616755E-1,4.675562382E-1,3.689102530E-1
2.316849437E0,6.063273922E-2,6.929829717E-1,3.910410106E-1
2.336849437E0,3.515616655E-1,7.233691812E-1,4.581663907E-1
2.356851000E0,4.640132189E-1,5.447870493E-1,5.091300011E-1
2.376851000E0,5.024453998E-1,3.014532626E-1,4.494571984E-1
2.398851000E0,5.374392271E-1,1.431344450E-1,2.487792373E-1
2.420849437E0,4.526162446E-1,3.764675185E-2,5.951572582E-2
2.440851000E0,1.772032827E-1,-1.702568680E-1,-5.253440887E-2
2.460851000E0,-2.335250564E-2,-5.121319890E-1,-1.795245707E-1
2.480851000E0,3.558726236E-2,-8.192750216E-1,-2.171014994E-1
2.500851000E0,2.666688561E-1,-8.698022962E-1,-5.838126317E-2
2.522851000E0,3.586128056E-1,-6.374117136E-1,2.299122214E-1
2.542851000E0,1.753008664E-1,-3.485248089E-1,3.992964327E-1
2.564851000E0,-1.533795297E-1,1.634849906E-1,3.661177158E-1
2.586849437E0,-5.120621324E-1,4.490557611E-1,2.810852826E-1
2.606849437E0,-7.439814806E-1,3.024830222E-1,5.335471407E-2
2.626849437E0,-5.309116840E-1,1.609717160E-1,-2.964092791E-1
