"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.118768437E1,3.211606036E1,1.189495914E2,2.008638084E1,1.468784213E0,1.639226074E2,4.570497036E0,4.570497036E0
4.218360676E1,3.211604660E1,1.189495962E2,2.019365364E1,1.455985785E0,1.642010956E2,4.686854362E0,4.686854362E0
4.318466926E1,3.211603350E1,1.189496029E2,2.016015918E1,1.403533340E0,1.532869873E2,4.750015259E0,4.750015259E0
4.419265572E1,3.211601939E1,1.189496111E2,2.010717812E1,1.409685016E0,1.479779968E2,4.725480556E0,4.725480556E0
4.519059478E1,3.211600753E1,1.189496190E2,2.026106767E1,1.435629606E0,1.555283661E2,4.899137497E0,4.899137497E0
4.619041458E1,3.211599439E1,1.189496227E2,2.054351947E1,1.436619282E0,1.636101379E2,4.999974251E0,4.999974251E0
4.719009114E1,3.211598018E1,1.189496296E2,2.097453528E1,1.464956522E0,1.625555115E2,4.699999809E0,4.699999809E0
4.818580103E1,3.211596733E1,1.189496343E2,2.108205574E1,1.430294156E0,1.655740051E2,4.699999809E0,4.699999809E0
4.918858124E1,3.211595588E1,1.189496351E2,2.116414960E1,1.364601851E0,1.695299225E2,4.699999809E0,4.699999809E0
5.018966249E1,3.211594349E1,1.189496369E2,2.101543228E1,1.373281360E0,1.690110779E2,4.699999809E0,4.699999809E0
5.119065416E1,3.211592912E1,1.189496424E2,2.120517861E1,1.360075116E0,1.611309967E2,4.699999809E0,4.699999809E0
5.218436510E1,3.211591660E1,1.189496486E2,2.160896928E1,1.350447774E0,1.637483521E2,4.699999809E0,4.699999809E0
5.318097395E1,3.211590396E1,1.189496553E2,2.181343637E1,1.363977551E0,1.671370544E2,4.699999809E0,4.699999809E0
5.419299322E1,3.211589022E1,1.189496607E2,2.187357151E1,1.297915220E0,1.693618164E2,4.699999809E0,4.699999809E0
5.518842812E1,3.211587766E1,1.189496687E2,2.192286754E1,1.360080004E0,1.625899353E2,4.699999809E0,4.699999809E0
5.618990155E1,3.211586623E1,1.189496805E2,2.198365037E1,1.228954315E0,1.606814880E2,4.699999809E0,4.699999809E0
5.718406718E1,3.211585325E1,1.189496883E2,2.205298056E1,1.127617359E0,1.628984680E2,4.967049599E0,4.967049599E0
5.819114374E1,3.211584247E1,1.189496933E2,2.207240888E1,1.342702270E0,1.706710205E2,4.973241806E0,4.973241806E0
5.918033645E1,3.211582535E1,1.189496959E2,2.180130408E1,1.379073501E0,1.732017517E2,4.699999809E0,4.699999809E0
6.019633280E1,3.211581232E1,1.189496983E2,2.182886162E1,1.409012556E0,1.678714142E2,4.699999809E0,4.699999809E0
6.118371457E1,3.211579727E1,1.189497027E2,2.175410295E1,1.409975529E0,1.735273895E2,4.699999809E0,4.699999809E0
6.218965364E1,3.211578169E1,1.189497060E2,2.171300603E1,1.450406790E0,1.714380035E2,4.699999809E0,4.699999809E0
6.319504322E1,3.211576712E1,1.189497122E2,2.151271509E1,1.404825687E0,1.757424164E2,4.699999809E0,4.699999809E0
6.419075364E1,3.211575428E1,1.189497191E2,2.139704267E1,1.359871864E0,1.762259369E2,4.699999809E0,4.699999809E0
6.518401249E1,3.211574178E1,1.189497294E2,2.121663872E1,1.316957116E0,1.720707855E2,4.699999809E0,4.699999809E0
6.618809374E1,3.211573190E1,1.189497415E2,2.100965551E1,1.269779444E0,1.689496002E2,4.699999809E0,4.699999809E0
6.719163957E1,3.211572472E1,1.189497536E2,2.116082468E1,1.319648504E0,1.753909912E2,4.699999809E0,4.699999809E0
6.818831457E1,3.211571754E1,1.189497640E2,2.131775154E1,1.315262794E0,1.665368195E2,4.699999809E0,4.699999809E0
6.919708384E1,3.211570855E1,1.189497733E2,2.129409469E1,1.333717585E0,1.647890930E2,4.800544739E0,4.800544739E0
7.020074582E1,3.211569933E1,1.189497830E2,2.135552622E1,1.281216383E0,1.697298279E2,4.786664009E0,4.786664009E0
7.119166041E1,3.211568838E1,1.189497917E2,2.145014891E1,1.362004876E0,1.688949585E2,4.580329418E0,4.580329418E0
7.218944843E1,3.211567512E1,1.189498006E2,2.142220908E1,1.395281553E0,1.710444183E2,4.463274002E0,4.463274002E0
7.318937603E1,3.211566242E1,1.189498076E2,2.152257474E1,1.416715622E0,1.689947662E2,4.395815849E0,4.395815849E0
7.418781666E1,3.211564747E1,1.189498153E2,2.119773509E1,1.469355583E0,1.672137146E2,4.487848759E0,4.487848759E0
7.518997186E1,3.211563625E1,1.189498186E2,2.109074055E1,1.379359841E0,1.628755646E2,4.377338409E0,4.377338409E0
7.618637447E1,3.211562421E1,1.189498255E2,2.054082051E1,1.317203641E0,1.644246521E2,4.463441372E0,4.463441372E0
7.718979686E1,3.211561133E1,1.189498334E2,2.034448692E1,1.432299972E0,1.693926849E2,4.755688667E0,4.755688667E0
7.819024947E1,3.211559869E1,1.189498397E2,2.047666298E1,1.368448257E0,1.664644165E2,4.817485332E0,4.817485332E0
7.918909165E1,3.211558517E1,1.189498488E2,2.053010886E1,1.491822839E0,1.608670502E2,4.843850136E0,4.843850136E0
8.018869842E1,3.211557396E1,1.189498539E2,2.054097671E1,1.367328048E0,1.628524323E2,4.985454559E0,4.985454559E0
8.118864009E1,3.211556377E1,1.189498579E2,2.035660729E1,1.054596543E0,1.655499115E2,4.699999809E0,4.699999809E0
8.218810936E1,3.211555402E1,1.189498602E2,2.022859248E1,1.245216370E0,1.693326721E2,4.736999512E0,4.736999512E0
8.318515884E1,3.211554123E1,1.189498656E2,2.009380240E1,1.558759809E0,1.745455170E2,4.581293106E0,4.581293106E0
8.420020207E1,3.211552816E1,1.189498717E2,2.002785326E1,1.433156729E0,1.986418457E2,4.517220497E0,4.517220497E0
8.519087551E1,3.211551399E1,1.189498756E2,1.981602659E1,1.147308230E0,1.959949951E2,4.290054798E0,4.290054798E0
8.619351822E1,3.211549972E1,1.189498821E2,1.955704147E1,1.238543510E0,1.453331299E2,4.198360443E0,4.198360443E0
8.718517134E1,3.211548847E1,1.189498956E2,1.935752944E1,1.595874906E0,1.304425201E2,4.279664993E0,4.279664993E0
8.818951353E1,3.211547780E1,1.189499108E2,1.886611545E1,1.245830178E0,1.358260498E2,4.459547520E0,4.459547520E0
8.919249894E1,3.211546541E1,1.189499234E2,1.866945466E1,1.104382634E0,1.555080109E2,4.524292946E0,4.524292946E0
9.019084634E1,3.211545227E1,1.189499343E2,1.877403427E1,1.340432167E0,1.622528687E2,4.747552872E0,4.747552872E0
