"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-4.340457916E0,1.509228110E0,7.145628929E0
2.199843800E-2,-3.786698341E0,7.788913250E-1,8.389915466E0
4.401093800E-2,-3.865496159E0,2.604795396E-1,9.124762535E0
6.599843800E-2,-4.253174782E0,1.890748888E-1,9.466040611E0
8.599843800E-2,-4.644214630E0,3.995635509E-1,9.516778946E0
1.059984380E-1,-4.798363209E0,5.724632144E-1,9.763305664E0
1.259984380E-1,-4.060853481E0,7.409096956E-1,9.403121948E0
1.460015630E-1,-3.599078894E0,9.567804337E-1,9.016324043E0
1.679968750E-1,-3.507898092E0,9.975393414E-1,8.856698036E0
1.879984380E-1,-3.428104162E0,1.976173967E-1,1.002636147E1
2.099968750E-1,-3.051496267E0,4.498321712E-1,1.036661530E1
2.299968750E-1,-3.569591999E0,1.276751041E0,1.270516682E1
2.499968750E-1,-3.355023623E0,2.838536978E0,1.228340435E1
2.700078130E-1,-9.971753955E-1,1.944101334E0,9.725132942E0
2.919984380E-1,-1.160708964E-1,1.423621058E0,7.830341816E0
3.120031250E-1,4.996220022E-2,1.236863732E0,8.393334389E0
3.339968750E-1,9.566367865E-1,3.811377585E-1,9.846518517E0
3.539984380E-1,2.336223602E0,-1.832129240E0,1.087817001E1
3.759968750E-1,2.771049023E0,-3.598360538E0,1.086901474E1
3.959968750E-1,1.260920644E0,-2.661815882E0,9.636920929E0
4.159968750E-1,-1.478409886E0,-3.601166606E-1,9.529909134E0
4.359968750E-1,-2.744923592E0,3.263459682E0,1.057589722E1
4.559984380E-1,-1.623680592E0,1.981201887E0,1.053515816E1
4.780000000E-1,-4.744828939E-1,9.494446516E-1,1.029028797E1
4.999984380E-1,-7.863324881E-1,1.905842066E0,1.017765522E1
5.219968750E-1,-1.007767394E-1,1.418564439E0,9.766848564E0
5.419968750E-1,1.657936871E-1,1.374654889E0,9.286170006E0
5.619968750E-1,3.038816452E-1,1.088107228E0,9.610286713E0
5.819968750E-1,3.168295026E-1,6.261795163E-1,1.014633942E1
6.019968750E-1,4.963563085E-1,5.538746119E-1,1.033233070E1
6.219968750E-1,8.877891302E-1,8.508130908E-1,9.772825241E0
6.419968750E-1,8.236820102E-1,1.174892187E0,8.921207428E0
6.619984380E-1,7.514154315E-1,1.287477136E0,8.257246971E0
6.840031250E-1,7.410628796E-1,1.584913731E0,7.977671623E0
7.040031250E-1,6.179434657E-1,1.739684463E0,8.208663940E0
7.259984380E-1,8.495585620E-2,1.773509622E0,8.780313492E0
7.479968750E-1,-6.272425652E-1,1.834130883E0,9.055598259E0
7.679968750E-1,-9.884030819E-1,1.967114329E0,8.974099159E0
7.879968750E-1,-6.931405663E-1,2.218199253E0,8.905520439E0
8.079968750E-1,2.274491638E-2,2.345733404E0,8.801622391E0
8.279968750E-1,2.321322113E-1,2.439452171E0,8.881118774E0
8.479968750E-1,-6.983407587E-2,2.522521257E0,9.042860985E0
8.679968750E-1,-2.053746134E-1,2.519619703E0,8.978064537E0
8.879968750E-1,6.302496791E-2,2.591637135E0,8.880075455E0
9.079968750E-1,2.932609916E-1,2.664286852E0,8.991817474E0
9.279968750E-1,-5.512410030E-2,2.688113928E0,8.990820885E0
9.479968750E-1,-4.562199116E-1,2.805755377E0,9.078851700E0
9.679968750E-1,-5.656253695E-1,2.862076759E0,9.044201851E0
9.879968750E-1,-5.170900822E-1,2.967689753E0,9.042037964E0
1.007996875E0,-6.549386382E-1,3.017948627E0,9.223499298E0
1.027996875E0,-6.814759970E-1,2.992301941E0,9.261030197E0
1.047996875E0,-6.963871121E-1,2.922276258E0,9.456799507E0
1.067996875E0,-6.863313913E-1,2.980905533E0,9.691891670E0
1.087996875E0,-6.406883597E-1,3.158881187E0,9.723178864E0
1.107996875E0,-8.314296007E-1,2.817889214E0,9.819167137E0
1.127996875E0,-8.724566698E-1,3.090061903E0,1.061279678E1
1.147996875E0,-8.335652351E-1,3.124366283E0,1.186837387E1
1.167996875E0,-8.609836698E-1,2.528985500E0,1.099054527E1
1.187998438E0,-1.026173949E0,2.247485161E0,9.743002892E0
1.209996875E0,-6.116514802E-1,2.343559504E0,9.940322876E0
1.229996875E0,2.600103058E-2,2.081490278E0,1.080163288E1
1.249996875E0,-2.731401026E-1,1.545505166E0,1.070412064E1
1.269996875E0,-7.359488606E-1,1.221866488E0,1.159535885E1
1.289996875E0,-1.152482510E0,7.865719199E-1,1.175077057E1
1.309996875E0,-1.948669434E0,5.656253695E-1,1.052293777E1
1.329996875E0,-2.506681442E0,5.971330404E-1,8.909782410E0
1.349996875E0,-2.558261871E0,7.316009998E-1,8.126581192E0
1.369996875E0,-1.931201458E0,6.217550039E-1,8.732697487E0
1.389996875E0,-1.296278358E0,2.151908427E-1,9.527964592E0
1.409996875E0,-1.229700327E0,1.464581043E-1,9.977529526E0
1.430000000E0,-1.115056396E0,4.535575956E-2,9.769329071E0
1.451998438E0,-6.358808279E-1,2.746053338E-1,9.899487495E0
1.471998438E0,-9.465140700E-1,7.302027345E-1,9.484964371E0
1.493998438E0,-8.460246921E-1,9.047209620E-1,8.950072289E0
1.514003125E0,-1.269807935E0,1.473497033E0,9.072482109E0
1.535996875E0,-1.461612344E0,1.623881698E0,9.510477066E0
1.555996875E0,-8.197554946E-1,1.415337205E0,9.237414360E0
1.575996875E0,-8.574306369E-1,1.320699096E0,9.266222000E0
1.595998438E0,-8.478251100E-1,1.143777251E0,1.027340412E1
1.617996875E0,-1.198661923E0,1.631677270E0,9.551370621E0
1.637996875E0,-5.626086593E-1,1.885682821E0,7.536151886E0
1.657996875E0,-5.797703266E-1,2.326838493E0,7.140706539E0
1.677996875E0,-8.043847084E-1,2.162002325E0,1.191219711E1
1.697998438E0,-1.469350338E0,2.236376047E0,1.193900299E1
1.719996875E0,-6.747435331E-1,-6.714107394E-1,9.461818695E0
1.739996875E0,2.230792761E0,-6.487137675E-1,1.046872330E1
1.759996875E0,2.403883696E0,-1.597152829E0,8.457680702E0
1.779996875E0,6.306901574E-1,-2.075121641E0,8.593250275E0
1.799996875E0,3.364332020E-2,-2.010583401E0,8.930812836E0
1.819996875E0,3.549940348E0,-1.699844837E0,8.984893799E0
1.839996875E0,4.112788677E0,-1.997166514E0,8.883599281E0
1.859996875E0,2.084497213E0,-1.627310157E0,7.921551228E0
1.879996875E0,1.642949104E0,-1.879467487E0,5.197639465E0
1.899996875E0,7.907474041E-1,-2.501366138E0,-3.301221132E-1
1.919996875E0,3.096373379E-1,-4.821337700E0,4.211420059E0
1.939996875E0,1.068934441E0,-5.638096333E0,6.183533669E0
1.959996875E0,-5.201067924E-1,-6.105741024E0,5.083005428E0
1.979996875E0,-1.238893986E0,-8.190180779E0,2.262606621E0
1.999998438E0,4.214656949E-1,-1.055918694E1,8.495681286E-1
2.019998438E0,4.685146332E0,-1.323994541E1,1.977476597E0
2.041998438E0,1.048010063E1,-1.500310230E1,1.726018310E0
2.063998438E0,1.912409782E1,-1.489637756E1,1.135043129E-1
2.084000000E0,2.634175301E1,-1.300171185E1,-1.740527272E0
2.104004688E0,3.260535049E1,-1.090269661E1,-4.557745934E0
2.125996875E0,3.119973183E1,-9.667585373E0,-6.400878906E0
2.145998438E0,2.636330986E1,-9.342979431E0,-6.392288685E0
2.165998438E0,1.933162689E1,-8.378757477E0,-5.395668983E0
2.185998438E0,1.390020847E1,-7.104228497E0,-3.650496721E0
2.205998438E0,1.081746292E1,-6.322837830E0,-2.319158077E0
2.226003125E0,8.902196884E0,-6.010135651E0,-1.816126466E0
2.247998438E0,1.925867081E0,-5.751993179E0,-5.543314457E0
2.267998438E0,2.499517918E0,-6.207101822E0,-2.480239630E0
2.287998438E0,-3.915764570E0,-6.065327168E0,-6.278171539E-1
2.307998438E0,-1.814575076E0,-7.916849136E0,-2.079795122E0
