"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.458438000E-3,-8.562500000E0,-2.181250000E1,-4.212500000E1
2.645843800E-2,-9.875000000E0,-2.150000000E1,-4.206250000E1
5.645843800E-2,-1.093750000E1,-2.106250000E1,-4.218750000E1
7.645843800E-2,-1.168750000E1,-2.081250000E1,-4.243750000E1
9.645843800E-2,-1.212500000E1,-2.081250000E1,-4.237500000E1
1.164646880E-1,-1.243750000E1,-2.087500000E1,-4.212500000E1
1.464584380E-1,-1.425000000E1,-2.068750000E1,-4.181250000E1
1.664600000E-1,-1.525000000E1,-2.081250000E1,-4.112500000E1
1.964584380E-1,-1.743750000E1,-2.037500000E1,-4.012500000E1
2.164600000E-1,-1.875000000E1,-2.050000000E1,-3.950000000E1
2.464568750E-1,-2.137500000E1,-2.068750000E1,-3.762500000E1
2.664584380E-1,-2.350000000E1,-2.131250000E1,-3.600000000E1
2.964584380E-1,-2.575000000E1,-2.237500000E1,-3.343750000E1
3.164631250E-1,-2.668750000E1,-2.243750000E1,-3.256250000E1
3.464568750E-1,-2.712500000E1,-2.206250000E1,-3.143750000E1
3.664568750E-1,-2.712500000E1,-2.150000000E1,-3.187500000E1
3.864568750E-1,-2.700000000E1,-2.112500000E1,-3.212500000E1
4.064678130E-1,-2.625000000E1,-2.200000000E1,-3.256250000E1
4.364568750E-1,-2.506250000E1,-2.318750000E1,-3.331250000E1
4.564646880E-1,-2.443750000E1,-2.425000000E1,-3.293750000E1
4.864568750E-1,-2.387500000E1,-2.562500000E1,-3.168750000E1
5.064646880E-1,-2.350000000E1,-2.668750000E1,-3.106250000E1
5.364568750E-1,-2.275000000E1,-2.856250000E1,-3.037500000E1
5.564584380E-1,-2.250000000E1,-2.962500000E1,-3.012500000E1
5.864568750E-1,-2.181250000E1,-3.062500000E1,-3.025000000E1
6.064568750E-1,-2.137500000E1,-3.131250000E1,-3.012500000E1
6.264568750E-1,-2.093750000E1,-3.200000000E1,-2.987500000E1
6.464568750E-1,-2.068750000E1,-3.262500000E1,-2.968750000E1
6.664584380E-1,-1.993750000E1,-3.312500000E1,-2.931250000E1
6.964584380E-1,-1.900000000E1,-3.356250000E1,-2.925000000E1
7.164584380E-1,-1.862500000E1,-3.368750000E1,-2.956250000E1
7.364584380E-1,-1.800000000E1,-3.393750000E1,-3.012500000E1
7.664568750E-1,-1.768750000E1,-3.431250000E1,-3.043750000E1
7.864568750E-1,-1.768750000E1,-3.462500000E1,-3.050000000E1
8.064568750E-1,-1.775000000E1,-3.481250000E1,-3.006250000E1
8.264568750E-1,-1.775000000E1,-3.506250000E1,-2.943750000E1
8.464568750E-1,-1.756250000E1,-3.550000000E1,-2.906250000E1
8.664568750E-1,-1.718750000E1,-3.562500000E1,-2.887500000E1
8.864568750E-1,-1.712500000E1,-3.575000000E1,-2.875000000E1
9.064568750E-1,-1.687500000E1,-3.587500000E1,-2.856250000E1
9.264568750E-1,-1.662500000E1,-3.581250000E1,-2.887500000E1
9.464568750E-1,-1.656250000E1,-3.593750000E1,-2.900000000E1
9.664568750E-1,-1.625000000E1,-3.637500000E1,-2.931250000E1
9.864568750E-1,-1.587500000E1,-3.612500000E1,-2.943750000E1
1.006456875E0,-1.568750000E1,-3.618750000E1,-2.956250000E1
1.026456875E0,-1.543750000E1,-3.612500000E1,-2.993750000E1
1.046456875E0,-1.493750000E1,-3.562500000E1,-3.012500000E1
1.066456875E0,-1.487500000E1,-3.543750000E1,-3.012500000E1
1.086456875E0,-1.437500000E1,-3.525000000E1,-3.056250000E1
1.106456875E0,-1.387500000E1,-3.512500000E1,-3.043750000E1
1.126456875E0,-1.343750000E1,-3.506250000E1,-3.081250000E1
1.146456875E0,-1.325000000E1,-3.512500000E1,-3.112500000E1
1.166456875E0,-1.300000000E1,-3.531250000E1,-3.131250000E1
1.186456875E0,-1.293750000E1,-3.531250000E1,-3.087500000E1
1.206458438E0,-1.312500000E1,-3.518750000E1,-3.112500000E1
1.236456875E0,-1.343750000E1,-3.493750000E1,-3.150000000E1
1.256456875E0,-1.300000000E1,-3.462500000E1,-3.206250000E1
1.276456875E0,-1.212500000E1,-3.431250000E1,-3.281250000E1
