"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668938136133604E9,"2022-11-20 17:55:36.134 UTC+08:00"
"PAUSE",1.506197044583387E2,1.668938286749368E9,"2022-11-20 17:58:06.749 UTC+08:00"
