"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668937779045711E9,"2022-11-20 17:49:39.046 UTC+08:00"
"PAUSE",1.155733980833320E2,1.668937894593884E9,"2022-11-20 17:51:34.594 UTC+08:00"
