"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-6.255302429E0,5.524783134E0,6.515542030E0
2.000000000E-2,-5.339251995E0,5.757279396E0,7.518080711E0
4.200000000E-2,-3.393943548E0,4.914941788E0,8.123995781E0
6.201875000E-2,-2.180504799E0,3.642844915E0,8.602318764E0
8.399843800E-2,-3.451184273E0,4.162578106E0,9.307124138E0
1.039984380E-1,-3.434415340E0,4.210701466E0,1.100475693E1
1.240015630E-1,-2.282583952E0,3.095855951E0,1.578066254E1
1.459984380E-1,-1.153679609E0,1.284393430E0,1.409842014E1
1.660031250E-1,-4.963850379E-1,8.098722696E-1,1.285344410E1
1.880406250E-1,-3.024930060E-1,7.007158399E-1,1.114065170E1
2.099984380E-1,5.262742639E-1,-2.714354396E-1,9.588135719E0
2.299984380E-1,1.160862207E0,-1.709948540E0,1.039616966E1
2.499984380E-1,1.243845224E0,-7.670830488E-1,1.085740852E1
2.699984380E-1,4.937993288E-1,1.607945859E-1,8.673005104E0
2.900031250E-1,3.069749773E-1,-9.191914797E-1,6.391848087E0
3.119984380E-1,-4.755746424E-1,-5.647730231E-1,9.189558983E0
3.320015630E-1,-2.639741421E0,-1.617043763E-1,8.243515015E0
3.540000000E-1,-3.691447258E0,-9.837296009E-1,8.404988289E0
3.740015630E-1,-3.315538406E0,4.751915932E-1,6.613636971E0
3.959984380E-1,-1.631093025E0,1.919690013E0,8.123095512E0
4.159984380E-1,-1.190349221E0,1.464743853E0,9.970480919E0
4.359984380E-1,-1.745066524E0,8.980554938E-1,9.320177078E0
4.560062500E-1,-2.275937796E0,1.703005195E0,8.119437218E0
4.779984380E-1,-2.967344999E0,2.023042917E0,7.356510162E0
4.980218750E-1,-2.343454123E0,2.046611547E0,7.972366333E0
5.200000000E-1,-1.176568151E0,2.111465693E0,8.347078323E0
5.400031250E-1,-1.207692742E0,2.213515997E0,8.482484818E0
5.620171880E-1,-9.835954905E-1,2.166120291E0,8.263433456E0
5.839984380E-1,-1.290627956E0,2.687778711E0,8.790158272E0
6.039984380E-1,-1.827522874E0,2.766854525E0,9.708076477E0
6.239984380E-1,-1.732377291E0,2.124930620E0,9.849449158E0
6.439984380E-1,-4.598303735E-1,1.951216936E0,8.576260567E0
6.639984380E-1,8.956612349E-1,2.155930758E0,4.601598263E0
6.839984380E-1,9.656198621E-1,1.952854633E0,8.010797501E0
7.039984380E-1,4.870763794E-2,1.639214158E0,9.767970085E0
7.239984380E-1,-4.481370747E-1,2.238712549E0,1.338649940E1
7.439984380E-1,3.046018362E0,-5.880829692E-1,1.077888775E1
7.639984380E-1,7.167080879E0,-9.658880234E-1,1.069362545E1
7.839984380E-1,4.168199539E0,-8.181370497E-1,5.835464478E0
8.039984380E-1,2.016856432E0,-3.061274052E0,6.321860790E0
8.239984380E-1,-2.574916184E-1,-3.798458576E0,4.718550205E0
8.439984380E-1,8.069992065E-1,-4.187478065E0,2.882523239E-1
8.639984380E-1,2.015132666E0,-6.536247253E0,-2.617753267E0
8.839984380E-1,2.598072767E0,-9.169811249E0,-9.329725504E-1
9.039984380E-1,2.391108513E0,-1.140974998E1,-4.650976360E-1
9.239984380E-1,4.443657875E0,-1.359811687E1,-2.237822056E0
9.439984380E-1,1.101005268E1,-1.646053886E1,-3.263086081E0
9.639984380E-1,1.318865108E1,-1.689703178E1,2.083166361E0
9.839984380E-1,1.429300117E1,-1.781515884E1,6.455667973E0
1.003998438E0,1.640444756E1,-1.842121696E1,6.737705231E0
1.023998438E0,2.046754074E1,-1.777748489E1,3.381752491E0
1.043998438E0,2.094504166E1,-1.617967987E1,2.767678022E0
1.063998438E0,2.120019722E1,-1.472295189E1,2.838086605E0
1.083998438E0,2.182485390E1,-1.220057392E1,8.781931996E-1
1.103998438E0,2.171218109E1,-1.008376503E1,-4.309668541E0
1.123998438E0,2.047503090E1,-9.703968048E0,-1.074961090E1
1.143998438E0,1.795857239E1,-1.003106308E1,-7.960145950E0
1.163998438E0,1.336967278E1,-1.072947121E1,-4.914826870E0
1.183998438E0,9.639593124E0,-1.020012283E1,-3.602938414E0
1.203998438E0,7.644618988E0,-8.851143837E0,-4.056438446E0
1.223998438E0,5.240964890E0,-8.446053505E0,-3.375719070E0
1.243998438E0,3.590115070E0,-8.871867180E0,-3.531447351E-1
1.263998438E0,2.195808649E0,-8.785982132E0,2.409476757E0
1.283998438E0,2.374061823E0,-8.172951698E0,5.640662670E0
1.304000000E0,9.384312630E-1,-7.907387257E0,8.357237816E0
1.325998438E0,3.495084524E0,-4.785655022E0,7.968650341E0
1.345998438E0,3.961570501E0,-3.971070766E0,7.324571609E0
1.365998438E0,7.310043335E0,-2.679255486E0,8.125872612E0
1.385998438E0,7.268404007E0,-6.056334496E0,9.178200722E0
1.405998438E0,6.588565350E0,-6.966188431E0,4.634858608E0
1.425998438E0,5.723923206E0,-8.764578819E0,6.333640099E0
1.445998438E0,8.888856888E0,-6.762873173E0,6.172835827E0
1.465998438E0,8.238677979E0,-7.323393345E0,8.332071304E0
1.486000000E0,6.673789501E0,-5.476190567E0,8.318471909E0
1.506000000E0,6.019933224E0,-4.262435436E0,9.316700935E0
1.527998438E0,2.155538082E0,-2.536991835E-1,8.817059517E0
1.547998438E0,1.543541908E0,5.555314422E-1,3.583956957E0
1.568003125E0,1.323888183E0,-1.626563191E0,6.109427810E-1
1.589998438E0,-9.815269709E-2,-4.444825649E0,-3.218668997E-1
1.610000000E0,-6.936481595E-2,-6.883119106E0,2.261515141E0
1.631998438E0,-2.457312942E-1,-4.748429775E0,-5.199248791E-1
1.651998438E0,-4.257465303E-1,-6.067347527E0,-1.947644830E0
1.672000000E0,-2.272442102E0,-5.308529377E0,-1.063178778E0
1.692000000E0,-1.953888774E0,-4.660658360E0,-1.002720356E0
1.714000000E0,-1.923195243E0,-4.675062180E0,-1.741006017E0
1.735998438E0,-1.733718038E0,-4.691189289E0,-1.836371779E0
1.755998438E0,6.311115623E-2,-5.447968006E0,-1.763683796E0
1.775998438E0,-6.058671474E-1,-1.169994640E1,-2.461842775E0
1.795998438E0,-3.750248671E0,-2.983062363E1,-1.525336266E0
1.816000000E0,-1.351827526E1,-3.314710236E1,7.266689539E-1
1.838000000E0,-6.847196579E0,-2.000001144E1,1.006675601E0
1.858004688E0,-2.683718204E0,-1.058755302E1,8.194012046E-1
1.879998438E0,-6.307955384E-1,-1.221366596E1,2.236931324E0
1.899998438E0,-9.558994174E-1,-1.398580551E1,-9.207620621E-1
1.919998438E0,-1.244601846E0,-1.358892345E1,-1.013551712E0
1.939998438E0,-1.097913861E0,-1.434891987E1,-3.457974434E0
1.959998438E0,6.481295824E-1,-1.419447422E1,-5.545485687E1
1.979998438E0,-2.619151354E0,-9.003242493E0,-5.768264294E0
1.999998438E0,-9.431334734E-1,-7.687169075E0,-1.003017306E0
2.019998438E0,-1.010592580E0,-8.385165215E0,-2.749146938E0
2.039998438E0,-2.159904957E0,-1.111761951E1,-3.700707912E0
2.059998438E0,-2.400685310E0,-1.359422970E1,-2.111130476E0
2.079998438E0,-3.928808451E0,-1.279076385E1,7.088848352E-1
2.100000000E0,-3.838365078E0,-1.235606384E1,-1.034304738E0
2.120015625E0,-3.288713932E0,-1.105590630E1,-5.818293691E-1
2.141998438E0,-3.183866978E0,-9.052554131E0,-8.972510695E-2
2.162017188E0,-3.011398077E0,-7.346311092E0,2.898994982E-1
2.184042188E0,-2.889763117E0,-7.139126301E0,-1.017152667E-1
2.205998438E0,-3.112720728E0,-7.078782558E0,5.442595482E-1
2.225998438E0,-3.361688852E0,-6.936127186E0,3.233225644E-1
2.245998438E0,-3.637596846E0,-6.731843948E0,1.959989369E-1
2.265998438E0,-3.430804968E0,-7.181398392E0,-1.473966390E-1
2.286010938E0,-3.482356787E0,-7.526757240E0,-5.428134277E-2
2.307998438E0,-3.534416199E0,-7.238121986E0,9.758287072E-1
2.327998438E0,-3.046276808E0,-7.085879326E0,2.018446207E0
2.348000000E0,-2.496807575E0,-6.539129734E0,1.859126329E0
2.369998438E0,-1.857565284E0,-6.130353451E0,2.052012682E0
2.389998438E0,-1.572569132E0,-6.674861908E0,1.739416242E0
2.409998438E0,-1.577357531E0,-8.559855461E0,1.418564439E0
2.429998438E0,-1.778824806E0,-1.067377281E1,1.403768301E0
2.449998438E0,-2.045778275E0,-1.325720215E1,7.546906471E-1
2.469998438E0,-2.392822742E0,-1.538020802E1,2.137160152E-1
2.489998438E0,-3.114233971E0,-1.514222431E1,-2.802173793E-1
2.509998438E0,-3.018695831E0,-1.450404453E1,-7.406224012E-1
2.530017188E0,-3.000653028E0,-1.433761883E1,-1.429683208E0
2.551998438E0,-2.142628670E0,-1.378588104E1,-2.024144173E0
2.571998438E0,-4.493054748E-1,-1.193655109E1,-1.416639566E0
2.591998438E0,1.573287368E0,-1.164634514E1,-2.906223869E1
2.611998438E0,-2.606481314E0,-1.322007370E1,-1.433879757E1
2.631998438E0,-4.105912209E0,-1.295655727E1,-3.367013693E0
2.651998438E0,-4.912097454E0,-1.197190952E1,-9.131293893E-1
2.671998438E0,-5.476381779E0,-1.066321850E1,-5.424878001E-1
2.691998438E0,-5.081271648E0,-9.892046928E0,-8.155130148E-1
2.711998438E0,-4.860306263E0,-8.606206894E0,-5.498140454E-1
2.732000000E0,-4.945367336E0,-7.261211395E0,-8.909302950E-2
2.752000000E0,-4.793478966E0,-6.200129986E0,2.396404445E-1
2.773998438E0,-4.024777412E0,-5.435479641E0,3.649625182E-1
2.793998438E0,-3.365807056E0,-4.778357506E0,4.254400730E-1
2.813998438E0,-2.971347809E0,-4.641849518E0,4.768196344E-1
2.833998438E0,-2.794167519E0,-4.965171814E0,6.267253757E-1
2.853998438E0,-2.538083792E0,-5.561146259E0,6.460322142E-1
2.873998438E0,-2.295962811E0,-6.051603317E0,6.880361438E-1
2.893998438E0,-2.071683645E0,-6.801409721E0,9.204364419E-1
2.913998438E0,-1.884907126E0,-8.127769470E0,1.051676989E0
2.934000000E0,-1.500245094E0,-9.681777954E0,1.224634171E0
2.955998438E0,-9.198043942E-1,-1.124324799E1,1.356889844E0
2.975998438E0,-3.549547791E-1,-1.215493107E1,1.299247026E0
2.995998438E0,-1.060152519E-2,-1.293759537E1,1.235685825E0
3.015998438E0,3.751618266E-1,-1.364881706E1,1.451930046E0
3.035998438E0,9.437847137E-1,-1.419790363E1,1.403030872E0
3.055998438E0,3.706406355E0,-1.490711403E1,-3.160049200E0
3.075998438E0,8.536803246E0,-2.030935097E1,-3.081268501E1
3.095998438E0,-1.492918849E0,-1.064404583E1,-2.414063931E0
3.115998438E0,-3.921721458E0,-7.350658894E0,-1.806415677E0
3.135998438E0,-3.291816711E0,-8.755470276E0,-1.436195493E0
3.155998438E0,-3.489051104E0,-1.117299175E1,-1.502601057E-1
3.175998438E0,-4.471794128E0,-1.196817398E1,-1.289325505E-1
3.196000000E0,-5.299019337E0,-1.105887508E1,6.635769606E-1
3.216000000E0,-5.429800510E0,-1.080895901E1,9.766044021E-1
3.238000000E0,-4.455005646E0,-1.058949661E1,1.714985847E0
3.259998438E0,-3.422271967E0,-1.010945892E1,1.694117904E0
3.279998438E0,-2.731448889E0,-9.202439308E0,1.372040391E0
3.299998438E0,-2.619246960E0,-8.422648430E0,1.137226701E0
3.319998438E0,-2.652612686E0,-8.011985779E0,6.071982980E-1
3.339998438E0,-2.762238264E0,-7.790138721E0,1.998679489E-1
3.359998438E0,-2.873089790E0,-7.309104919E0,-7.587704062E-2
