"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.528494380E-1,-1.093675613E0,-2.194734097E0,-1.093274236E0
1.728494380E-1,-5.482777357E-1,-1.934627652E0,-1.055505276E0
1.928494380E-1,-2.391101094E-3,-1.252675176E0,-6.479011178E-1
2.128494380E-1,1.258207858E-1,-6.656162143E-1,-4.079706967E-1
2.328510000E-1,-9.356710315E-2,-1.763480604E-1,-3.932750523E-1
2.548494380E-1,-4.443608224E-2,-1.605877429E-1,-1.163436472E-1
2.748510000E-1,8.571311831E-2,5.042780042E-1,5.970596671E-1
2.968494380E-1,1.010371074E-1,2.013917923E0,8.499928117E-1
3.168494380E-1,4.710294604E-1,1.728591561E0,9.109222293E-1
3.368494380E-1,9.188984036E-1,1.549014568E0,1.164797783E0
3.568541250E-1,9.118298292E-1,1.195986867E0,9.985203147E-1
3.788494380E-1,3.745650947E-1,8.900830150E-1,2.451314926E-1
3.988541250E-1,-2.557081878E-1,2.268404365E-1,-3.072652221E-1
4.208494380E-1,-6.239552051E-2,-3.898018301E-1,-6.113015413E-1
4.408494380E-1,4.561243355E-1,-6.911503617E-3,-8.073369265E-1
4.608494380E-1,2.586228848E-1,-3.019768596E-1,-6.891083717E-1
4.808494380E-1,-1.438674927E-1,-4.187044799E-1,-3.070557714E-1
5.008510000E-1,-3.019244969E-1,-2.038370073E-1,-2.017600648E-2
5.208510000E-1,-2.696010172E-1,-2.058092207E-1,-6.120869517E-2
5.408541250E-1,-2.305405438E-1,-1.441467404E-1,-1.199739352E-1
5.628681880E-1,-2.368935347E-1,-2.786243558E-1,-1.308298856E-1
5.848494380E-1,-3.691022396E-1,-5.512098670E-1,-2.479414791E-1
6.048494380E-1,-1.824916303E-1,-7.884350419E-1,-2.698279023E-1
6.248494380E-1,1.087863743E-1,-8.582656384E-1,-1.710771769E-1
6.448494380E-1,1.564513147E-1,-9.407499433E-1,-6.424556673E-2
6.648494380E-1,-4.715355933E-1,-5.698674321E-1,-2.254616320E-1
6.848494380E-1,-1.026812077E0,5.011189580E-1,-7.162830979E-2
7.048494380E-1,-1.164710522E0,4.203101993E-1,2.929011583E-1
7.248494380E-1,-1.027196050E0,-1.963024139E0,1.349052191E0
7.448494380E-1,1.162738353E-1,-4.085571289E0,1.483268023E0
7.648494380E-1,1.350815058E0,-6.423754215E0,1.616872996E-1
7.848494380E-1,1.610956311E0,-7.965717793E0,-1.342158169E-1
8.048494380E-1,1.783010960E0,-8.860931396E0,8.219279051E-1
8.248494380E-1,2.705539465E0,-1.071302319E1,2.098217249E0
8.448494380E-1,3.177040339E0,-1.227427197E1,3.133110285E0
8.648494380E-1,2.861310244E0,-1.275383663E1,4.285882950E0
8.848494380E-1,3.278356552E0,-1.150480938E1,5.396907330E0
9.048494380E-1,4.512007713E0,-1.006527901E1,6.533290863E0
9.248494380E-1,5.418095589E0,-8.421754837E0,7.411627769E0
9.448494380E-1,5.105437279E0,-5.590394497E0,7.761636257E0
9.648494380E-1,4.984608173E0,-2.766556263E0,7.608920097E0
9.848494380E-1,5.977141857E0,-1.551632643E0,7.390125275E0
1.004849438E0,7.095112324E0,-1.665323377E0,7.029435635E0
1.024849438E0,7.615656853E0,-1.108318925E0,5.827776432E0
1.044849438E0,7.500273228E0,-3.234094977E-1,4.442281723E0
1.064849438E0,7.518337250E0,2.001892589E-2,3.154089212E0
1.084849438E0,7.404297352E0,-7.539822254E-3,1.472586632E0
1.104849438E0,6.626439095E0,3.683517277E-1,-4.288623035E-1
1.124849438E0,4.588173866E0,1.727073073E0,-2.329892397E0
1.144849438E0,2.990813732E0,2.668817759E0,-4.092605114E0
1.164849438E0,2.018752575E0,2.964529037E0,-5.327111244E0
1.184849438E0,1.347638488E0,2.850436926E0,-5.775835514E0
1.204849438E0,5.687155128E-1,2.323347330E0,-6.203947544E0
1.224849438E0,-4.374842346E-1,1.469253063E0,-6.362667561E0
1.244849438E0,-1.329469681E0,8.796284795E-1,-6.239168167E0
1.264849438E0,-1.981105804E0,6.510776281E-1,-5.838510513E0
1.284849438E0,-2.249345541E0,5.859419107E-1,-5.494593143E0
1.304851000E0,-2.107380390E0,6.685658097E-1,-4.746370316E0
1.326849438E0,-1.875059605E0,5.405110121E-1,-4.115887642E0
1.346849438E0,-1.937908888E0,-3.282964230E-1,-3.814155340E0
1.366849438E0,-3.215158224E0,-5.262866020E-1,-4.411895752E0
1.386849438E0,-3.248022795E0,-2.036101073E-1,-4.018777847E0
1.406849438E0,-3.995215654E0,8.855276704E-1,-3.881193399E0
1.426849438E0,-4.292550087E0,3.106651068E0,-3.252455950E0
1.446849438E0,-4.311591625E0,2.929168701E0,-3.755826473E0
1.466849438E0,-4.164617538E0,1.324024200E0,-4.625157356E0
1.486851000E0,-4.054085732E0,-1.146803498E0,-4.874372959E0
1.506851000E0,-3.542809010E0,-3.542582035E0,-4.443311691E0
1.528849438E0,-2.516921759E0,-4.915929317E0,-2.828759909E0
1.548849438E0,-1.563849926E0,-3.920725107E0,-1.909041107E-1
1.568854125E0,-1.115055919E0,-2.557937145E0,2.383892775E0
1.590849438E0,-1.084181070E0,-1.884571671E0,4.755708218E0
1.610851000E0,-1.446336865E0,-3.194825172E0,5.412196159E0
1.632849438E0,-1.537652493E0,-4.583915234E0,5.231484890E0
1.652849438E0,-1.180139303E0,-3.500746489E0,5.989760399E0
1.672851000E0,-1.112211108E0,-3.213884115E0,6.807168007E0
1.692851000E0,-9.389173388E-1,-3.009244442E0,7.992351532E0
1.714851000E0,-5.815436840E-1,-2.373281240E0,8.571276665E0
1.736849438E0,-3.911806345E-1,-1.357569456E0,8.860809326E0
