"Time (s)","Pressure (hPa)"
1.004600000E-1,1.016494141E3
1.804584380E-1,1.016489746E3
2.604740630E-1,1.016488770E3
3.404584380E-1,1.016478027E3
4.204584380E-1,1.016473145E3
5.004584380E-1,1.016472656E3
5.804584380E-1,1.016473633E3
6.604584380E-1,1.016461914E3
7.404584380E-1,1.016473145E3
8.204584380E-1,1.016469727E3
9.004584380E-1,1.016469727E3
9.804584380E-1,1.016476074E3
1.060458438E0,1.016493652E3
1.140458438E0,1.016484375E3
1.220458438E0,1.016480469E3
1.300458438E0,1.016484375E3
1.380458438E0,1.016486328E3
1.460460000E0,1.016475098E3
1.540458438E0,1.016481445E3
1.620460000E0,1.016486328E3
1.700460000E0,1.016493652E3
1.780458438E0,1.016491211E3
1.860458438E0,1.016520020E3
1.940458438E0,1.016535156E3
2.020458438E0,1.016563965E3
2.100458438E0,1.016549316E3
2.180458438E0,1.016541016E3
2.260458438E0,1.016533691E3
2.340458438E0,1.016541016E3
2.420458438E0,1.016527832E3
2.500458438E0,1.016530273E3
2.580458438E0,1.016538086E3
2.660458438E0,1.016557129E3
2.740458438E0,1.016527832E3
2.820458438E0,1.016509277E3
2.900458438E0,1.016519531E3
2.980458438E0,1.016528809E3
3.060458438E0,1.016516602E3
3.140458438E0,1.016533691E3
3.220460000E0,1.016519531E3
3.300458438E0,1.016515625E3
3.380458438E0,1.016518555E3
3.460458438E0,1.016513672E3
3.540458438E0,1.016514648E3
3.620458438E0,1.016521973E3
3.700458438E0,1.016540527E3
3.780458438E0,1.016511719E3
3.860458438E0,1.016500000E3
3.940458438E0,1.016498047E3
4.020458438E0,1.016500488E3
4.100458438E0,1.016518066E3
4.180458438E0,1.016538086E3
4.260458438E0,1.016536621E3
4.340458438E0,1.016523438E3
4.420458438E0,1.016521973E3
4.500458438E0,1.016516113E3
4.580458438E0,1.016520020E3
4.660458438E0,1.016514648E3
4.740458438E0,1.016543945E3
4.820458438E0,1.016549316E3
4.900458438E0,1.016528809E3
4.980458438E0,1.016520996E3
5.060458438E0,1.016515137E3
5.140460000E0,1.016512207E3
5.220458438E0,1.016532715E3
5.300458438E0,1.016540527E3
5.380458438E0,1.016548340E3
5.460458438E0,1.016529297E3
5.540458438E0,1.016519531E3
5.620458438E0,1.016520996E3
5.700458438E0,1.016518066E3
5.780458438E0,1.016524414E3
5.860458438E0,1.016516113E3
5.940458438E0,1.016508301E3
6.020458438E0,1.016518066E3
6.100458438E0,1.016529297E3
6.180499063E0,1.016505371E3
6.260458438E0,1.016509277E3
6.340458438E0,1.016509277E3
6.420460000E0,1.016527344E3
6.500458438E0,1.016524414E3
6.580458438E0,1.016537598E3
6.660458438E0,1.016535645E3
6.740458438E0,1.016529297E3
6.820458438E0,1.016517090E3
6.900458438E0,1.016512695E3
6.980460000E0,1.016520020E3
7.060463125E0,1.016530273E3
7.140460000E0,1.016535156E3
7.220458438E0,1.016522949E3
7.300458438E0,1.016514160E3
7.380458438E0,1.016508301E3
7.460458438E0,1.016502441E3
7.540460000E0,1.016514648E3
7.620458438E0,1.016518066E3
7.700458438E0,1.016523926E3
7.780458438E0,1.016520996E3
7.860458438E0,1.016538086E3
7.940458438E0,1.016521484E3
8.020458438E0,1.016533691E3
8.100458438E0,1.016537598E3
8.180458438E0,1.016552734E3
8.260458438E0,1.016542969E3
8.340458438E0,1.016527832E3
8.420458438E0,1.016521973E3
8.500458438E0,1.016509766E3
8.580458438E0,1.016502930E3
8.660458438E0,1.016496094E3
8.740458438E0,1.016517578E3
8.820458438E0,1.016528320E3
8.900458438E0,1.016541992E3
8.980458438E0,1.016543457E3
9.060458438E0,1.016528809E3
9.140458438E0,1.016519531E3
9.220458438E0,1.016520508E3
9.300458438E0,1.016527832E3
9.380458438E0,1.016547852E3
9.460458438E0,1.016535156E3
9.540458438E0,1.016528809E3
9.620458438E0,1.016528320E3
9.700460000E0,1.016518066E3
9.780458438E0,1.016511719E3
9.860458438E0,1.016540527E3
9.940458438E0,1.016536133E3
1.002045844E1,1.016524902E3
1.010045844E1,1.016523926E3
1.018045844E1,1.016519043E3
1.026045844E1,1.016513672E3
1.034045844E1,1.016518066E3
1.042045844E1,1.016523438E3
1.050045844E1,1.016538086E3
1.058045844E1,1.016525391E3
1.066045844E1,1.016521484E3
1.074045844E1,1.016517090E3
1.082045844E1,1.016516602E3
1.090046000E1,1.016510742E3
1.098045844E1,1.016517578E3
1.106045844E1,1.016526855E3
1.114045844E1,1.016525391E3
1.122045844E1,1.016522949E3
1.130045844E1,1.016504395E3
1.138045844E1,1.016500977E3
1.146045844E1,1.016496582E3
1.154045844E1,1.016515137E3
1.162045844E1,1.016542480E3
1.170045844E1,1.016540527E3
1.178045844E1,1.016519531E3
1.186045844E1,1.016521973E3
1.194045844E1,1.016510742E3
1.202045844E1,1.016500977E3
1.210045844E1,1.016493652E3
1.218045844E1,1.016506836E3
1.226045844E1,1.016522949E3
1.234045844E1,1.016506836E3
1.242045844E1,1.016505859E3
1.250045844E1,1.016494629E3
1.258045844E1,1.016491699E3
1.266045844E1,1.016494141E3
1.274045844E1,1.016503906E3
1.282045844E1,1.016528320E3
1.290045844E1,1.016552734E3
1.298045844E1,1.016530273E3
1.306045844E1,1.016528320E3
1.314045844E1,1.016510742E3
1.322045844E1,1.016504883E3
1.330045844E1,1.016520996E3
1.338045844E1,1.016526367E3
1.346045844E1,1.016545898E3
1.354045844E1,1.016527832E3
1.362046000E1,1.016522461E3
1.370045844E1,1.016520996E3
1.378046000E1,1.016503906E3
1.386045844E1,1.016500488E3
1.394045844E1,1.016520508E3
1.402045844E1,1.016549316E3
1.410045844E1,1.016553711E3
1.418045844E1,1.016524902E3
1.426046156E1,1.016512695E3
1.434045844E1,1.016517090E3
1.442045844E1,1.016505859E3
1.450045844E1,1.016517578E3
1.458045844E1,1.016517090E3
1.466045844E1,1.016523438E3
1.474045844E1,1.016524902E3
1.482045844E1,1.016525879E3
1.490045844E1,1.016523438E3
1.498045844E1,1.016519531E3
1.506045844E1,1.016527344E3
1.514045844E1,1.016551758E3
1.522045844E1,1.016551758E3
1.530045844E1,1.016523438E3
1.538045844E1,1.016519043E3
1.546045844E1,1.016513184E3
1.554045844E1,1.016509277E3
1.562045844E1,1.016530762E3
1.570045844E1,1.016526855E3
1.578045844E1,1.016515625E3
1.586045844E1,1.016519043E3
1.594045844E1,1.016523438E3
1.602045844E1,1.016516602E3
1.610045844E1,1.016519043E3
1.618045844E1,1.016524414E3
1.626045844E1,1.016519531E3
1.634045844E1,1.016520020E3
1.642045844E1,1.016531738E3
1.650045844E1,1.016515137E3
1.658045844E1,1.016504883E3
1.666045844E1,1.016510254E3
1.674045844E1,1.016529785E3
1.682045844E1,1.016519531E3
1.690045844E1,1.016520996E3
1.698045844E1,1.016513184E3
1.706045844E1,1.016513672E3
1.714045844E1,1.016518555E3
1.722045844E1,1.016530273E3
1.730045844E1,1.016544434E3
1.738045844E1,1.016519531E3
1.746045844E1,1.016522949E3
1.754045844E1,1.016539551E3
1.762045844E1,1.016517090E3
1.770045844E1,1.016514160E3
1.778045844E1,1.016519043E3
1.786045844E1,1.016510742E3
1.794045844E1,1.016509766E3
1.802045844E1,1.016514160E3
1.810046000E1,1.016507324E3
1.818045844E1,1.016499512E3
1.826045844E1,1.016505859E3
1.834045844E1,1.016512207E3
1.842045844E1,1.016504395E3
1.850045844E1,1.016502441E3
1.858045844E1,1.016516602E3
1.866045844E1,1.016534180E3
1.874045844E1,1.016520508E3
1.882045844E1,1.016529297E3
1.890045844E1,1.016521973E3
1.898045844E1,1.016504883E3
1.906045844E1,1.016504395E3
1.914045844E1,1.016505859E3
1.922045844E1,1.016515625E3
1.930045844E1,1.016512695E3
1.938045844E1,1.016510254E3
1.946045844E1,1.016506836E3
1.954045844E1,1.016502930E3
1.962045844E1,1.016502441E3
1.970045844E1,1.016506836E3
1.978045844E1,1.016510254E3
1.986045844E1,1.016500488E3
1.994045844E1,1.016508301E3
2.002045844E1,1.016513184E3
2.010045844E1,1.016513184E3
2.018045844E1,1.016508789E3
2.026045844E1,1.016505859E3
2.034045844E1,1.016515625E3
2.042045844E1,1.016532227E3
2.050045844E1,1.016521973E3
2.058045844E1,1.016514648E3
2.066045844E1,1.016516602E3
2.074045844E1,1.016502441E3
2.082045844E1,1.016494629E3
2.090046000E1,1.016496582E3
2.098045844E1,1.016514648E3
2.106045844E1,1.016520508E3
