"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669209971645177E9,"2022-11-23 21:26:11.645 UTC+08:00"
"PAUSE",5.116118405417074E2,1.669210483255221E9,"2022-11-23 21:34:43.255 UTC+08:00"
