"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668835483849811E9,"2022-11-19 13:24:43.850 UTC+08:00"
"PAUSE",9.595692402916684E2,1.668836443419156E9,"2022-11-19 13:40:43.419 UTC+08:00"
