"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669009452457461E9,"2022-11-21 13:44:12.457 UTC+08:00"
"PAUSE",4.747022037501447E2,1.669009927293347E9,"2022-11-21 13:52:07.293 UTC+08:00"
