"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668853114048555E9,"2022-11-19 18:18:34.049 UTC+08:00"
"PAUSE",1.500426020833547E2,1.668853264085146E9,"2022-11-19 18:21:04.085 UTC+08:00"
