"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668908417568814E9,"2022-11-20 09:40:17.569 UTC+08:00"
"PAUSE",2.512016475416676E2,1.668908668753266E9,"2022-11-20 09:44:28.753 UTC+08:00"
