"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.490291700E-3,3.687561035E0,2.296076965E1,-4.164746094E1
2.457329165E-2,3.394714355E0,2.280297089E1,-4.172360229E1
4.465729167E-2,2.947570801E0,2.246322250E1,-4.195925903E1
6.474129169E-2,2.866333008E0,2.233712006E1,-4.212780762E1
8.482429170E-2,2.876037598E0,2.238667297E1,-4.200860596E1
1.049082917E-1,2.873168945E0,2.256002426E1,-4.198159790E1
1.249922917E-1,2.875854492E0,2.286919022E1,-4.179345703E1
1.450752917E-1,2.502441406E0,2.342189026E1,-4.153848267E1
1.651592916E-1,1.895446777E0,2.405117035E1,-4.125479126E1
1.852432917E-1,1.417846680E0,2.456293106E1,-4.088754272E1
2.053262917E-1,9.799804688E-1,2.481784439E1,-4.068511963E1
2.254102917E-1,8.127441406E-1,2.481989670E1,-4.070382690E1
2.454942917E-1,7.454223633E-1,2.448667526E1,-4.098089600E1
2.655772917E-1,6.583862305E-1,2.376745605E1,-4.133395386E1
2.856612917E-1,5.623168945E-1,2.306558609E1,-4.184951782E1
3.057442917E-1,4.926147461E-1,2.229834747E1,-4.226086426E1
3.258282917E-1,7.390136719E-1,2.168978500E1,-4.272357178E1
3.459122917E-1,1.230468750E0,2.124055862E1,-4.298358154E1
3.659952917E-1,1.778320312E0,2.095233154E1,-4.309436035E1
3.860792917E-1,2.274475098E0,2.071340561E1,-4.321908569E1
4.061632917E-1,2.291198730E0,2.049941254E1,-4.329687500E1
4.262462917E-1,2.085144043E0,2.046572876E1,-4.327670288E1
4.463302917E-1,1.774719238E0,2.045502472E1,-4.329855347E1
4.664142916E-1,1.485900879E0,2.044582367E1,-4.329153442E1
4.864972917E-1,1.195617676E0,2.045795441E1,-4.331491089E1
5.065812917E-1,7.800292969E-1,2.055218506E1,-4.315042114E1
5.266652917E-1,5.040893555E-1,2.049964523E1,-4.320202637E1
5.467482917E-1,3.874511719E-1,2.025980377E1,-4.319613647E1
5.668322917E-1,1.662597656E-1,1.992192078E1,-4.350473022E1
5.869162917E-1,-3.087158203E-1,1.931534576E1,-4.377062988E1
6.069992917E-1,-8.258056641E-1,1.864797211E1,-4.398657227E1
6.270832916E-1,-1.106445312E0,1.808590698E1,-4.420046997E1
