"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668856381644919E9,"2022-11-19 19:13:01.645 UTC+08:00"
"PAUSE",1.506148958749836E2,1.668856532256402E9,"2022-11-19 19:15:32.256 UTC+08:00"
