"Time (s)","X (hPa)"
1.439969955E2,1.017181549E3
1.450592375E2,1.017181549E3
1.461214945E2,1.017183685E3
1.471837705E2,1.017184372E3
1.482460035E2,1.017184601E3
1.493082105E2,1.017184982E3
1.503704125E2,1.017185669E3
1.514326415E2,1.017185669E3
1.524948655E2,1.017185669E3
1.535570585E2,1.017185135E3
1.546192575E2,1.017184525E3
1.556814905E2,1.017183533E3
1.567437055E2,1.017182693E3
1.578059195E2,1.017181168E3
1.588681485E2,1.017180710E3
1.599303505E2,1.017180176E3
1.609925875E2,1.017178802E3
1.620548295E2,1.017178268E3
1.631170565E2,1.017177658E3
1.641792505E2,1.017176590E3
1.652414625E2,1.017176514E3
1.663036335E2,1.017175903E3
1.673658545E2,1.017173843E3
1.684280485E2,1.017172928E3
1.694902415E2,1.017172928E3
1.705524395E2,1.017172928E3
1.716146215E2,1.017172928E3
1.726767865E2,1.017172928E3
1.737389705E2,1.017172928E3
1.748012075E2,1.017171555E3
1.758634255E2,1.017171478E3
1.769256765E2,1.017171478E3
1.779879285E2,1.017173233E3
1.790501645E2,1.017173767E3
1.801123945E2,1.017175751E3
1.811746465E2,1.017175980E3
1.822369045E2,1.017175980E3
1.832991525E2,1.017176285E3
1.843613775E2,1.017175903E3
1.854235945E2,1.017176285E3
1.864857705E2,1.017176361E3
1.875479705E2,1.017176743E3
1.886102035E2,1.017176361E3
1.896724295E2,1.017175522E3
1.907346365E2,1.017175522E3
1.917968595E2,1.017175522E3
1.928590875E2,1.017175903E3
1.939213375E2,1.017175903E3
1.949835285E2,1.017175903E3
1.960457435E2,1.017175064E3
1.971079125E2,1.017174683E3
1.981701245E2,1.017174454E3
1.992322875E2,1.017174454E3
2.002944455E2,1.017174454E3
2.013565865E2,1.017173996E3
2.024187205E2,1.017171860E3
2.034808625E2,1.017171555E3
2.045429935E2,1.017170181E3
2.056051135E2,1.017170181E3
2.066672125E2,1.017171021E3
2.077293465E2,1.017173233E3
2.087914995E2,1.017173996E3
2.098536375E2,1.017176819E3
2.109158175E2,1.017177811E3
2.119780155E2,1.017179947E3
2.130402055E2,1.017180099E3
2.141023725E2,1.017180939E3
2.151645435E2,1.017181778E3
2.162267095E2,1.017183685E3
2.172888805E2,1.017184525E3
2.183510445E2,1.017185440E3
2.194132325E2,1.017185440E3
2.204754225E2,1.017184067E3
2.215375765E2,1.017181015E3
2.225997395E2,1.017178650E3
2.236618995E2,1.017174911E3
2.247240805E2,1.017172928E3
2.257862325E2,1.017168808E3
2.268483825E2,1.017166214E3
2.279104845E2,1.017164993E3
2.289726085E2,1.017164307E3
2.300347425E2,1.017162857E3
2.310968555E2,1.017159729E3
2.321589575E2,1.017158432E3
2.332210725E2,1.017157669E3
2.342831685E2,1.017156906E3
2.353452475E2,1.017156906E3
2.364073035E2,1.017157669E3
2.374693745E2,1.017157669E3
2.385314545E2,1.017154236E3
2.395935225E2,1.017149658E3
2.406556035E2,1.017144699E3
2.417176985E2,1.017135315E3
2.427797495E2,1.017130051E3
2.438418355E2,1.017126236E3
2.449039245E2,1.017125168E3
