"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.632305167E0,-6.686595154E-1,3.182232513E0,6.870412903E0
1.652389167E0,-4.507127380E-1,3.251688080E0,8.716074829E0
1.672474167E0,6.137237549E-3,3.550167389E0,1.041339523E1
1.692558167E0,-2.694396973E-3,3.778442688E0,1.217538116E1
1.712643167E0,-4.423301697E-1,4.003424835E0,1.296753387E1
1.732727167E0,-5.766009521E-1,4.240980835E0,1.265483414E1
1.752812167E0,-8.592132568E-2,4.046086121E0,1.323472824E1
1.772896167E0,3.492237854E-1,3.429667969E0,1.456845474E1
1.792981167E0,-1.395098877E-1,3.231629791E0,1.469090012E1
1.813065167E0,-1.506317596E0,3.879931641E0,1.198856964E1
1.833150167E0,-1.898052979E0,4.132456512E0,1.085123474E1
1.853234167E0,-1.922452240E0,2.512974243E0,1.334400101E1
1.873319167E0,-2.986888733E0,7.812254333E-1,1.411055695E1
1.893403167E0,-3.567830658E0,4.224215698E-1,1.092548035E1
1.913488167E0,-3.156036987E0,9.410929871E-1,8.532706146E0
1.933572167E0,-2.810106354E0,1.482816467E0,7.551795959E0
1.953657167E0,-2.459086304E0,1.691632233E0,7.127727814E0
1.973741167E0,-1.726809082E0,1.557062073E0,7.510930939E0
1.993826167E0,-8.626560974E-1,1.359472961E0,8.225544891E0
2.013910167E0,-2.180964661E-1,1.196911011E0,8.772956543E0
2.033995167E0,2.134561157E-1,1.265318756E0,8.582402802E0
2.054079167E0,2.977308655E-1,1.423090668E0,7.715705109E0
2.074164167E0,8.547225952E-2,1.685794373E0,6.870263214E0
2.094248167E0,-6.466552734E-2,2.051184540E0,5.976621552E0
2.114333167E0,-9.654922485E-2,2.271226959E0,5.644611969E0
2.134417167E0,7.903564453E-2,2.530038757E0,5.743406525E0
2.154501167E0,4.227209473E-1,2.721340942E0,6.435716858E0
2.174586167E0,6.947053528E-1,2.804118805E0,7.515571289E0
2.194669292E0,9.596543884E-1,2.389481049E0,9.390572205E0
2.214754292E0,8.985813904E-1,2.058519287E0,1.086306015E1
2.234838292E0,9.487271118E-1,1.991309052E0,1.118953125E1
2.254923292E0,1.522483978E0,2.389181671E0,1.111483658E1
2.275007292E0,2.097138977E0,2.772833862E0,1.087907684E1
2.295092292E0,2.293081512E0,2.740650787E0,1.118713623E1
2.315176292E0,1.762884064E0,2.687511292E0,1.247655487E1
2.335261292E0,1.791175232E0,2.864593048E0,1.153351593E1
2.355345292E0,2.755170593E0,3.100502472E0,1.130164810E1
2.375430292E0,2.979104919E0,1.894161072E0,1.383333344E1
2.395514292E0,2.046394501E0,8.511300659E-1,1.482472183E1
2.415599292E0,1.707199860E0,8.828640747E-1,1.374471771E1
2.435683292E0,2.183359680E0,1.145567780E0,1.208407104E1
2.455768292E0,2.717449036E0,9.665400696E-1,1.108130630E1
2.475852292E0,3.228486328E0,6.674620056E-1,1.064945435E1
2.495937292E0,3.444038086E0,6.972500610E-1,9.963730316E0
2.516021292E0,3.119662628E0,9.009764099E-1,8.183781738E0
2.536106292E0,2.788102112E0,1.224753113E0,5.970634003E0
2.556190292E0,2.537074127E0,1.791324921E0,4.088448029E0
2.576275292E0,2.318528595E0,2.456242218E0,2.433938599E0
2.596359292E0,1.840422821E0,2.953807526E0,1.439855804E0
2.616444292E0,1.573827209E0,3.010689240E0,1.628912659E0
2.636528292E0,1.368005219E0,2.687810669E0,3.263064423E0
2.656613292E0,1.229094086E0,2.510579224E0,5.536387024E0
2.676697292E0,7.571255493E-1,1.766626282E0,8.880283356E0
2.696782292E0,-2.439926147E-1,9.915380859E-1,1.105002136E1
2.716866292E0,-1.512604523E0,1.072519684E0,1.107217529E1
2.736951292E0,-2.352657623E0,1.339414673E0,1.106513992E1
2.757035292E0,-3.412004700E0,1.316512299E0,1.108280319E1
2.777120292E0,-4.053720245E0,8.454418945E-1,1.092293564E1
2.797204292E0,-3.701203308E0,4.171824646E-1,1.056832306E1
2.817288292E0,-2.784659271E0,-7.720944214E-1,1.253882538E1
2.837373292E0,-2.288740540E0,-1.170416107E0,1.543694870E1
2.857457292E0,-1.637145538E0,-1.052012329E0,1.542901520E1
2.877542292E0,-1.383423157E0,-8.807684326E-1,1.417207901E1
2.897626292E0,-1.588197327E0,-2.048490143E0,1.447804276E1
2.917711292E0,-1.539997559E0,-1.993105316E0,1.509161682E1
2.937795292E0,-2.392774200E0,-2.406395874E0,1.356524094E1
2.957880292E0,-2.548151093E0,-2.123933258E0,1.098340988E1
2.977964292E0,-1.949096832E0,-1.241967316E0,9.798024902E0
2.998049292E0,-6.801855469E-1,-7.316784668E-1,9.737850037E0
3.018133292E0,-1.779798889E-1,-5.263055420E-1,9.463171234E0
3.038218292E0,4.251159668E-2,-6.218069458E-1,8.712931366E0
3.058302292E0,4.254153442E-1,-7.602690125E-1,8.487200775E0
3.078387292E0,9.610015869E-1,-2.996768188E-1,8.221054230E0
3.098471292E0,1.476529541E0,2.115101624E-1,7.813601532E0
3.118556292E0,1.849404144E0,5.203179932E-1,7.486980743E0
3.138640292E0,2.135908356E0,5.740562439E-1,7.032226410E0
3.158725292E0,1.973047028E0,5.577401733E-1,6.418352966E0
3.178809292E0,1.555265808E0,4.695735168E-1,5.538183289E0
3.198894417E0,1.209035797E0,5.966592407E-1,5.586083679E0
3.218978417E0,1.982627106E0,4.062551880E-1,6.063890076E0
3.239063417E0,3.031945038E0,4.932243347E-1,7.637567596E0
3.259147417E0,3.759282532E0,6.358776855E-1,9.694739685E0
3.279232417E0,3.971241760E0,-2.161505127E-1,1.051069290E1
3.299316417E0,3.927832031E0,-7.526348877E-1,1.066517166E1
3.319401417E0,4.186494141E0,-5.930667114E-1,1.139954453E1
3.339485417E0,3.877686310E0,-2.424957275E-2,1.140837616E1
3.359569417E0,3.179538116E0,4.349954224E-1,1.097936829E1
3.379654417E0,3.416645050E0,8.881031799E-1,1.067295547E1
3.399738417E0,4.239034882E0,1.234033813E0,9.917626190E0
3.419823417E0,4.628225555E0,1.644929352E0,9.886041870E0
3.439907417E0,4.085154877E0,2.642005920E-1,1.213616272E1
3.459992417E0,3.516188049E0,-1.226100311E0,1.400667297E1
3.480076417E0,3.134182434E0,-1.713486786E0,1.372540787E1
3.500161417E0,3.174299011E0,-1.560055847E0,1.199006653E1
3.520245417E0,3.096610565E0,-1.006207581E0,1.006342300E1
3.540330417E0,2.997666321E0,-4.586462402E-1,8.353079681E0
3.560414417E0,3.453618164E0,2.198927307E-1,8.062982941E0
3.580499417E0,4.130809937E0,7.952961731E-1,8.195457458E0
3.600583417E0,3.981719971E0,6.256988525E-1,7.884553986E0
3.620668417E0,2.943329315E0,4.688250732E-1,7.896229706E0
3.640752417E0,2.142045593E0,3.703298950E-1,7.903863831E0
3.660837417E0,1.466500397E0,4.326004028E-1,6.973698120E0
3.680921417E0,9.038204956E-1,1.055305481E0,5.743406525E0
3.701006417E0,4.340972900E-2,1.863474884E0,4.669539642E0
3.721090417E0,-6.233038330E-1,2.135908356E0,4.287534027E0
3.741175417E0,-1.017883301E0,1.825753326E0,5.206323395E0
3.761259417E0,-9.777667236E-1,1.574425964E0,6.940916290E0
3.781343417E0,-9.243278503E-1,1.384021912E0,9.357940063E0
3.801428417E0,-1.935924225E0,5.698649597E-1,1.249287094E1
