"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.956633340E-2,-3.474072266E1,-3.079971886E1,-2.791954041E0
4.950733320E-2,-3.476287842E1,-3.071036339E1,-3.435958862E0
6.944733323E-2,-3.471435547E1,-3.079269600E1,-3.573471069E0
8.938733325E-2,-3.485693359E1,-3.058862877E1,-4.075790405E0
1.093283333E-1,-3.516538239E1,-3.034758568E1,-4.446769714E0
1.292683333E-1,-3.538317871E1,-3.013536263E1,-4.794631958E0
1.492083333E-1,-3.556585693E1,-2.965147591E1,-5.189941406E0
1.691483334E-1,-3.583754730E1,-2.929052544E1,-6.057212830E0
1.890893334E-1,-3.593320465E1,-2.879469872E1,-7.235153198E0
2.090293332E-1,-3.578543854E1,-2.869057274E1,-8.020736694E0
2.289693332E-1,-3.556366730E1,-2.892938042E1,-8.509750366E0
2.489090834E-1,-3.503909302E1,-2.946585655E1,-9.055549622E0
2.688500832E-1,-3.430961609E1,-3.007668495E1,-1.006246567E1
2.887900833E-1,-3.385382843E1,-3.045571709E1,-1.129923630E1
3.087300833E-1,-3.304998016E1,-3.051252556E1,-1.232564545E1
3.286710833E-1,-3.296585846E1,-3.038206673E1,-1.364151001E1
3.486110833E-1,-3.301499176E1,-3.006167412E1,-1.434186935E1
3.685510834E-1,-3.298703003E1,-2.980661201E1,-1.434643173E1
3.884910834E-1,-3.311254883E1,-2.986806679E1,-1.455168533E1
4.084320832E-1,-3.293420410E1,-3.008592796E1,-1.449092484E1
4.283720832E-1,-3.243071747E1,-3.053791618E1,-1.432418442E1
4.483120833E-1,-3.194484711E1,-3.106811333E1,-1.466174316E1
4.682530833E-1,-3.136553955E1,-3.144937325E1,-1.523279953E1
4.881930833E-1,-3.078482056E1,-3.182297325E1,-1.549079895E1
5.081330833E-1,-3.049966431E1,-3.193098259E1,-1.617474747E1
5.280730834E-1,-3.025807953E1,-3.168275261E1,-1.694432449E1
5.480140834E-1,-2.999047852E1,-3.156828880E1,-1.749464417E1
5.679540832E-1,-2.988369751E1,-3.128652000E1,-1.805448532E1
5.878940832E-1,-2.970722961E1,-3.102434731E1,-1.928074646E1
6.078350833E-1,-2.919306183E1,-3.039962578E1,-2.066242218E1
6.277750833E-1,-2.870402527E1,-2.954219246E1,-2.214677811E1
6.477150833E-1,-2.881103516E1,-2.855069542E1,-2.316206741E1
6.676550834E-1,-2.948435211E1,-2.754670906E1,-2.355115128E1
6.875960834E-1,-3.016279602E1,-2.656176949E1,-2.397395325E1
7.075360834E-1,-3.089025116E1,-2.566693306E1,-2.406384659E1
7.274760832E-1,-3.135027313E1,-2.484126854E1,-2.431596375E1
7.474160832E-1,-3.185684967E1,-2.480639458E1,-2.408252716E1
7.673570833E-1,-3.218847656E1,-2.512319374E1,-2.343829346E1
7.872970833E-1,-3.235591888E1,-2.525639153E1,-2.286452103E1
8.072370833E-1,-3.238578033E1,-2.606425285E1,-2.234017181E1
8.271780834E-1,-3.180867004E1,-2.676466179E1,-2.236576080E1
8.471180834E-1,-3.091561890E1,-2.749102211E1,-2.276524734E1
8.670580834E-1,-3.026849365E1,-2.782126045E1,-2.321153641E1
8.869980832E-1,-2.989269257E1,-2.802877235E1,-2.327207184E1
9.069390832E-1,-3.005068970E1,-2.804305840E1,-2.312510300E1
9.268790833E-1,-3.009034729E1,-2.822713661E1,-2.293193436E1
9.468190833E-1,-3.066327667E1,-2.795487785E1,-2.269272995E1
9.667600833E-1,-3.131278992E1,-2.774172783E1,-2.235109329E1
9.867000834E-1,-3.190677643E1,-2.761172295E1,-2.172511292E1
1.006640083E0,-3.229179382E1,-2.737348747E1,-2.140251541E1
1.026580083E0,-3.279317474E1,-2.698196983E1,-2.133348465E1
1.046521083E0,-3.325152588E1,-2.621127510E1,-2.129439545E1
1.066461083E0,-3.338065338E1,-2.592487526E1,-2.151158524E1
1.086401083E0,-3.339855194E1,-2.554927254E1,-2.174977493E1
1.106341083E0,-3.341409302E1,-2.531068230E1,-2.228154755E1
1.126282083E0,-3.283579254E1,-2.529240608E1,-2.311431503E1
1.146222083E0,-3.165958405E1,-2.559874153E1,-2.423987198E1
1.166162083E0,-3.115151978E1,-2.619292641E1,-2.484343338E1
1.186103083E0,-3.105903625E1,-2.656856346E1,-2.419873810E1
1.206043083E0,-3.115630341E1,-2.719079781E1,-2.346437836E1
1.225983083E0,-3.107700348E1,-2.759338188E1,-2.339212418E1
1.245922917E0,-3.106239319E1,-2.749872780E1,-2.357820892E1
1.265863917E0,-3.117898560E1,-2.727628899E1,-2.348480225E1
1.285803917E0,-3.142650604E1,-2.739843941E1,-2.291554642E1
1.305743917E0,-3.131404114E1,-2.818642616E1,-2.220569611E1
1.325683917E0,-3.083564758E1,-2.938972282E1,-2.176977921E1
1.345624917E0,-3.002407074E1,-3.084132957E1,-2.115317917E1
1.365564917E0,-2.868240356E1,-3.220910645E1,-2.088800049E1
1.385504917E0,-2.746511078E1,-3.333789062E1,-2.111771393E1
1.405444917E0,-2.627780151E1,-3.435092163E1,-2.097636032E1
1.425385917E0,-2.545724487E1,-3.537302399E1,-2.056227875E1
1.445325917E0,-2.471283722E1,-3.631520844E1,-1.970039368E1
