"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.947916811E-3,-1.696871338E0,5.025499420E0,8.556656342E0
2.188791684E-2,-2.267035675E0,5.134772186E0,6.842121735E0
4.182791687E-2,-2.061363373E0,5.141208801E0,7.362140350E0
6.176791666E-2,-1.864073639E0,4.680766296E0,7.895331573E0
8.170791669E-2,-1.377136230E0,4.174069977E0,7.503147125E0
1.016479167E-1,-1.092877350E0,3.821103973E0,6.754703522E0
1.215879167E-1,-9.524693298E-1,3.814367981E0,6.077661438E0
1.415279168E-1,-2.308200073E-1,3.927832031E0,5.695057068E0
1.614679168E-1,9.252259827E-1,4.023932190E0,5.328469391E0
1.814079168E-1,1.224453735E0,4.217180328E0,5.101092224E0
2.013479169E-1,5.083428955E-1,4.474046173E0,5.491031342E0
2.212879166E-1,-8.337661743E-2,4.677922211E0,5.813610535E0
2.412279167E-1,4.315525818E-1,4.862937469E0,6.253845062E0
2.611679167E-1,1.304088135E0,5.006638641E0,6.641239471E0
2.811079167E-1,1.359772339E0,5.549260254E0,7.302264862E0
3.010489168E-1,3.924838257E-1,6.328390045E0,7.908204803E0
3.209889168E-1,-6.170169067E-1,6.578220520E0,8.162825317E0
3.409289168E-1,-8.411009216E-1,6.480174408E0,8.829838257E0
3.608689168E-1,3.502716064E-1,6.451583862E0,9.593101044E0
3.808089166E-1,1.618883514E0,6.405928802E0,9.558073883E0
4.007489167E-1,2.016307068E0,6.822811890E0,9.312734070E0
4.206889167E-1,9.542655945E-1,7.336842957E0,9.574240265E0
4.406289167E-1,-5.224136353E-2,7.766748962E0,1.032552795E1
4.605689168E-1,-2.887495422E-1,6.841223602E0,1.121168518E1
4.805086667E-1,-3.499722290E-1,5.045408020E0,1.223840012E1
5.004486667E-1,5.068460083E-1,4.797373810E0,1.285975800E1
5.203886668E-1,7.804769897E-1,5.113666077E0,1.088461533E1
5.403286668E-1,7.688012695E-1,4.916675720E0,8.949289856E0
5.602686668E-1,1.105301514E0,4.515060883E0,8.259075165E0
5.802086669E-1,8.125103760E-1,3.866309967E0,8.758885803E0
6.001496667E-1,9.819580078E-2,3.621269531E0,9.044342194E0
6.200896667E-1,-3.201841736E-1,3.541335754E0,8.553063812E0
6.400296667E-1,-4.218228149E-1,3.487597504E0,7.804769897E0
6.599696667E-1,1.094224548E-1,3.494183807E0,6.824907532E0
6.799096668E-1,5.978567505E-1,3.751049652E0,5.886359253E0
6.998496668E-1,3.727249146E-1,4.076173553E0,4.931644592E0
7.197896668E-1,-1.146615601E-1,4.436474304E0,4.634362793E0
7.397296668E-1,8.217910767E-2,4.813240814E0,5.150938568E0
7.596696666E-1,6.027964783E-1,4.339775391E0,5.962999878E0
7.796096667E-1,9.629475403E-1,4.117936707E0,6.712790680E0
7.995496667E-1,9.068142700E-1,4.170926514E0,7.086114349E0
8.194896667E-1,5.544470215E-1,4.671186218E0,7.533084869E0
8.394296668E-1,8.128097534E-2,5.391638031E0,8.118218079E0
8.593696668E-1,-7.581733704E-1,5.202281799E0,9.421557770E0
8.793096668E-1,-9.322613525E-1,5.582191772E0,9.751621399E0
8.992496668E-1,-4.748126221E-1,5.922883301E0,9.358389130E0
9.191896669E-1,1.779798889E-1,6.659501495E0,9.374555511E0
9.391306667E-1,-3.498225403E-1,6.798113251E0,9.594747620E0
9.590706667E-1,-1.088536377E0,7.060816956E0,1.000669098E1
9.790106667E-1,-1.188378754E0,7.014413452E0,9.984087982E0
9.989506667E-1,-1.924847260E0,5.832321625E0,1.014919464E1
1.018890667E0,-2.414928131E0,4.671635284E0,1.107486969E1
1.038830667E0,-1.677112427E0,4.172573090E0,1.158725418E1
1.058770667E0,-1.207389221E0,4.433330841E0,1.076127182E1
1.078710667E0,-1.718276825E0,5.188360748E0,9.803713074E0
1.098650667E0,-2.915487213E0,5.391039276E0,9.127419434E0
1.118590667E0,-2.901266785E0,5.063071289E0,8.196505280E0
1.138530667E0,-1.686692505E0,4.595743103E0,7.412136383E0
1.158470667E0,-7.887098694E-1,4.068988495E0,7.044051819E0
1.178410667E0,-1.538800049E-1,3.391946411E0,6.913373566E0
1.198350667E0,2.863545227E-1,3.127895508E0,6.730154572E0
1.218290667E0,4.605921936E-1,3.313359833E0,6.149811401E0
1.238230667E0,4.818479919E-1,3.524869995E0,5.634133759E0
1.258170667E0,6.372248840E-1,3.661236420E0,5.425767059E0
1.278110667E0,1.327439575E0,4.181404724E0,5.223537598E0
1.298050667E0,1.102008362E0,4.565356293E0,5.520370331E0
1.317991667E0,4.077520752E-1,4.709207153E0,6.657555542E0
1.337931667E0,3.803590393E-1,4.954696655E0,7.850424957E0
1.357871667E0,3.564088440E-1,5.508395233E0,8.471184082E0
1.377811667E0,5.104385376E-2,7.122039642E0,5.649252319E0
1.397751667E0,2.317480774E0,3.612138519E0,8.350385284E0
1.417691667E0,2.111808472E0,4.261787567E0,1.315464478E1
1.437631667E0,1.391057281E0,3.401077423E0,1.431293610E1
1.457571667E0,-1.633103943E-1,2.884651337E0,1.415157166E1
1.477512209E0,1.163829803E0,4.187392273E0,1.501512589E1
1.497452209E0,2.646047516E0,6.321504364E0,1.133936966E1
1.517392208E0,1.883233795E0,5.269941101E0,8.339008942E0
1.537332208E0,-5.523513794E-1,5.518873444E0,8.368796997E0
1.557272208E0,-3.651356964E0,4.086801453E0,1.088476501E1
1.577212208E0,-7.486531677E0,8.216264191E0,1.272234375E1
1.597152208E0,-3.947590942E0,5.674250336E0,6.813231812E0
1.617092208E0,-7.038363647E-1,3.933220825E0,6.061644745E0
1.637032208E0,-1.761836243E0,4.179758148E0,8.833879852E0
1.656972209E0,-3.285517731E0,3.238964539E0,9.731563110E0
1.676912208E0,-2.879412231E0,2.967728577E0,9.047635345E0
1.696852208E0,-2.965932312E0,2.906505890E0,8.083939362E0
1.716792208E0,-2.906056824E0,2.948718109E0,6.891519012E0
1.736732208E0,-1.877096558E0,2.616109772E0,5.592370605E0
1.756672208E0,-1.740580444E0,2.384092255E0,5.798791351E0
1.776612208E0,-2.343825989E0,3.690575409E0,6.904691620E0
1.796553208E0,-2.174528046E0,3.509601746E0,6.063291321E0
1.816493209E0,-1.976639557E0,4.996310120E0,5.396577759E0
1.836433208E0,-2.331102448E0,4.734205170E0,3.870501251E0
1.856373208E0,-2.372715912E0,4.903353424E0,5.811065826E0
1.876313208E0,-1.135987701E0,5.946683807E0,7.192393341E0
1.896253208E0,-1.878892822E0,6.663992157E0,1.019499939E1
1.916193208E0,-3.011138306E0,6.490652618E0,9.831854553E0
1.936133208E0,-3.181633759E0,7.581134949E0,9.327553253E0
1.956073208E0,-2.350112915E0,8.157436523E0,9.406738586E0
1.976013209E0,-3.223696289E0,7.874824219E0,8.616531830E0
1.995953209E0,-4.028273163E0,7.009174347E0,7.850424957E0
2.015893208E0,-4.304598541E0,7.048991547E0,8.678502960E0
2.035833208E0,-3.403771820E0,8.146359558E0,9.528734894E0
2.055773208E0,-2.868484955E0,8.758436737E0,1.094299393E1
2.075713208E0,-1.527872772E0,6.155499573E0,1.225471619E1
2.095653208E0,-3.032992859E0,3.728296967E0,1.234048782E1
2.115593208E0,-4.372407532E0,3.274291077E0,1.095466965E1
2.135533208E0,-4.800517273E0,3.526366882E0,6.889273682E0
2.155473209E0,-4.462669830E0,5.025050354E0,4.864883423E0
2.175413208E0,-3.914659424E0,5.930367737E0,5.598358154E0
2.195353208E0,-2.082918549E0,5.183870087E0,7.570507050E0
2.215293208E0,-1.366658020E0,4.553680573E0,8.637039185E0
2.235233208E0,-1.177451477E0,3.901935883E0,7.996072083E0
2.255173208E0,-1.717977448E0,3.176843719E0,6.642436981E0
2.275113208E0,-2.282902679E0,2.351310425E0,5.823639679E0
2.295053208E0,-2.357896729E0,1.997296600E0,5.735473022E0
2.314993209E0,-2.352957001E0,2.390379181E0,6.288872223E0
2.334933209E0,-1.721719666E0,3.784130859E0,7.998317413E0
2.354873208E0,1.751358032E-1,6.614744568E0,7.393275604E0
2.374813208E0,-6.251000977E-1,6.522087250E0,4.469106445E0
2.394753208E0,-2.546953583E0,6.929689636E0,3.951183472E0
2.414693208E0,-2.125879211E0,6.064339142E0,5.203329620E0
2.434633208E0,-1.797611847E0,5.944139099E0,7.339986420E0
2.454573208E0,-6.592291260E-1,5.627397766E0,9.561217346E0
2.474512583E0,-8.180488586E-1,6.686295776E0,9.903854828E0
2.494452583E0,-3.761677551E-1,6.772366791E0,8.141569519E0
2.514392583E0,-8.279283142E-1,8.074059906E0,7.169341278E0
2.534332583E0,-2.405497742E0,8.199049988E0,7.820636902E0
