"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.859499931E0,3.482366562E0,8.313798904E0
2.199218700E-2,-1.679494143E0,3.199553728E0,9.260992050E0
4.200000000E-2,-1.588035703E0,3.318842173E0,9.493316650E0
6.399218700E-2,-1.718624949E0,3.414342403E0,9.428241730E0
8.399218700E-2,-1.845536828E0,3.373516321E0,9.752234459E0
1.039937500E-1,-1.574091792E0,2.551232576E0,1.190284061E1
1.240062500E-1,-2.511412382E0,3.136557341E0,1.219521141E1
1.459968750E-1,-1.526322722E0,2.843382597E0,1.040315151E1
1.679921870E-1,-9.585042596E-1,2.748371124E0,8.629037857E0
1.879921870E-1,-3.012097180E-1,2.867947340E0,7.958853245E0
2.079984370E-1,-1.450215876E-1,2.883078575E0,8.069781303E0
2.299921870E-1,-3.091393113E-1,3.167643785E0,8.845244408E0
2.499968750E-1,-3.063811958E-1,3.366525412E0,9.818017960E0
2.719906250E-1,-1.969949156E-2,2.619898081E0,1.101865196E1
2.919921870E-1,-3.462973237E-2,2.520510197E0,1.139863205E1
3.119921870E-1,-1.157644391E-1,3.004311323E0,1.123779869E1
3.320000000E-1,-6.581660509E-1,3.549988270E0,1.049316311E1
3.539921870E-1,-1.124910831E0,3.974920750E0,9.788195610E0
3.739984370E-1,-1.000948668E0,3.363230944E0,9.823581696E0
3.959906250E-1,-6.142563820E-1,2.083080053E0,1.104998875E1
4.159937500E-1,-1.440447569E-1,1.661039710E0,1.228734016E1
4.379921870E-1,1.544164270E-1,1.474837780E0,1.300384808E1
4.579921870E-1,-6.958507746E-2,1.351019263E0,1.272434902E1
4.780109370E-1,-3.853419721E-1,1.549335837E0,1.193694305E1
4.999906250E-1,-4.151449800E-1,1.532327414E0,1.226976681E1
5.199921870E-1,-6.110960245E-2,1.197732925E0,1.229728985E1
5.399921870E-1,4.604337215E-1,1.071625471E0,1.214463615E1
5.619921870E-1,8.379993439E-1,8.565016985E-1,1.120679855E1
5.839921870E-1,9.111374021E-1,6.358137727E-1,1.116020679E1
6.039921870E-1,9.185019732E-1,6.662393212E-1,1.157638645E1
6.239921870E-1,1.002595901E0,6.330652237E-1,1.130302620E1
6.439921870E-1,1.085502267E0,4.655860364E-1,1.093668461E1
6.639921870E-1,1.567579627E0,2.778614759E-1,1.094410610E1
6.839921870E-1,1.938307405E0,2.351010293E-1,1.094145393E1
7.059921870E-1,1.966252565E0,2.843353748E-1,1.076367950E1
7.279921870E-1,1.603205323E0,1.385859698E-1,1.092752934E1
7.479921870E-1,1.352752686E0,3.984909505E-2,1.142763996E1
7.699921870E-1,1.085368276E0,1.718845218E-1,1.157726765E1
7.919906250E-1,1.136000872E0,2.491789460E-1,1.098083401E1
8.119906250E-1,1.133989692E0,1.693370938E-1,1.036455631E1
8.319906250E-1,8.886893988E-1,1.142034233E-1,1.008900261E1
8.520015620E-1,7.410916090E-1,-1.675941236E-2,1.053922749E1
8.739921870E-1,9.032748342E-1,2.371217310E-2,1.020727634E1
8.939921870E-1,9.048550129E-1,2.369301952E-2,9.629593849E0
9.139921870E-1,5.493543744E-1,4.058650509E-2,9.108979225E0
9.339921870E-1,4.204601049E-1,1.887109876E-1,8.988780975E0
9.539921870E-1,6.963966489E-1,1.225256622E-1,9.166077614E0
9.739921870E-1,9.105148911E-1,5.290227756E-2,9.076552391E0
9.939921870E-1,8.682620525E-1,-1.148642227E-1,8.606340408E0
1.013992187E0,6.496618390E-1,-6.213432178E-2,8.045523643E0
1.033992187E0,6.410714984E-1,2.942761183E-1,7.886864185E0
1.055992187E0,7.111161947E-1,3.827275038E-1,7.868313789E0
1.075992187E0,1.006598949E0,7.060692310E-1,7.560917377E0
1.095992187E0,1.496989012E0,7.659051418E-1,7.714003086E0
1.117990625E0,1.564419270E0,9.441391230E-1,7.224369526E0
1.137992187E0,1.507513881E0,1.170391083E0,6.770965099E0
1.157993750E0,1.449995637E0,1.716001034E0,7.079232693E0
1.178010937E0,1.504267335E0,2.002893448E0,8.062541962E0
1.199992187E0,1.790537238E0,1.802096486E0,8.343448639E0
1.219992187E0,2.264761448E0,1.564093590E0,7.589715481E0
1.239992187E0,2.982093096E0,1.350607514E0,7.586095333E0
1.259992187E0,3.205299854E0,1.228388309E0,7.905376434E0
1.281992187E0,2.846600533E0,8.687791824E-1,8.032862663E0
1.303992187E0,2.551912546E0,6.164398789E-1,7.940819740E0
1.323993750E0,2.966923475E0,5.366171598E-1,8.349903107E0
1.345992187E0,3.144515753E0,1.056206942E0,8.220357895E0
1.365992187E0,2.533639908E0,1.360155463E0,7.569412231E0
1.385992187E0,1.605867624E0,1.582912087E0,7.883100510E0
1.405992187E0,7.166707516E-1,1.612504363E0,8.609156609E0
1.425992187E0,1.528171152E-1,1.425479054E0,9.306405067E0
1.445992187E0,-2.744616866E-1,1.968943596E0,9.783196449E0
1.465992187E0,-1.171118975E0,2.773663521E0,1.027745533E1
1.485993750E0,-1.469091773E0,3.616891861E0,1.081574917E1
1.507992187E0,-2.538773298E0,2.967067242E0,8.685397148E0
1.529990625E0,-3.097100973E0,2.046726465E0,8.305983543E0
1.549992187E0,-2.205203295E0,1.542143703E0,1.002385235E1
1.571992187E0,-8.303857446E-1,6.924989223E-1,1.099744892E1
1.591992187E0,-6.543736458E-1,2.905411720E-1,1.060496330E1
1.613992187E0,-1.424023271E0,8.287481070E-1,9.825860977E0
1.634000000E0,-1.860725760E0,2.027735710E0,8.846403122E0
1.654001562E0,-2.031346083E0,3.037466288E0,8.001096725E0
1.675992187E0,-2.172919989E0,3.372271538E0,7.820171356E0
1.695992187E0,-2.139841795E0,2.924124718E0,8.879031181E0
1.717990625E0,-2.569275379E0,2.661949873E0,1.014668465E1
1.737992187E0,-2.839053869E0,2.852949858E0,1.052780247E1
1.757992187E0,-2.713990450E0,2.916712046E0,1.002574825E1
1.778010937E0,-2.623240709E0,2.873377085E0,9.304212570E0
1.799990625E0,-2.412052870E0,2.778337002E0,9.141511917E0
1.819992187E0,-2.216571093E0,2.910956621E0,8.497720718E0
1.841990625E0,-2.273543358E0,2.965870142E0,8.083724976E0
1.861992187E0,-2.066560030E0,2.798668385E0,8.279762268E0
1.883992187E0,-1.218916893E0,2.707937956E0,8.439149857E0
1.905992187E0,-3.890290558E-1,2.451538086E0,7.932249069E0
1.925992187E0,1.326387748E-2,2.392832279E0,7.708084583E0
1.945992187E0,1.992167383E-1,2.724936724E0,7.828455448E0
1.967990625E0,6.094679981E-2,3.163171291E0,8.348570824E0
1.987990625E0,-4.484722912E-1,3.549595356E0,8.978016853E0
2.007992187E0,-6.627820730E-1,3.985608339E0,8.637982368E0
2.029990625E0,-6.910623908E-1,4.271466255E0,8.263596535E0
2.049992187E0,-4.274511933E-1,4.232249737E0,8.876234055E0
2.071992187E0,2.530000806E-1,4.124644756E0,8.999747276E0
2.093992187E0,7.162972689E-1,3.983884573E0,8.160588264E0
2.113992187E0,6.413875222E-1,4.170258999E0,7.930486679E0
2.133992187E0,4.585087895E-1,4.250704288E0,8.836874008E0
2.153992187E0,6.554749608E-1,4.201708794E0,9.957350731E0
2.173993750E0,7.440699935E-1,4.352419376E0,9.900828362E0
2.195992187E0,5.835914016E-1,4.326197624E0,1.051425171E1
2.215992187E0,6.315137744E-1,4.150884628E0,1.080777168E1
2.235992187E0,3.170210123E-1,4.069118023E0,1.043074226E1
2.255992187E0,-2.038519084E-1,4.028244495E0,9.709780693E0
2.275992187E0,-9.804734588E-1,3.604872704E0,9.499780655E0
2.297992187E0,-1.380649924E0,2.937024593E0,1.208893776E1
2.319992187E0,-1.283732653E0,1.892836690E0,1.372757721E1
2.339992187E0,-1.970600367E0,1.829964995E0,1.331929874E1
2.361992187E0,-2.584119320E0,2.286309242E0,1.179435444E1
2.383992187E0,-2.379999161E0,2.387976885E0,1.074804974E1
2.403998437E0,-1.734005332E0,2.122469425E0,9.483892441E0
2.425992187E0,-1.446902275E0,2.008179903E0,8.348600388E0
2.446010937E0,-1.801608086E0,1.859327555E0,8.712126732E0
2.467990625E0,-2.220076084E0,1.811041236E0,8.844640732E0
2.487990625E0,-2.109617233E0,2.169098854E0,8.045159340E0
2.507992187E0,-1.473554611E0,2.302580357E0,6.755383968E0
2.527992187E0,-7.486860156E-1,2.223973989E0,5.735070705E0
2.547992187E0,-4.078378975E-1,1.956359625E0,6.279780388E0
2.569990625E0,-1.052653909E0,1.777053118E0,7.145925999E0
2.589990625E0,-1.682989717E0,2.520213366E0,7.802147865E0
2.609990625E0,-1.555388331E0,3.188147783E0,7.796631813E0
2.629990625E0,-8.076504469E-1,3.265700579E0,7.185516834E0
2.649992187E0,-1.978664100E-1,3.215183020E0,6.249450684E0
2.671990625E0,7.399998605E-2,3.232698917E0,6.016073227E0
2.691990625E0,-1.052491069E-1,3.154073477E0,7.556138515E0
2.711992187E0,-3.141959012E-1,2.471045971E0,9.592263222E0
2.731992187E0,-4.344805479E-1,1.828250766E0,1.055821896E1
2.751992187E0,-9.024033546E-1,1.629168034E0,1.067404079E1
2.773992187E0,-1.161341071E0,1.095366478E0,1.153644180E1
