"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.548494370E-1,5.936563015E-1,-8.505513072E-1,6.025050879E-1
1.768431870E-1,3.982492387E-1,-7.076786757E-1,5.783672333E-1
1.968431870E-1,1.191710830E-1,-4.739092588E-1,4.817283154E-1
2.168478750E-1,-2.359685153E-1,-4.276929200E-1,3.594854772E-1
2.388431870E-1,-7.485542893E-1,-6.511648893E-1,3.246836066E-1
2.588478750E-1,-1.158427358E0,-9.218479991E-1,3.508809805E-1
2.788619370E-1,-9.494416714E-1,-7.866199017E-1,1.791929603E-1
3.008478750E-1,-3.801327050E-1,-3.541447520E-1,1.074948311E-1
3.228431870E-1,8.534660190E-2,3.806563094E-2,1.007753089E-1
3.448416250E-1,1.488940418E-1,3.159394860E-1,2.895675898E-1
3.648478750E-1,-2.516590357E-1,2.561794221E-1,6.082298160E-1
3.868416250E-1,-1.008870125E0,-6.693337858E-2,7.838448286E-1
4.068431870E-1,-1.469078541E0,-3.772005439E-1,7.482401133E-1
4.268431870E-1,-1.529903293E0,-5.197765231E-1,6.665936112E-1
4.468463120E-1,-1.181884646E0,-3.449817896E-1,5.674937963E-1
4.688416250E-1,-6.279519796E-1,1.025380939E-1,5.538104177E-1
4.888416250E-1,-3.857003152E-1,4.698077142E-1,6.488087177E-1
5.088463120E-1,-3.652101457E-1,3.324328661E-1,7.309438586E-1
5.308416250E-1,-4.694935679E-1,-6.981316983E-5,6.996327043E-1
5.508431870E-1,-5.149943233E-1,-2.008001357E-1,6.163281202E-1
5.728431870E-1,-4.459141791E-1,1.176351905E-1,5.583657026E-1
5.948431870E-1,-2.694439292E-1,4.778886139E-1,5.171410441E-1
6.148431870E-1,-1.398532391E-1,4.899139106E-1,5.032831430E-1
6.368416250E-1,-1.351059377E-1,3.995582163E-1,4.576078653E-1
6.568431870E-1,-1.960353851E-1,2.956413329E-1,3.918613195E-1
6.768431870E-1,-2.352180183E-1,1.677785069E-1,2.341184616E-1
6.968431870E-1,-2.569473684E-1,9.875072539E-2,7.004006207E-2
7.188416250E-1,-2.349038571E-1,2.115862668E-1,-4.576253146E-2
7.388416250E-1,-1.279500872E-1,3.724358082E-1,-1.211782098E-1
7.588416250E-1,3.071779385E-2,3.369532526E-1,-2.215520889E-1
7.788619370E-1,1.513549536E-1,1.408655196E-1,-3.060085773E-1
8.008416250E-1,2.411870509E-1,4.783947393E-2,-3.586651683E-1
