"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211402968E1,1.189526416E2,4.782779447E0,1.607236981E0,1.630925140E2,1.752189827E1,1.752189827E1
1.015995312E0,3.211402891E1,1.189526515E2,5.651742011E0,1.969906449E0,1.560331116E2,1.749062538E1,1.749062538E1
2.023270833E0,3.211401342E1,1.189527173E2,6.076610047E0,9.150167704E-1,1.451511993E2,1.906608200E1,1.906608200E1
2.587818228E0,3.211401838E1,1.189527274E2,8.610329017E0,8.876091242E-1,1.007395401E2,1.826726723E1,1.826726723E1
3.583067707E0,3.211401242E1,1.189527465E2,6.035892834E0,1.246462941E0,8.492529297E1,1.781619453E1,1.781619453E1
4.589794270E0,3.211402186E1,1.189527154E2,-1.044785871E-1,1.131081939E0,7.245135498E1,1.391606903E1,1.391606903E1
5.585107811E0,3.211402430E1,1.189527386E2,4.919937393E-1,1.128696084E0,7.245135498E1,1.101296806E1,1.101296806E1
6.590021353E0,3.211403318E1,1.189527452E2,1.708152188E0,1.375037313E0,6.667431593E-1,8.640711784E0,8.640711784E0
7.599910936E0,3.211404186E1,1.189527486E2,8.854236458E0,1.444320321E0,3.459960938E2,2.202471018E0,2.202471018E0
8.601616665E0,3.211405788E1,1.189527435E2,9.032582063E0,1.345987201E0,3.393635254E2,2.234708071E0,2.234708071E0
9.593902082E0,3.211407103E1,1.189527358E2,9.667536180E0,1.367689967E0,3.293144226E2,2.419985294E0,2.419985294E0
1.059498073E1,3.211407878E1,1.189527267E2,1.018282958E1,1.164848208E0,3.277570190E2,2.638720512E0,2.638720512E0
1.158770677E1,3.211408238E1,1.189527161E2,1.058585769E1,1.015810847E0,2.675176392E2,2.737017632E0,2.737017632E0
1.259922031E1,3.211407730E1,1.189527032E2,1.041494882E1,1.126840830E0,2.481295776E2,2.796525478E0,2.796525478E0
1.359674687E1,3.211406907E1,1.189526901E2,1.030563283E1,1.214432478E0,2.467801819E2,2.971714973E0,2.971714973E0
1.460135781E1,3.211406059E1,1.189526741E2,1.025677677E1,1.279648542E0,2.396536255E2,2.990237474E0,2.990237474E0
1.560041666E1,3.211405127E1,1.189526598E2,1.037452493E1,1.328613400E0,2.438098450E2,2.937352657E0,2.937352657E0
1.659773854E1,3.211404102E1,1.189526409E2,1.052698863E1,1.377003312E0,2.359781189E2,2.859254122E0,2.859254122E0
1.759269791E1,3.211400299E1,1.189526421E2,1.095257423E1,1.185645819E0,1.310406342E2,2.958816051E0,2.958816051E0
1.859693593E1,3.211400378E1,1.189526432E2,1.098707936E1,9.963997006E-1,1.598185120E2,3.019927502E0,3.019927502E0
1.959153229E1,3.211399273E1,1.189526413E2,1.090440938E1,1.116027594E0,1.521670532E2,3.119679689E0,3.119679689E0
2.058951302E1,3.211398318E1,1.189526385E2,1.094498709E1,1.264715195E0,1.638740540E2,3.211719513E0,3.211719513E0
2.160186614E1,3.211397721E1,1.189526288E2,1.083168155E1,9.211283326E-1,2.082929993E2,3.418162823E0,3.418162823E0
2.259420833E1,3.211397162E1,1.189526136E2,1.103504458E1,1.208657622E0,3.041796265E2,3.332521915E0,3.332521915E0
2.359930104E1,3.211397423E1,1.189526041E2,1.101517270E1,1.263574958E0,2.958225403E2,3.344484329E0,3.344484329E0
