"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668908378431993E9,"2022-11-20 09:39:38.432 UTC+08:00"
"PAUSE",1.500429542083293E2,1.668908528641971E9,"2022-11-20 09:42:08.642 UTC+08:00"
