"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.617716667E-2,-5.576353912E0,3.315754852E0,6.089935913E0
4.609416667E-2,-4.402644653E0,3.381019135E0,7.018005981E0
6.601216667E-2,-3.793411560E0,3.801195374E0,6.219865723E0
8.592916666E-2,-3.179837494E0,4.216132507E0,5.145849152E0
1.058471667E-1,-2.783312073E0,5.034181366E0,4.993316345E0
1.257641667E-1,-2.768343201E0,5.563480682E0,5.198389893E0
1.456821667E-1,-3.182980957E0,5.545817413E0,5.849386139E0
1.655991667E-1,-3.269650726E0,4.463418274E0,6.782395935E0
1.855171667E-1,-4.334386597E0,4.686155090E0,7.786058807E0
2.054341667E-1,-4.424199829E0,5.269042969E0,7.918084259E0
2.253521667E-1,-3.773502960E0,4.788242798E0,8.161178741E0
2.452691667E-1,-3.488495636E0,4.271517334E0,7.891888733E0
2.651871667E-1,-4.087100830E0,4.338727570E0,7.873626709E0
2.851041667E-1,-4.498146057E0,4.294868774E0,9.256002045E0
3.050221667E-1,-4.700375519E0,3.545077972E0,1.063119232E1
3.249391667E-1,-3.965254211E0,3.542383575E0,1.069001999E1
3.448571667E-1,-3.051105194E0,3.728895721E0,1.017688705E1
3.647751667E-1,-2.989583130E0,3.691473541E0,9.207802277E0
3.846921667E-1,-3.620072021E0,4.244872742E0,8.466992798E0
4.046101667E-1,-3.525169373E0,4.349654846E0,8.643026733E0
4.245271667E-1,-3.110531616E0,4.027973785E0,8.605305176E0
4.444451667E-1,-3.398383026E0,3.543880463E0,8.521629181E0
4.643621667E-1,-3.168760529E0,2.721191254E0,1.068014053E1
4.842801667E-1,-2.526146851E0,1.289418640E0,1.117635864E1
5.041971667E-1,-2.750380554E0,7.348219299E-1,9.761201477E0
5.241151667E-1,-2.893482971E0,1.326242065E0,8.813821564E0
5.440321667E-1,-1.093775482E0,2.394121399E0,8.863218842E0
5.639501667E-1,-1.027164001E0,2.423310699E0,8.466094666E0
5.838671667E-1,-6.987469482E-1,2.841241608E0,7.867040405E0
6.037851667E-1,-2.613565063E-1,2.656226349E0,7.478897552E0
6.237031667E-1,-8.213420105E-1,2.719245300E0,6.909331970E0
6.436201667E-1,-1.065634003E0,3.231031036E0,6.628815308E0
6.635381667E-1,-1.182840271E0,4.070335693E0,7.720794525E0
6.834551667E-1,-9.253756714E-1,4.233646088E0,8.427774353E0
7.033731667E-1,-1.169368286E0,4.053420868E0,7.594606934E0
7.232901667E-1,-1.520687714E0,3.267106018E0,7.025939484E0
7.432081667E-1,-1.957629089E0,3.316203918E0,7.651488647E0
7.631251667E-1,-2.839744720E0,3.297642517E0,1.007494904E1
7.830431667E-1,-2.217339020E0,3.273392944E0,1.037761963E1
8.029601667E-1,-2.144739990E0,3.225941620E0,9.968220978E0
8.228781667E-1,-2.665656738E0,4.012855225E0,9.856852570E0
8.427951667E-1,-2.529889069E0,3.892206116E0,9.083560638E0
8.627131667E-1,-2.558180237E0,3.924089813E0,9.417665863E0
8.826311667E-1,-1.130149841E0,4.616100769E0,1.115645004E1
9.025481667E-1,1.752854919E-1,3.688479767E0,1.228884521E1
9.224661667E-1,-3.855981445E-1,3.547772369E0,1.318997131E1
9.423831667E-1,4.308041382E-1,1.853745117E0,1.287517593E1
9.623010417E-1,3.968247986E-1,1.370699615E0,1.353440506E1
9.822180417E-1,1.062041473E0,1.023721161E0,1.262190262E1
1.002136042E0,1.470392303E0,1.107097778E0,1.033151550E1
1.022053042E0,1.954335938E0,1.155447235E0,8.629554749E0
1.041971042E0,3.358715515E0,1.826651459E0,8.407416687E0
1.061888042E0,4.852758636E0,1.373394012E0,7.510332184E0
1.081806042E0,4.741390228E0,1.063538361E0,7.085515594E0
1.101724042E0,2.670746155E0,1.304986267E0,7.516170044E0
1.121641042E0,1.863923950E0,1.218466187E0,7.055577850E0
1.141559042E0,3.645519104E0,6.074368286E-1,6.256090393E0
1.161476042E0,3.805686035E0,1.384920044E0,5.612728271E0
1.181394042E0,3.007545776E0,1.111738129E0,5.333558807E0
1.201311042E0,2.807262268E0,1.420096893E0,4.811444550E0
1.221229042E0,2.867886200E0,1.851050720E0,4.500241699E0
1.241146042E0,3.487896881E0,1.891915741E0,5.628744965E0
1.261064042E0,3.859723663E0,2.143392792E0,7.420518951E0
1.280981042E0,4.300556946E0,2.356549530E0,8.884474640E0
1.300899042E0,3.735332336E0,1.037791901E0,9.010362854E0
1.320817042E0,2.428699493E0,9.798623657E-1,1.048973648E1
1.340734042E0,3.692671051E0,1.520837402E-1,1.005878265E1
1.360652042E0,5.045258331E0,6.709048462E-1,9.105564880E0
1.380569042E0,6.220165100E0,1.198407898E0,8.856782227E0
1.400487042E0,6.647975464E0,1.964814148E0,6.643784180E0
1.420404042E0,5.714067535E0,2.521057434E0,4.832101593E0
1.440322042E0,8.061186676E0,3.295696564E0,5.789959717E0
1.460239042E0,9.875863037E0,3.833228760E0,6.586902466E0
1.480157042E0,1.123623413E1,4.207001495E0,6.902745667E0
1.500075042E0,1.270887177E1,4.621040497E0,6.300547943E0
1.519992042E0,1.398856064E1,2.969225464E0,5.323080597E0
1.539910042E0,1.403945480E1,1.688788147E0,4.332590332E0
1.559827042E0,1.068822372E1,4.415218506E0,4.896916809E0
1.579745042E0,6.517895966E0,4.476441193E0,2.661615143E0
1.599662042E0,2.580483856E0,4.419559479E0,8.024812317E-1
1.619580042E0,5.919290771E0,5.110372925E-1,9.861492920E-1
1.639497042E0,5.054688721E0,-7.099736023E-1,3.427123260E0
1.659415042E0,1.714983673E0,-1.998344421E0,3.113675079E0
1.679333042E0,1.348695374E-1,-3.953728180E0,7.237449646E-1
1.699250042E0,1.401685181E0,-2.876867523E0,-8.023315430E-1
1.719168042E0,2.510728912E0,-4.240980835E0,-4.947212219E-1
1.739085042E0,5.755830688E0,-4.039350128E0,4.294569397E-1
1.759003042E0,6.018833771E0,-5.056035919E0,2.853216705E0
1.778920042E0,6.518943787E0,-4.793631592E0,3.497327271E0
1.798838042E0,8.160430298E0,-4.870421906E0,2.441872101E0
1.818755042E0,1.130449219E1,-4.150419159E0,2.827170868E0
1.838673042E0,1.450378922E1,-2.889591064E0,2.073937225E0
1.858591042E0,1.639091492E1,-2.499951324E0,2.034269714E0
1.878508042E0,1.573273361E1,-2.296224976E0,1.522783356E0
1.898426042E0,1.466350708E1,-2.473306732E0,-7.649093628E-2
1.918343042E0,1.379291748E1,-2.346221008E0,-3.744163971E0
1.938261042E0,1.316093170E1,-3.537593536E0,-1.369801483E0
1.958178792E0,1.232432144E1,-4.679269409E0,9.430389404E-2
1.978096792E0,1.054616913E1,-6.133944397E0,1.837279358E0
1.998013792E0,9.911488953E0,-8.037236481E0,3.302432556E0
2.017931792E0,1.094164673E1,-8.497978363E0,4.214934998E0
2.037849792E0,1.227267883E1,-1.015997223E1,4.042343903E0
2.057766792E0,9.879605255E0,-1.200728073E1,3.293002167E0
2.077684792E0,8.375532990E0,-1.301214111E1,4.209995270E0
2.097601792E0,8.765172729E0,-1.350297043E1,7.395970001E0
2.117519792E0,8.706195374E0,-1.292547134E1,8.527017975E0
2.137436792E0,8.740174713E0,-1.193543015E1,6.582112427E0
2.157354792E0,9.953401794E0,-1.045725403E1,5.650150452E0
2.177272792E0,8.524024200E0,-7.262447662E0,3.504961395E0
2.197189792E0,6.293512573E0,-6.436614990E0,1.112785950E0
2.217107792E0,7.571105804E0,-4.239483948E0,1.950444031E0
2.237024792E0,9.911189575E0,-2.679727478E0,1.995051270E0
2.256942792E0,9.219328308E0,-1.823358307E0,2.641856232E0
2.276859792E0,8.326285400E0,-8.026309204E-1,-7.132667542E-1
2.296777792E0,7.522456970E0,-2.585423584E0,1.378782806E0
2.316694792E0,3.373834076E0,-6.879693604E-1,-3.842509460E-1
2.336612792E0,-2.057172089E0,-3.370091858E0,-2.269730072E0
2.356530792E0,-1.748663635E0,-3.917802887E0,1.308279419E0
2.376447792E0,1.132095795E0,-3.375031586E0,4.138444061E0
2.396365792E0,3.692820740E0,-2.480342102E0,5.771098938E0
2.416282792E0,4.878355408E0,-2.389780426E0,5.622308350E0
2.436200792E0,6.999594269E0,-3.533551941E0,5.799390106E0
2.456117792E0,4.107308807E0,-5.545368347E0,7.835605774E0
2.476035792E0,5.197791138E0,-4.481081543E0,8.793314209E0
2.495953792E0,5.619613953E0,-2.833457794E0,1.183349213E1
2.515870792E0,6.504573669E0,-2.896925812E0,1.239841736E1
2.535788792E0,6.080355835E0,-5.710025940E0,1.099867813E1
2.555705792E0,4.129762115E0,-8.633446655E0,1.115495316E1
2.575623792E0,3.931574249E0,-8.873547363E0,1.039273819E1
2.595540792E0,4.501588898E0,-8.741671600E0,1.056877213E1
2.615458792E0,3.283571777E0,-7.607629852E0,1.177077255E1
2.635376792E0,-1.930834808E0,-8.618328094E0,9.800270233E0
2.655293792E0,-4.456382904E0,-8.521928558E0,1.138038437E1
2.675211792E0,-3.297642517E0,-6.399043121E0,8.622519379E0
2.695128792E0,-2.415077820E0,-3.741170197E0,1.272009842E1
2.715046792E0,-3.886068878E0,-5.944288788E0,5.257816315E0
2.734964792E0,4.748126221E-1,-3.646417236E0,4.641697540E0
2.754881792E0,2.005529480E0,-3.914360046E0,5.130131836E0
2.774799792E0,2.090552673E0,-3.537743225E0,3.645369415E0
2.794716792E0,9.574090576E-1,-3.681294708E0,3.408262482E0
2.814634792E0,2.179467773E-1,-4.105063477E0,3.572171631E0
2.834551792E0,-2.910697174E0,-4.120780792E0,2.772983551E0
2.854469792E0,-3.638932800E0,-3.807033234E0,2.504891052E0
2.874387792E0,-1.892215118E0,-3.547622681E0,4.130360870E0
2.894304792E0,-3.061583405E0,-4.118086395E0,4.468507690E0
2.914222792E0,1.364562378E0,-5.498216400E0,5.230722656E0
2.934139792E0,1.373244324E0,-4.351151733E0,8.363258514E0
2.954057792E0,-6.191125488E-1,-4.715045013E0,1.074241104E1
2.973974917E0,-2.932701416E0,-4.045337677E0,8.254584503E0
2.993892917E0,-3.302282867E0,-2.238295441E0,6.073320465E0
3.013810917E0,-8.390352173E0,-8.920100555E0,1.964859055E1
3.033727917E0,-1.129191833E1,-1.098775085E1,1.418944290E1
3.053645917E0,-5.514831848E0,-1.346659607E1,1.467413498E1
3.073562917E0,-8.931776276E0,-1.312380890E1,9.060508575E0
3.093480917E0,-1.144983994E1,-1.098520615E1,-2.026635590E0
3.113398917E0,-4.328399048E0,-1.064286804E1,-2.499202881E0
3.133315917E0,-1.880090332E0,-3.847748566E0,6.968009949E-1
3.153233917E0,-1.693727875E0,-4.641996918E0,8.367599487E-2
3.173150917E0,-6.523584137E0,-7.602540436E0,3.046764221E0
3.193068917E0,-1.032986893E1,-7.673792267E0,4.606969757E0
3.212985917E0,-7.903414764E0,-7.145540771E0,2.892285461E0
3.232903917E0,-5.799539795E0,-5.532495117E0,6.100863190E0
3.252821917E0,-3.670068054E0,-5.189857635E0,6.040089569E0
3.272738917E0,-8.003855896E-1,-4.966072998E0,3.928879852E0
3.292656917E0,-2.988984375E0,-7.082821198E0,6.870712280E-1
3.312573917E0,-7.061266022E0,-6.797364807E0,9.572593689E-1
3.332491917E0,-8.875343628E0,-5.826184387E0,2.325264587E0
3.352409917E0,-1.302606216E1,-5.989943848E0,2.804418182E0
3.372326917E0,-6.746021576E0,-5.290149078E0,2.114951935E0
3.392244917E0,-6.504873047E0,-5.188211060E0,2.433190155E0
3.412161917E0,-4.831502838E0,-5.031636658E0,3.183280334E0
3.432079917E0,-5.524860992E0,-4.977000275E0,4.547543335E0
3.451997917E0,-6.097719727E0,-5.129533081E0,4.265679474E0
3.471914917E0,-7.365732880E0,-4.392016754E0,3.974235535E0
3.491832917E0,-8.300389252E0,-4.005819855E0,3.430117035E0
3.511749917E0,-8.211324463E0,-4.516408081E0,3.749103699E0
3.531667917E0,-8.331524506E0,-3.685635681E0,3.636837158E0
3.551584917E0,-8.727900238E0,-3.397784271E0,2.352058868E0
3.571502917E0,-1.037417679E1,-5.665418701E0,3.946842499E0
3.591420917E0,-1.092473190E1,-8.773854675E0,5.988596649E0
3.611337917E0,-6.688241730E0,-6.858437805E0,5.756279755E0
3.631255917E0,-6.455625458E0,-7.125332794E0,6.509363708E0
3.651172917E0,-7.918683014E0,-1.107172623E1,5.602549438E0
3.671090917E0,-6.510710907E0,-1.226025467E1,3.396437073E0
3.691008917E0,-6.026617584E0,-1.048838928E1,4.492607574E0
3.710925917E0,-2.033521271E0,-6.193969574E0,7.761360168E-1
3.730843917E0,1.048569489E0,-4.277205505E0,4.173920288E0
3.750760917E0,2.619552612E-1,-1.463012650E1,8.090974731E0
3.770678917E0,-3.736529846E0,-2.459700027E1,8.099956055E0
