"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668856733748294E9,"2022-11-19 19:18:53.748 UTC+08:00"
"PAUSE",1.506146575000021E2,1.668856884358971E9,"2022-11-19 19:21:24.359 UTC+08:00"
